YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;2115.451;2877.0;39.727000000000004
1927;805.9630000000001;1314.0;336.845
1928;2347.2790000000005;1385.0;1108.0100000000002
1929;2121.633;0.0;2121.633
1930;2269.056;2886.0;136.20600000000002
1931;1133.701;505.0;871.973
1932;2323.6050000000005;2896.0;104.614
1933;1322.482;1660.0;11.194
1934;2182.656;2830.0;22.021
1935;1068.644;0.0;1068.644
1936;1398.8960000000002;1703.0;40.559000000000005
1937;1971.779;0.0;1971.779
1938;1516.9460000000001;1452.0;626.7349999999999
1939;735.336;1021.0;1.166
1940;2278.167;0.0;2278.167
1941;1274.031;1858.0;296.76099999999997
1942;2370.5739999999996;3046.0;47.625
1943;2422.6059999999998;310.0;2193.291
1944;2214.573;212.0;2090.33
1945;2320.882;1423.0;1173.949
1946;1752.587;1659.0;533.21
1947;2056.456;0.0;2056.456
1948;2294.484;2875.0;141.639
1949;1630.56;1277.0;800.442
1950;2201.479;2665.0;204.73600000000005
1951;1283.17;1687.0;5.205
1952;1823.462;2377.0;8.986
1953;2025.384;148.0;1957.3110000000001
1954;1842.204;1872.0;285.228
1955;2002.542;2612.0;12.046999999999999
1956;2040.937;0.0;2040.937
1957;564.075;897.0;275.504
1958;2263.273;196.0;2168.5299999999997
1959;2046.25;2600.0;61.114
1960;1253.5230000000001;1636.0;9.064
1961;1130.374;0.0;1130.374
1962;2223.77;1314.0;1118.5520000000001
1963;2299.129;652.0;1834.88
1964;1221.613;237.0;1119.607
1965;533.143;0.0;533.143
1966;2169.098;987.0;1332.798
1967;1832.893;0.0;1832.893
1968;2407.569;2677.0;237.48
1969;2374.018;201.0;2193.79
1970;2067.491;1577.0;662.148
1971;1215.49;1607.0;10.307
1972;2059.782;513.0;1706.423
1973;1604.0169999999998;1839.0;243.62199999999999
1974;1648.714;0.0;1648.714
1975;2038.31;2658.0;142.232
1976;557.3240000000001;686.0;44.388999999999996
1977;1544.8600000000001;1630.0;294.78700000000003
1978;1500.13;1911.0;6.225999999999999
1979;1939.57;566.0;1517.4720000000002
1980;523.76;0.0;523.76
1981;1647.2269999999999;89.0;1615.259
1982;1611.036;2036.0;41.185
1983;1769.9650000000001;0.0;1769.9650000000001
1984;1858.3290000000002;0.0;1858.3290000000002
1985;1285.969;1630.0;417.797
1986;1898.567;2465.0;14.638000000000002
1987;1524.277;307.0;1315.5
1988;1116.2640000000001;0.0;1116.2640000000001
1989;2063.362;381.0;1796.9389999999999
1990;1754.504;2152.0;92.927
1991;1999.234;0.0;1999.234
1992;1714.9900000000002;766.0;1126.805
1993;2066.756;466.0;1671.341
1994;625.99;833.0;1.456
1995;1040.7350000000001;1531.0;389.449
1996;1422.3760000000002;0.0;1422.3760000000002
1997;2368.353;958.0;1552.6260000000002
1998;835.691;1140.0;0.258
1999;1285.2050000000002;2184.0;256.63800000000003
2000;2151.9570000000003;275.0;1999.578
2001;1994.891;2402.0;147.1
2002;1437.8850000000002;0.0;1437.8850000000002
2003;1454.093;0.0;1454.093
2004;2204.101;2849.0;129.166
2005;2253.043;1352.0;1102.7060000000001
2006;1299.468;218.0;1206.221
2007;2280.6899999999996;627.0;1801.1769999999997
2008;1186.849;1565.0;9.301000000000002
2009;2152.373;2694.0;161.71099999999998
2010;1063.9170000000001;0.0;1063.9170000000001
2011;1830.4460000000001;0.0;1830.4460000000001
2012;1180.7710000000002;1926.0;270.532
2013;1371.078;727.0;967.577
2014;2340.742;293.0;2106.299
2015;1252.624;6.0;1251.409
2016;2031.674;2771.0;144.51100000000002
