YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;271.549;353.0;0.0
1927;76.40599999999999;23.0;57.94100000000001
1928;196.201;13.0;188.917
1929;149.982;0.0;149.982
1930;587.8789999999999;639.0;30.489
1931;41.379;0.0;41.379
1932;271.371;353.0;0.0
1933;64.34700000000001;82.0;0.0
1934;148.716;188.0;0.0
1935;185.534;211.0;1.765
1936;255.729;99.0;170.13
1937;602.733;0.0;602.733
1938;527.384;68.0;485.40200000000004
1939;54.01500000000001;69.0;0.0
1940;550.732;364.0;201.994
1941;535.125;626.0;0.0
1942;253.49;325.0;0.0
1943;236.433;269.0;12.565
1944;594.1899999999999;743.0;0.0
1945;143.24;179.0;0.0
1946;522.011;658.0;0.0
1947;248.51299999999998;0.0;248.51299999999998
1948;454.161;379.0;100.515
1949;562.23;662.0;0.0
1950;586.35;700.0;0.0
1951;17.086;28.0;0.0
1952;119.84;145.0;0.0
1953;293.281;373.0;0.0
1954;116.535;145.0;0.0
1955;91.66099999999999;117.0;0.0
1956;418.985;0.0;418.985
1957;40.022999999999996;13.0;36.724999999999994
1958;314.454;263.0;83.868
1959;584.2470000000001;739.0;0.0
1960;62.3;77.0;0.0
1961;261.37800000000004;311.0;1.1039999999999999
1962;102.338;97.0;13.243999999999998
1963;583.529;748.0;0.0
1964;44.344;25.0;28.084000000000003
1965;174.99599999999998;0.0;174.99599999999998
1966;100.834;114.0;3.4429999999999996
1967;184.103;0.0;184.103
1968;558.619;664.0;0.0
1969;42.271;33.0;12.626000000000001
1970;214.403;276.0;0.0
1971;11.157;18.0;0.0
1972;173.428;161.0;28.775999999999996
1973;112.69899999999998;62.0;55.42999999999999
1974;132.84799999999998;0.0;132.84799999999998
1975;468.11;588.0;0.0
1976;65.438;83.0;0.0
1977;505.447;640.0;8.279
1978;74.928;90.0;0.0
1979;177.989;143.0;44.339
1980;35.68599999999999;0.0;35.68599999999999
1981;603.713;740.0;0.0
1982;332.953;450.0;0.0
1983;545.838;0.0;545.838
1984;482.091;428.0;96.304
1985;384.577;309.0;116.345
1986;119.703;148.0;0.0
1987;522.014;565.0;15.347999999999999
1988;546.556;637.0;0.0
1989;46.011;0.0;46.011
1990;559.5899999999999;651.0;1.512
1991;535.639;0.0;535.639
1992;81.853;0.0;81.853
1993;110.23400000000001;136.0;0.0
1994;47.619;58.0;0.0
1995;40.917;57.0;21.936
1996;73.38400000000001;0.0;73.38400000000001
1997;405.381;9.0;401.613
1998;59.205;72.0;0.0
1999;161.707;188.0;0.0
2000;380.369;309.0;104.102
2001;405.634;525.0;0.0
2002;74.83899999999998;0.0;74.83899999999998
2003;61.92;0.0;61.92
2004;318.882;389.0;0.0
2005;353.08399999999995;467.0;0.0
2006;512.836;592.0;0.0
2007;171.377;216.0;0.0
2008;37.91100000000001;49.0;0.0
2009;396.832;526.0;0.0
2010;101.196;96.0;14.65
2011;93.964;0.0;93.964
2012;560.053;659.0;0.0
2013;132.618;156.0;0.0
2014;36.752;49.0;0.0
2015;167.442;201.0;0.0
2016;467.255;587.0;0.0
