YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;244.18400000000003;339.0;10.213000000000001
1927;95.15;135.0;52.015
1928;245.23100000000002;205.0;78.424
1929;242.86700000000002;48.0;205.25799999999998
1930;220.653;317.0;14.12
1931;117.66600000000001;67.0;84.855
1932;235.62899999999996;328.0;13.086000000000002
1933;92.906;143.0;6.220000000000001
1934;259.82500000000005;343.0;9.764
1935;101.868;0.0;101.868
1936;112.82499999999999;176.0;5.071
1937;235.638;0.0;235.638
1938;171.90800000000002;183.0;59.75800000000001
1939;70.104;112.0;1.192
1940;232.519;116.0;144.454
1941;124.924;170.0;47.284
1942;242.201;332.0;10.406
1943;251.775;0.0;251.775
1944;241.85899999999998;0.0;241.85899999999998
1945;227.442;103.0;147.796
1946;197.63;187.0;59.32
1947;234.291;0.0;234.291
1948;227.96099999999998;309.0;17.686
1949;181.573;160.0;81.18299999999999
1950;245.139;325.0;19.258
1951;109.602;171.0;3.6830000000000003
1952;229.723;312.0;7.859
1953;215.594;0.0;215.594
1954;192.104;271.0;9.744
1955;199.23399999999998;286.0;8.527000000000001
1956;233.897;0.0;233.897
1957;103.052;107.0;69.807
1958;253.94;0.0;253.94
1959;262.995;344.0;8.711
1960;62.763;74.0;11.022000000000002
1961;118.112;0.0;118.112
1962;226.13400000000001;134.0;117.993
1963;253.649;332.0;11.892
1964;124.351;33.0;109.91400000000002
1965;191.27500000000003;0.0;191.27500000000003
1966;232.3;116.0;139.643
1967;186.45100000000002;0.0;186.45100000000002
1968;242.42399999999998;309.0;20.714000000000002
1969;255.30200000000005;0.0;255.30200000000005
1970;234.231;304.0;10.624
1971;108.808;170.0;9.51
1972;239.52599999999998;243.0;47.994
1973;229.387;211.0;61.47699999999999
1974;238.387;0.0;238.387
1975;198.435;176.0;63.53
1976;169.60200000000003;248.0;9.961
1977;233.93;33.0;218.232
1978;159.54100000000003;229.0;2.5
1979;210.132;235.0;43.166000000000004
1980;101.41300000000001;0.0;101.41300000000001
1981;172.714;0.0;172.714
1982;175.253;258.0;5.789
1983;211.812;0.0;211.812
1984;222.10199999999998;0.0;222.10199999999998
1985;142.727;196.0;41.711
1986;209.69400000000002;301.0;5.645999999999999
1987;225.91500000000002;307.0;17.138
1988;116.714;0.0;116.714
1989;235.935;38.0;211.70499999999998
1990;219.034;307.0;7.174
1991;236.609;0.0;236.609
1992;196.907;96.0;123.33200000000001
1993;219.42100000000002;209.0;55.95
1994;76.41400000000002;113.0;0.355
1995;105.081;157.0;51.403999999999996
1996;174.77700000000002;0.0;174.77700000000002
1997;239.02999999999997;89.0;172.149
1998;68.452;94.0;0.0
1999;148.762;270.0;27.434
2000;228.942;0.0;228.942
2001;240.034;317.0;8.113
2002;147.026;0.0;147.026
2003;164.209;0.0;164.209
2004;224.48400000000004;318.0;15.429
2005;226.225;141.0;119.80199999999999
2006;119.61;0.0;119.61
2007;217.86900000000003;156.0;102.935
2008;86.667;144.0;2.2940000000000005
2009;217.24;303.0;17.933
2010;95.166;0.0;95.166
2011;200.942;0.0;200.942
2012;123.524;230.0;31.398000000000003
2013;142.93;56.0;107.679
2014;260.95500000000004;137.0;143.966
2015;136.063;0.0;136.063
2016;230.00900000000004;331.0;16.950000000000003
