YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;108.22000000000001;131.0;28.478
1927;23.411;0.0;23.411
1928;144.38799999999998;77.0;80.15100000000001
1929;160.485;0.0;160.485
1930;67.724;48.0;41.249
1931;30.641000000000002;0.0;30.641000000000002
1932;95.727;82.0;47.17
1933;179.192;231.0;0.0
1934;160.933;209.0;12.257000000000001
1935;29.823999999999998;0.0;29.823999999999998
1936;154.65300000000002;167.0;18.124000000000002
1937;54.946;0.0;54.946
1938;41.228;11.0;38.729
1939;165.14499999999998;216.0;0.0
1940;71.577;0.0;71.577
1941;38.376000000000005;44.0;19.729
1942;108.22200000000001;127.0;25.410000000000004
1943;141.217;130.0;45.54
1944;79.993;51.0;52.526
1945;145.811;189.0;19.45
1946;44.818000000000005;11.0;41.588
1947;121.207;0.0;121.207
1948;53.904;29.0;43.338
1949;38.285;24.0;29.659
1950;58.757000000000005;38.0;41.075
1951;166.47;216.0;0.0
1952;166.702;236.0;1.127
1953;92.022;51.0;64.571
1954;142.605;201.0;8.565000000000001
1955;170.35699999999997;228.0;0.0
1956;58.23;0.0;58.23
1957;23.237000000000002;0.0;23.237000000000002
1958;51.266000000000005;97.0;0.0
1959;65.313;42.0;42.041999999999994
1960;184.94400000000002;238.0;0.0
1961;37.668000000000006;0.0;37.668000000000006
1962;60.329;18.0;54.304
1963;73.84100000000001;0.0;73.84100000000001
1964;30.359;0.0;30.359
1965;30.693;0.0;30.693
1966;44.551;6.0;43.064
1967;31.918;0.0;31.918
1968;64.459;35.0;48.163
1969;172.57600000000002;150.0;39.42
1970;125.525;78.0;69.63300000000001
1971;174.193;224.0;0.0
1972;116.11599999999999;97.0;57.778
1973;124.749;210.0;4.082
1974;91.325;0.0;91.325
1975;36.799;12.0;34.618
1976;166.837;216.0;0.0
1977;89.939;64.0;54.759
1978;165.598;226.0;0.0
1979;107.797;79.0;63.455
1980;19.613000000000003;0.0;19.613000000000003
1981;47.709;19.0;41.477000000000004
1982;143.41799999999998;144.0;33.10600000000001
1983;53.199;0.0;53.199
1984;50.623000000000005;0.0;50.623000000000005
1985;36.34;13.0;33.375
1986;161.574;219.0;6.076
1987;31.629;0.0;31.629
1988;29.317000000000004;0.0;29.317000000000004
1989;47.385999999999996;0.0;47.385999999999996
1990;27.794999999999998;0.0;27.794999999999998
1991;50.788000000000004;0.0;50.788000000000004
1992;46.993;0.0;46.993
1993;165.39;185.0;16.186
1994;164.325;211.0;0.0
1995;24.501;1.0;24.382
1996;26.802000000000003;0.0;26.802000000000003
1997;63.05200000000001;0.0;63.05200000000001
1998;179.878;234.0;0.0
1999;41.383;26.0;33.699
2000;77.616;137.0;0.726
2001;96.59300000000002;56.0;65.579
2002;33.480999999999995;0.0;33.480999999999995
2003;39.482;0.0;39.482
2004;64.876;54.0;37.157
2005;65.76500000000001;11.0;62.35000000000001
2006;45.459;12.0;41.796
2007;146.808;158.0;29.64
2008;181.679;239.0;0.0
2009;59.95;38.0;42.702000000000005
2010;56.926;0.0;56.926
2011;177.346;0.0;177.346
2012;29.804;11.0;26.894
2013;40.06999999999999;31.0;28.820999999999994
2014;174.60200000000003;218.0;0.0
2015;34.955;0.0;34.955
2016;59.62500000000001;47.0;36.427
