YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;2516.9539999999997;3385.0;39.727000000000004
1927;1050.343;1547.0;444.31
1928;2581.218;1393.0;1336.948
1929;2099.9049999999997;239.0;1912.8809999999999
1930;3195.1459999999997;3862.0;211.85199999999998
1931;1193.475;505.0;931.7470000000001
1932;2765.4410000000003;3464.0;104.61399999999999
1933;1174.0810000000001;1560.0;6.220000000000001
1934;2364.061;3074.0;22.021
1935;1428.951;405.0;1080.8780000000002
1936;1816.77;1942.0;276.57500000000005
1937;3013.649;0.0;3013.649
1938;2415.5570000000002;1501.0;1500.453
1939;815.807;1127.0;1.192
1940;3162.5200000000004;1507.0;1858.035
1941;2163.1680000000006;2877.0;296.76099999999997
1942;2800.1620000000003;3602.0;47.62500000000001
1943;2787.418;713.0;2217.6040000000003
1944;3152.6940000000004;1377.0;2090.33
1945;2572.6189999999997;1743.0;1173.949
1946;2617.134;2765.0;533.21
1947;2223.97;0.0;2223.97
1948;2995.0119999999997;3400.0;381.79699999999997
1949;2578.706;2400.0;800.442
1950;3152.54;3802.0;204.736
1951;1004.1080000000001;1367.0;3.6830000000000003
1952;2008.319;2611.0;8.986
1953;2512.533;779.0;1956.9340000000002
1954;1766.672;2327.0;9.744
1955;1793.4989999999998;2346.0;8.527000000000001
1956;2687.98;0.0;2687.98
1957;637.8310000000001;915.0;345.46000000000004
1958;2983.4939999999997;662.0;2397.147
1959;2966.127;3778.0;61.114000000000004
1960;987.82;1300.0;11.454000000000002
1961;1570.601;491.0;1145.461
1962;2388.6009999999997;1461.0;1145.9609999999998
1963;3242.255;1821.0;1834.88
1964;1299.136;263.0;1181.914
1965;935.306;0.0;935.306
1966;2362.8050000000003;1203.0;1338.883
1967;2164.9539999999997;0.0;2164.9539999999997
1968;3343.193;3789.0;237.48000000000002
1969;2298.974;364.0;2005.638
1970;2153.514;2654.0;82.50099999999999
1971;972.04;1326.0;9.51
1972;2171.6910000000003;2088.0;440.029
1973;1939.433;2332.0;214.794
1974;1729.991;456.0;1337.6840000000002
1975;2744.825;3557.0;140.714
1976;556.4010000000001;777.0;9.961
1977;2410.7740000000003;2606.0;356.769
1978;1556.9160000000002;2010.0;2.5
1979;1880.949;1972.0;282.60699999999997
1980;590.4680000000001;0.0;590.4680000000001
1981;2627.31;1302.0;1614.259
1982;2027.272;2599.0;19.003999999999998
1983;2721.7830000000004;0.0;2721.7830000000004
1984;2583.929;634.0;2008.0230000000001
1985;1944.284;2107.0;655.846
1986;1896.5210000000002;2454.0;5.645999999999999
1987;2421.945;1283.0;1342.101
1988;2048.361;1077.0;1116.2640000000001
1989;2132.645;381.0;1866.2220000000002
1990;2503.976;2971.0;137.34900000000002
1991;2916.636;0.0;2916.636
1992;1875.108;767.0;1286.5700000000002
1993;1950.158;2008.0;258.245
1994;615.766;806.0;0.355
1995;1121.1660000000002;1585.0;452.37800000000004
1996;1767.002;0.0;1767.002
1997;2974.933;972.0;2153.015
1998;750.0600000000001;996.0;0.0
1999;1584.388;2543.0;256.028
2000;3105.237;897.0;2365.2889999999998
2001;2420.197;3096.0;62.197
2002;1582.8410000000001;0.0;1582.8410000000001
2003;1566.761;0.0;1566.761
2004;2814.441;3571.0;132.511
2005;2839.36;2113.0;1102.7060000000001
2006;2191.324;1241.0;1206.9370000000001
2007;2597.008;2007.0;951.105
2008;926.3480000000001;1296.0;2.2940000000000005
2009;2722.88;3457.0;160.93200000000002
2010;1247.707;184.0;1085.1750000000002
2011;1649.727;0.0;1649.727
2012;2140.9170000000004;3053.0;270.587
2013;1631.059;1027.0;970.544
2014;2170.302;1140.0;1194.662
2015;1561.237;366.0;1251.409
2016;2746.825;3669.0;144.511
