YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;2550.912;3437.0;39.727000000000004
1927;957.8150000000002;1359.0;455.394
1928;2631.419;1412.0;1375.114
1929;2347.163;0.0;2347.163
1930;3212.674;3887.0;212.947
1931;1193.475;505.0;931.7470000000001
1932;2806.776;3525.0;104.61399999999999
1933;1409.888;1771.0;11.194
1934;2411.8419999999996;3126.0;22.021
1935;1429.618;405.0;1081.545
1936;1880.76;1843.0;398.1649999999999
1937;2932.543;0.0;2932.543
1938;2417.319;1502.0;1501.203
1939;816.491;1123.0;1.166
1940;3200.2709999999997;510.0;2728.693
1941;2162.501;2877.0;296.76099999999997
1942;2808.986;3611.0;47.625
1943;2802.367;729.0;2217.9570000000003
1944;3152.6940000000004;1377.0;2090.33
1945;2582.772;1754.0;1173.949
1946;2617.134;2765.0;533.21
1947;2453.142;0.0;2453.142
1948;2996.879;3405.0;379.771
1949;2578.706;2400.0;800.442
1950;3152.54;3802.0;204.736
1951;1311.3780000000002;1733.0;5.205
1952;2017.7040000000002;2621.0;8.986
1953;2528.834;796.0;1957.311
1954;2032.716;2112.0;285.228
1955;2151.1549999999997;2801.0;12.047000000000002
1956;2695.516;0.0;2695.516
1957;637.8310000000001;915.0;345.46000000000004
1958;2790.514;599.0;2348.708
1959;2966.127;3778.0;61.114000000000004
1960;1351.7469999999998;1756.0;9.893
1961;1572.277;491.0;1147.1370000000002
1962;2388.6009999999997;1461.0;1145.9609999999998
1963;3241.588;1821.0;1834.88
1964;1299.136;263.0;1181.914
1965;935.306;0.0;935.306
1966;2362.8050000000003;1203.0;1338.883
1967;2164.9539999999997;0.0;2164.9539999999997
1968;3343.193;3789.0;237.48000000000002
1969;2452.804;260.0;2217.978
1970;2422.408;2043.0;662.1479999999999
1971;1233.282;1636.0;10.307
1972;2365.3190000000004;769.0;1779.165
1973;1777.319;1936.0;326.84000000000003
1974;1844.601;0.0;1844.601
1975;2754.804;3558.0;142.23200000000003
1976;656.685;811.0;44.388999999999996
1977;2329.41;2598.0;317.155
1978;1614.214;2053.0;6.225999999999999
1979;2277.572;815.0;1625.103
1980;590.1490000000001;0.0;590.1490000000001
1981;2628.3100000000004;1302.0;1615.259
1982;2161.815;2761.0;41.184999999999995
1983;2658.735;0.0;2658.735
1984;2586.6769999999997;634.0;2010.771
1985;1953.819;2114.0;656.38
1986;2132.622;2763.0;14.638
1987;2421.945;1283.0;1342.101
1988;2048.361;1077.0;1116.2640000000001
1989;2134.4939999999997;381.0;1868.071
1990;2674.684;3238.0;101.434
1991;2917.178;0.0;2917.178
1992;1874.455;767.0;1285.9170000000001
1993;2285.4170000000004;741.0;1671.3410000000001
1994;702.4169999999999;926.0;1.456
1995;1121.4990000000003;1586.0;452.37800000000004
1996;1548.294;0.0;1548.294
1997;2978.308;972.0;2156.39
1998;921.721;1245.0;0.258
1999;1582.1;2540.0;256.63800000000003
2000;2816.098;755.0;2240.565
2001;2677.7329999999997;3275.0;147.1
2002;1581.428;0.0;1581.428
2003;1565.034;0.0;1565.034
2004;2813.7740000000003;3571.0;132.511
2005;2842.1730000000002;2116.0;1102.7060000000001
2006;2191.324;1241.0;1206.9370000000001
2007;2567.089;993.0;1801.177
2008;1239.075;1634.0;9.301000000000002
2009;2740.016;3461.0;161.71099999999998
2010;1256.007;184.0;1093.475
2011;1982.274;0.0;1982.274
2012;2141.1949999999997;3054.0;270.53200000000004
2013;1631.059;1027.0;970.544
2014;2407.197;383.0;2106.299
2015;1561.237;366.0;1251.409
2016;2749.825;3672.0;144.511
