YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;2115.451;2877.0;39.727000000000004
1927;897.629;1493.0;334.124
1928;2355.242;1371.0;1124.995
1929;1948.247;239.0;1761.223
1930;2268.5150000000003;2888.0;135.111
1931;1133.701;505.0;871.973
1932;2323.6050000000005;2896.0;104.614
1933;1137.037;1507.0;6.220000000000001
1934;2182.429;2829.0;22.021
1935;1067.977;0.0;1067.977
1936;1384.3559999999998;1765.0;8.719999999999999
1937;2114.712;0.0;2114.712
1938;1515.1840000000002;1451.0;625.985
1939;741.6489999999999;1035.0;1.192
1940;2271.295;827.0;1588.0
1941;1274.698;1858.0;296.76099999999997
1942;2369.809;3046.0;47.625
1943;2422.6059999999998;310.0;2193.291
1944;2214.573;212.0;2090.33
1945;2320.882;1423.0;1173.949
1946;1752.587;1659.0;533.21
1947;1870.297;0.0;1870.297
1948;2293.169;2872.0;141.698
1949;1630.56;1277.0;800.442
1950;2201.479;2665.0;204.73600000000005
1951;988.5930000000001;1340.0;3.6830000000000003
1952;1820.077;2373.0;8.986
1953;2025.007;148.0;1956.9340000000002
1954;1614.473;2137.0;9.744
1955;1693.054;2213.0;8.527000000000001
1956;2033.401;0.0;2033.401
1957;564.075;897.0;275.504
1958;2330.188;0.0;2330.188
1959;2046.25;2600.0;61.114
1960;911.6320000000001;1206.0;11.022000000000002
1961;1128.698;0.0;1128.698
1962;2223.77;1314.0;1118.5520000000001
1963;2299.7960000000003;652.0;1834.88
1964;1221.613;237.0;1119.607
1965;533.143;0.0;533.143
1966;2169.098;987.0;1332.798
1967;1832.893;0.0;1832.893
1968;2407.569;2677.0;237.48
1969;2245.128;302.0;1999.409
1970;1865.062;2275.0;82.50099999999999
1971;957.311;1301.0;9.51
1972;1912.3220000000001;1813.0;416.087
1973;1713.6680000000001;2237.0;76.093
1974;1571.969;456.0;1179.662
1975;2028.3310000000001;2657.0;140.714
1976;455.275;649.0;9.961
1977;1543.641;1615.0;303.684
1978;1461.259;1892.0;2.5
1979;1660.545;1752.0;253.61900000000003
1980;523.3030000000001;0.0;523.3030000000001
1981;1646.2269999999999;89.0;1614.259
1982;1542.3990000000001;1958.0;19.004
1983;1926.862;0.0;1926.862
1984;1855.581;0.0;1855.581
1985;1276.434;1623.0;417.26300000000003
1986;1704.788;2214.0;5.646
1987;1524.277;307.0;1315.5
1988;1116.2640000000001;0.0;1116.2640000000001
1989;2061.513;381.0;1795.09
1990;1669.918;2053.0;115.23600000000002
1991;1998.6919999999998;0.0;1998.6919999999998
1992;1715.643;766.0;1127.458
1993;1797.7890000000002;1821.0;258.245
1994;555.117;729.0;0.355
1995;1040.402;1530.0;389.449
1996;1646.0890000000002;0.0;1646.0890000000002
1997;2366.686;958.0;1550.9590000000003
1998;674.0889999999999;900.0;0.0
1999;1287.4930000000002;2187.0;256.028
2000;2299.723;266.0;2140.844
2001;1811.855;2314.0;62.197
2002;1439.2980000000002;0.0;1439.2980000000002
2003;1455.8200000000002;0.0;1455.8200000000002
2004;2204.768;2849.0;129.166
2005;2253.043;1352.0;1102.7060000000001
2006;1299.468;218.0;1206.221
2007;2371.799;1712.0;951.105
2008;887.373;1245.0;2.2940000000000005
2009;2135.928;2691.0;160.932
2010;1055.617;0.0;1055.617
2011;1543.058;0.0;1543.058
2012;1180.493;1925.0;270.587
2013;1371.078;727.0;967.577
2014;2109.973;1061.0;1194.662
2015;1252.624;6.0;1251.409
2016;2031.674;2771.0;144.51100000000002
