YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;128.08200000000002;179.0;0.0
1927;67.24000000000001;118.0;20.715
1928;144.403;48.0;100.547
1929;133.637;13.0;126.32500000000002
1930;154.323;195.0;8.116
1931;82.874;30.0;70.60600000000001
1932;145.562;188.0;0.36
1933;75.42699999999999;98.0;0.0
1934;131.461;167.0;0.0
1935;73.227;0.0;73.227
1936;103.02800000000002;131.0;0.0
1937;146.482;0.0;146.482
1938;116.45400000000001;98.0;51.138000000000005
1939;67.41199999999999;83.0;0.0
1940;148.126;54.0;102.90899999999999
1941;88.6;132.0;23.656
1942;145.53900000000002;184.0;0.0
1943;169.461;0.0;169.461
1944;162.003;0.0;162.003
1945;153.40800000000002;89.0;84.13900000000001
1946;142.669;132.0;49.744
1947;138.901;0.0;138.901
1948;168.629;206.0;8.108
1949;124.843;83.0;62.575
1950;160.16199999999998;172.0;25.004
1951;101.547;131.0;0.0
1952;133.254;162.0;0.0
1953;155.015;2.0;154.336
1954;138.515;171.0;0.0
1955;138.695;168.0;0.0
1956;135.08200000000002;0.0;135.08200000000002
1957;41.744;55.0;25.235999999999997
1958;181.207;0.0;181.207
1959;128.502;165.0;0.0
1960;81.438;106.0;0.0
1961;77.792;0.0;77.792
1962;149.846;71.0;89.77800000000002
1963;150.548;23.0;134.442
1964;87.876;14.0;82.426
1965;58.04600000000001;0.0;58.04600000000001
1966;166.681;71.0;105.868
1967;116.64200000000001;0.0;116.64200000000001
1968;160.941;159.0;19.061
1969;134.178;0.0;134.178
1970;124.97200000000001;152.0;0.367
1971;92.45499999999998;118.0;0.0
1972;120.03599999999999;111.0;17.846
1973;128.52100000000002;159.0;0.0
1974;132.616;30.0;107.715
1975;108.07300000000001;188.0;0.0
1976;2.001;3.0;0.0
1977;122.50999999999999;148.0;0.0
1978;77.967;101.0;0.0
1979;135.523;139.0;14.132000000000001
1980;40.24300000000001;0.0;40.24300000000001
1981;107.25399999999999;0.0;107.25399999999999
1982;102.71000000000001;125.0;0.0
1983;144.59599999999998;0.0;144.59599999999998
1984;137.77800000000002;0.0;137.77800000000002
1985;93.06900000000002;107.0;38.916
1986;132.053;159.0;0.0
1987;95.51400000000001;0.0;95.51400000000001
1988;75.99600000000001;0.0;75.99600000000001
1989;158.548;26.0;144.143
1990;135.074;165.0;0.0
1991;149.208;0.0;149.208
1992;126.59100000000001;58.0;87.857
1993;139.006;144.0;10.168
1994;33.874;47.0;0.0
1995;79.291;117.0;27.107
1996;102.95000000000002;0.0;102.95000000000002
1997;169.761;59.0;117.61999999999999
1998;62.486000000000004;76.0;0.0
1999;101.62200000000001;146.0;24.397000000000002
2000;158.20099999999996;0.0;158.20099999999996
2001;137.09300000000002;171.0;0.0
2002;102.59500000000001;0.0;102.59500000000001
2003;104.751;0.0;104.751
2004;148.905;190.0;9.72
2005;146.83300000000003;91.0;74.701
2006;84.909;0.0;84.909
2007;143.919;73.0;85.4
2008;73.75500000000001;94.0;0.0
2009;125.17800000000001;166.0;15.474
2010;70.61600000000001;0.0;70.61600000000001
2011;115.43299999999999;0.0;115.43299999999999
2012;81.63400000000001;125.0;20.649
2013;84.227;47.0;65.741
2014;133.615;61.0;80.223
2015;77.894;0.0;77.894
2016;146.512;184.0;12.951
