YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;1308.457;1687.0;0.0
1927;477.93300000000005;958.0;133.27300000000002
1928;1392.4689999999998;904.0;546.481
1929;1149.138;0.0;1149.138
1930;1477.7269999999999;1881.0;0.0
1931;720.86;342.0;521.008
1932;1427.065;1793.0;0.0
1933;630.4739999999999;777.0;0.0
1934;1195.597;1550.0;0.0
1935;686.7040000000001;0.0;686.7040000000001
1936;652.38;802.0;0.0
1937;1259.791;0.0;1259.791
1938;954.347;949.0;341.775
1939;119.304;212.0;0.0
1940;1475.6039999999998;0.0;1475.6039999999998
1941;838.585;1228.0;132.87800000000001
1942;1448.192;1822.0;0.0
1943;1386.523;0.0;1386.523
1944;1351.63;0.0;1351.63
1945;1411.987;714.0;774.6959999999999
1946;1073.984;1038.0;246.224
1947;1122.8609999999999;0.0;1122.8609999999999
1948;1465.927;1865.0;1.515
1949;1040.4479999999999;799.0;486.09499999999997
1950;1401.6000000000001;1758.0;16.627
1951;501.405;661.0;0.0
1952;882.173;1146.0;0.0
1953;1211.95;0.0;1211.95
1954;941.745;856.0;181.281
1955;1017.0219999999999;1335.0;0.0
1956;1321.219;0.0;1321.219
1957;281.68600000000004;633.0;70.551
1958;1423.1550000000002;0.0;1423.1550000000002
1959;1214.27;1576.0;0.0
1960;445.845;593.0;0.0
1961;707.2920000000001;0.0;707.2920000000001
1962;1475.807;897.0;652.039
1963;1471.8310000000001;248.0;1284.3490000000002
1964;802.326;174.0;723.3050000000001
1965;123.304;0.0;123.304
1966;1380.0610000000001;664.0;793.7360000000001
1967;1280.7269999999999;0.0;1280.7269999999999
1968;1478.491;1779.0;25.466
1969;1451.335;0.0;1451.335
1970;1153.7530000000002;881.0;345.451
1971;392.78;545.0;0.0
1972;1254.556;154.0;1146.3740000000003
1973;728.4200000000001;941.0;0.0
1974;874.48;0.0;874.48
1975;1424.147;1795.0;0.0
1976;77.585;104.0;0.0
1977;733.742;944.0;0.0
1978;727.565;889.0;0.0
1979;1161.159;235.0;967.2729999999999
1980;255.31200000000004;0.0;255.31200000000004
1981;1090.549;0.0;1090.549
1982;748.586;962.0;0.0
1983;1130.315;0.0;1130.315
1984;1172.629;0.0;1172.629
1985;794.0140000000001;1075.0;181.781
1986;955.056;1255.0;0.0
1987;977.009;0.0;977.009
1988;730.692;0.0;730.692
1989;1312.8339999999998;281.0;1099.299
1990;974.3849999999999;1269.0;0.0
1991;1267.089;0.0;1267.089
1992;1098.719;510.0;667.462
1993;1108.875;10.0;1103.4009999999998
1994;28.813000000000002;54.0;0.0
1995;663.845;1068.0;186.106
1996;980.001;0.0;980.001
1997;1475.831;647.0;899.8589999999999
1998;178.8;299.0;0.0
1999;771.863;1435.0;78.94200000000001
2000;1332.364;0.0;1332.364
2001;1140.13;1485.0;0.0
2002;956.5990000000002;0.0;956.5990000000002
2003;923.938;0.0;923.938
2004;1447.458;1847.0;1.386
2005;1470.503;895.0;640.585
2006;809.0360000000001;0.0;809.0360000000001
2007;1409.3020000000001;0.0;1409.3020000000001
2008;437.399;571.0;0.0
2009;1424.078;1744.0;25.999000000000002
2010;560.4350000000001;0.0;560.4350000000001
2011;969.5820000000001;0.0;969.5820000000001
2012;759.617;1318.0;98.32900000000001
2013;917.9639999999999;454.0;627.3530000000001
2014;1414.315;0.0;1414.315
2015;832.2860000000001;0.0;832.2860000000001
2016;1295.965;1806.0;2.728
