YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;295.73600000000005;390.0;0.0
1927;74.88000000000001;22.0;58.17200000000001
1928;199.259;14.0;191.392
1929;166.881;0.0;166.881
1930;583.138;623.0;33.132999999999996
1931;33.578;0.0;33.578
1932;331.639;442.0;0.0
1933;73.299;91.0;0.0
1934;170.04;214.0;0.0
1935;171.601;194.0;5.255
1936;328.28700000000003;94.0;247.76700000000002
1937;591.025;0.0;591.025
1938;510.629;27.0;498.76599999999996
1939;55.815000000000005;69.0;0.0
1940;591.156;340.0;279.33799999999997
1941;501.92;574.0;0.0
1942;289.257;377.0;0.0
1943;246.60500000000002;277.0;14.817
1944;589.96;714.0;0.0
1945;171.594;218.0;0.0
1946;557.421;707.0;0.0
1947;258.018;0.0;258.018
1948;370.86;284.0;126.773
1949;549.75;646.0;0.0
1950;571.186;667.0;0.0
1951;18.293;30.0;0.0
1952;133.26;167.0;0.0
1953;325.85699999999997;420.0;0.0
1954;128.364;161.0;0.0
1955;96.379;123.0;0.0
1956;334.717;0.0;334.717
1957;44.706;10.0;43.093
1958;262.96500000000003;210.0;77.42399999999999
1959;600.5260000000001;759.0;0.0
1960;68.144;85.0;0.377
1961;216.817;249.0;4.601
1962;81.198;66.0;19.313
1963;593.018;718.0;0.0
1964;41.843;18.0;32.29600000000001
1965;183.425;0.0;183.425
1966;92.01700000000001;105.0;4.449
1967;153.13400000000001;0.0;153.13400000000001
1968;563.3149999999999;655.0;0.0
1969;52.714999999999996;39.0;16.694
1970;237.96200000000002;313.0;0.0
1971;12.010000000000002;18.0;0.0
1972;184.495;159.0;37.708
1973;109.68900000000001;60.0;54.453
1974;132.28699999999998;0.0;132.28699999999998
1975;487.345;610.0;0.0
1976;67.714;86.0;0.0
1977;513.301;636.0;12.636
1978;76.30899999999998;93.0;0.0
1979;199.959;153.0;56.870999999999995
1980;31.592999999999993;0.0;31.592999999999993
1981;594.3430000000001;718.0;0.0
1982;361.976;485.0;0.0
1983;580.692;0.0;580.692
1984;486.80100000000004;421.0;101.72
1985;349.316;261.0;125.82400000000001
1986;144.951;183.0;0.0
1987;506.827;551.0;11.037
1988;528.2760000000001;601.0;0.0
1989;35.53899999999999;0.0;35.53899999999999
1990;547.827;629.0;2.8819999999999997
1991;530.453;0.0;530.453
1992;73.75999999999999;0.0;73.75999999999999
1993;132.78199999999998;169.0;0.0
1994;50.004999999999995;60.0;0.0
1995;42.657;46.0;27.559
1996;71.388;0.0;71.388
1997;413.823;9.0;409.89
1998;59.022999999999996;71.0;0.0
1999;145.921;175.0;0.0
2000;342.527;267.0;111.22800000000001
2001;470.576;600.0;0.0
2002;73.766;0.0;73.766
2003;55.67100000000001;0.0;55.67100000000001
2004;305.54699999999997;372.0;0.0
2005;399.822;529.0;0.0
2006;507.65;583.0;0.0
2007;175.558;222.0;0.0
2008;36.92;47.0;0.0
2009;403.205;534.0;0.0
2010;95.203;90.0;15.89
2011;94.73100000000001;0.0;94.73100000000001
2012;548.6239999999999;636.0;0.0
2013;122.447;143.0;0.673
2014;42.865;58.0;0.0
2015;142.051;165.0;0.0
2016;484.421;607.0;0.0
