PT_ID;VAR1;VAR2;VAR3
45017521;0.184;1;0.0
45023522;0.16;1;0.0
45024522;0.298;0;0.298
45034524;0.333;0;0.333
45035525;0.333;0;0.333
45057558;1.0;0;1.0
45061560;0.153;0;0.153
45063535;0.333;0;0.333
45089550;0.287;0;0.287
45089596;0.292;0;0.292
45092597;0.292;0;0.292
45093597;0.292;0;0.292
45098598;0.292;0;0.292
45098599;0.292;0;0.292
45098600;0.292;0;0.292
45099599;0.292;0;0.292
45099600;0.264;0;0.264
45099601;0.333;0;0.333
45100600;0.258;0;0.258
45100601;0.333;0;0.333
45102599;0.136;1;0.0
45104599;0.182;1;0.0
45105599;0.333;0;0.333
45106599;0.333;0;0.333
45107597;0.153;1;0.0
45107599;0.251;0;0.251
45107600;0.333;0;0.333
45108599;0.167;1;0.0
45108600;0.333;0;0.333
45109599;0.278;0;0.278
45109600;0.216;1;0.0
45109601;0.333;0;0.333
45110600;0.333;0;0.333
45111600;0.333;0;0.333
45111601;0.318;0;0.318
45112600;0.333;0;0.333
45112601;0.333;0;0.333
45113599;0.251;0;0.251
45113600;0.333;0;0.333
45113601;0.333;0;0.333
45114597;0.198;1;0.0
45114599;0.211;1;0.0
45114600;0.278;0;0.278
45114601;0.273;0;0.273
45115590;0.189;1;0.0
45115597;0.333;0;0.333
45115598;0.251;0;0.251
45115599;0.333;0;0.333
45115600;0.333;0;0.333
45115601;0.333;0;0.333
45116597;0.333;0;0.333
45116598;0.333;0;0.333
45116599;0.333;0;0.333
45116600;0.333;0;0.333
45116601;0.333;0;0.333
45117597;0.333;0;0.333
45117598;0.333;0;0.333
45117599;0.333;0;0.333
45117600;0.333;0;0.333
45117601;0.333;0;0.333
45118597;0.333;0;0.333
45118598;0.333;0;0.333
45118599;0.333;0;0.333
45118600;0.333;0;0.333
45118601;0.333;0;0.333
45119597;0.333;0;0.333
45119598;0.333;0;0.333
45119599;0.238;1;0.0
45119600;0.333;0;0.333
45120597;0.333;0;0.333
45120598;0.333;0;0.333
45120599;0.333;0;0.333
45121597;0.333;0;0.333
45122596;0.307;0;0.307
45122597;0.333;0;0.333
45135599;0.333;0;0.333
45135600;0.333;0;0.333
45136599;0.333;0;0.333
45136600;0.333;0;0.333
45137599;0.333;0;0.333
45163600;0.146;0;0.146
45172600;0.247;0;0.247
45174600;0.331;0;0.331
45176601;0.333;0;0.333
45177602;0.333;0;0.333
45178602;0.274;0;0.274
45178603;0.292;0;0.292
45179603;0.292;0;0.292
45180604;0.333;0;0.333
45181604;0.161;0;0.161
45183604;0.333;0;0.333
45184606;0.292;0;0.292
45185607;0.333;0;0.333
45188610;0.226;0;0.226
45189611;0.292;0;0.292
45193613;0.125;0;0.125
45194614;0.292;0;0.292
45194615;0.292;0;0.292
45195615;0.16;0;0.16
45196617;0.314;0;0.314
45197617;0.292;0;0.292
45207620;0.333;0;0.333
45208620;0.121;0;0.121
45209621;0.147;1;0.0
45211621;0.333;0;0.333
45215622;0.23;0;0.23
45216622;0.196;0;0.196
45217622;0.328;0;0.328
45221623;0.203;0;0.203
45229628;0.333;0;0.333
45229629;0.333;0;0.333
45230629;0.275;0;0.275
45235635;0.333;0;0.333
45340503;0.333;0;0.333
45357534;0.28;0;0.28
45370503;0.252;0;0.252
45483528;0.333;0;0.333
45487527;1.0;0;1.0
