PT_ID;VAR1;VAR2;VAR3
46000355;1.0;1;0.0
46000356;0.889;1;0.0
46000357;0.985;1;0.0
46000362;0.782;1;0.0
46000363;0.806;1;0.0
46000410;0.463;1;0.0
46000411;0.458;1;0.0
46000412;0.756;1;0.0
46000413;0.391;1;0.0
46001355;0.685;1;0.0
46001356;1.0;1;0.0
46001357;1.0;1;0.0
46001361;0.377;1;0.0
46001362;0.7;1;0.0
46001411;0.527;1;0.0
46001412;0.583;1;0.0
46002355;1.0;1;0.0
46002357;0.901;1;0.0
46002360;1.0;1;0.0
46002361;0.753;1;0.0
46002411;1.0;1;0.0
46003355;0.989;1;0.0
46003357;1.0;1;0.0
46003358;0.89;1;0.0
46003359;0.834;1;0.0
46003360;0.84;1;0.0
46004355;0.858;1;0.0
46004358;1.0;1;0.0
46004359;0.906;1;0.0
46004404;1.0;1;0.0
46004405;1.0;1;0.0
46005355;0.837;1;0.0
46005402;0.992;1;0.0
46005404;0.797;1;0.0
46005405;1.0;1;0.0
46006355;0.746;1;0.0
46006356;1.0;1;0.0
46006401;0.615;1;0.0
46006405;1.0;1;0.0
46006406;1.0;1;0.0
46007356;1.0;1;0.0
46007357;0.688;1;0.0
46007358;1.0;1;0.0
46007405;0.907;1;0.0
46008358;0.917;1;0.0
46008359;0.645;1;0.0
46008360;0.896;1;0.0
46008405;0.72;1;0.0
46009360;1.0;1;0.0
46009361;0.752;1;0.0
46010361;1.0;1;0.0
46010362;0.946;1;0.0
46010402;0.625;1;0.0
46010403;0.895;1;0.0
46011362;0.597;1;0.0
46011363;1.0;1;0.0
46011396;0.378;1;0.0
46011401;0.336;1;0.0
46012362;1.0;1;0.0
46012363;0.704;1;0.0
46012396;0.519;1;0.0
46013363;0.728;1;0.0
46013364;1.0;1;0.0
46013366;1.0;1;0.0
46013396;1.0;1;0.0
46013397;0.741;1;0.0
46013398;0.493;1;0.0
46013400;0.98;1;0.0
46014364;0.626;1;0.0
46014398;1.0;1;0.0
46014399;0.503;1;0.0
46015364;0.576;1;0.0
46015365;0.864;1;0.0
46015485;0.823;1;0.0
46016364;0.667;1;0.0
46016365;1.0;1;0.0
46017363;1.0;1;0.0
46017364;0.651;1;0.0
46018363;0.795;1;0.0
46019363;0.753;1;0.0
46019364;1.0;1;0.0
46019390;1.0;1;0.0
46019486;1.0;1;0.0
46020364;0.435;1;0.0
46020365;0.809;1;0.0
46020366;0.739;1;0.0
46020389;1.0;1;0.0
46020390;1.0;1;0.0
46020391;1.0;1;0.0
46020486;0.962;1;0.0
46021366;0.559;1;0.0
46021367;0.548;1;0.0
46021388;0.804;1;0.0
46021389;0.742;1;0.0
46021390;0.745;1;0.0
46021391;1.0;1;0.0
46021392;1.0;1;0.0
46022367;0.673;1;0.0
46022368;0.58;1;0.0
46022388;1.0;1;0.0
46022389;0.902;1;0.0
46022390;0.734;1;0.0
46022391;0.745;1;0.0
46022392;1.0;1;0.0
