PT_ID;VAR1;VAR2;VAR3
45516522;0.666;0;0.666
45517521;1.0;0;1.0
45520520;0.695;0;0.695
45521520;1.0;0;1.0
45560481;0.665;0;0.665
45935448;0.675;0;0.675
45940443;1.0;0;1.0
45940453;1.0;0;1.0
45941442;1.0;0;1.0
45942441;0.76;0;0.76
45942451;1.0;0;1.0
45943440;0.586;0;0.586
45944439;0.488;0;0.488
45944455;1.0;0;1.0
45950439;0.559;0;0.559
45957428;1.0;0;1.0
45958428;1.0;0;1.0
45960425;1.0;0;1.0
45965419;0.71;0;0.71
45967417;0.444;0;0.444
45968402;1.0;0;1.0
45968415;0.372;0;0.372
45969401;1.0;0;1.0
45969413;0.751;0;0.751
45969414;0.924;0;0.924
45970412;1.0;0;1.0
45970413;1.0;0;1.0
45971399;0.964;0;0.964
45971411;1.0;0;1.0
45971412;1.0;0;1.0
45973406;0.445;0;0.445
45974407;0.554;0;0.554
45974408;0.343;0;0.343
45975317;0.73;0;0.73
45975405;0.387;0;0.387
45975408;0.751;0;0.751
45976405;0.387;0;0.387
45976406;0.377;0;0.377
45977405;0.537;0;0.537
45977406;0.412;0;0.412
45978406;1.0;0;1.0
45979405;0.949;0;0.949
45980319;1.0;0;1.0
45980320;0.644;0;0.644
45981396;1.0;0;1.0
45982397;1.0;0;1.0
45983394;0.39;0;0.39
45984399;0.512;0;0.512
45985397;0.542;0;0.542
45985399;0.389;0;0.389
45986397;0.704;0;0.704
45987393;0.484;0;0.484
45988332;0.735;0;0.735
45988391;1.0;0;1.0
45988396;1.0;0;1.0
45989395;0.721;0;0.721
45989396;0.783;0;0.783
45990388;0.489;0;0.489
45990394;1.0;0;1.0
45991388;0.485;0;0.485
45991389;0.576;0;0.576
45991394;0.755;0;0.755
45991395;0.515;0;0.515
45992377;0.998;0;0.998
45992388;0.36;0;0.36
45992389;0.459;0;0.459
45992390;0.483;0;0.483
45992392;0.534;0;0.534
45992393;0.405;0;0.405
45992394;0.675;0;0.675
45993390;0.385;0;0.385
45993393;1.0;0;1.0
45994376;0.513;0;0.513
45995378;0.982;0;0.982
45995390;0.424;0;0.424
45998386;1.0;0;1.0
