PT_ID;VAR1;VAR2;VAR3;SECTION;TILE
40840500;0.333;0;0.333;LKO_CAN;40
40852337;0.557;0;0.557;LKO_CAN;40
40852344;0.897;1;0.0;LKO_CAN;40
40852346;0.404;0;0.404;LKO_CAN;40
40854328;1.0;0;1.0;LKO_CAN;40
40854365;1.0;0;1.0;LKO_CAN;40
40854368;1.0;0;1.0;LKO_CAN;40
40854369;1.0;0;1.0;LKO_CAN;40
40854370;0.86;0;0.86;LKO_CAN;40
40854371;1.0;0;1.0;LKO_CAN;40
40856323;0.712;0;0.712;LKO_CAN;40
40857318;0.949;0;0.949;LKO_CAN;40
40857320;1.0;0;1.0;LKO_CAN;40
40858315;0.385;0;0.385;LKO_CAN;40
40858387;0.405;0;0.405;LKO_CAN;40
40858388;1.0;1;0.0;LKO_CAN;40
40859388;0.757;0;0.757;LKO_CAN;40
40860310;0.933;0;0.933;LKO_CAN;40
40860502;0.162;0;0.162;LKO_CAN;40
40863305;0.861;0;0.861;LKO_CAN;40
40863392;1.0;0;1.0;LKO_CAN;40
40864303;0.426;0;0.426;LKO_CAN;40
40865302;0.976;0;0.976;LKO_CAN;40
40867300;0.466;0;0.466;LKO_CAN;40
40868300;0.76;0;0.76;LKO_CAN;40
40868396;0.711;0;0.711;LKO_CAN;40
40869299;0.632;0;0.632;LKO_CAN;40
40870299;1.0;0;1.0;LKO_CAN;40
40875296;1.0;0;1.0;LKO_CAN;40
40875502;1.0;0;1.0;LKO_CAN;40
40878473;0.166;0;0.166;LKO_CAN;40
40881465;0.333;0;0.333;LKO_CAN;40
40883295;1.0;1;0.0;LKO_CAN;40
40883296;1.0;0;1.0;LKO_CAN;40
40885424;0.333;0;0.333;LKO_CAN;40
40887295;1.0;0;1.0;LKO_CAN;40
40888295;0.982;0;0.982;LKO_CAN;40
40891418;0.245;0;0.245;LKO_CAN;40
40892294;1.0;0;1.0;LKO_CAN;40
40892417;0.936;0;0.936;LKO_CAN;40
40892418;1.0;1;0.0;LKO_CAN;40
40893294;0.421;0;0.421;LKO_CAN;40
40893421;0.29;0;0.29;LKO_CAN;40
40894458;0.171;0;0.171;LKO_CAN;40
40895457;0.333;0;0.333;LKO_CAN;40
40895458;0.333;0;0.333;LKO_CAN;40
40896456;0.333;0;0.333;LKO_CAN;40
40896457;0.333;0;0.333;LKO_CAN;40
40897293;0.719;0;0.719;LKO_CAN;40
40897446;0.119;0;0.119;LKO_CAN;40
40897455;0.333;0;0.333;LKO_CAN;40
40897456;0.256;0;0.256;LKO_CAN;40
40898454;0.329;0;0.329;LKO_CAN;40
40898455;0.333;0;0.333;LKO_CAN;40
40899422;0.333;0;0.333;LKO_CAN;40
40899454;0.333;0;0.333;LKO_CAN;40
40899455;0.333;0;0.333;LKO_CAN;40
40900414;0.198;0;0.198;LKO_CAN;40
40900415;0.165;0;0.165;LKO_CAN;40
40900416;0.132;0;0.132;LKO_CAN;40
40900419;0.173;0;0.173;LKO_CAN;40
40900420;0.31;1;0.0;LKO_CAN;40
40901411;0.119;0;0.119;LKO_CAN;40
40901414;1.0;0;1.0;LKO_CAN;40
40901416;0.193;0;0.193;LKO_CAN;40
40901419;0.296;0;0.296;LKO_CAN;40
40901420;0.333;0;0.333;LKO_CAN;40
40901421;0.333;0;0.333;LKO_CAN;40
40901453;0.333;0;0.333;LKO_CAN;40
40902411;0.768;0;0.768;LKO_CAN;40
40902412;0.384;0;0.384;LKO_CAN;40
40902413;0.792;0;0.792;LKO_CAN;40
40902415;0.169;0;0.169;LKO_CAN;40
40902416;0.237;0;0.237;LKO_CAN;40
40902420;0.137;0;0.137;LKO_CAN;40
40902421;0.333;0;0.333;LKO_CAN;40
40902422;0.232;0;0.232;LKO_CAN;40
40902423;0.247;0;0.247;LKO_CAN;40
40902443;0.126;1;0.0;LKO_CAN;40
40902453;0.333;0;0.333;LKO_CAN;40
40902459;0.212;0;0.212;LKO_CAN;40
40902460;0.263;0;0.263;LKO_CAN;40
40903413;0.118;0;0.118;LKO_CAN;40
40903416;0.532;0;0.532;LKO_CAN;40
40903443;0.333;0;0.333;LKO_CAN;40
40903453;0.333;0;0.333;LKO_CAN;40
40904409;0.368;0;0.368;LKO_CAN;40
40904420;0.333;0;0.333;LKO_CAN;40
40904442;0.333;0;0.333;LKO_CAN;40
40904453;0.333;0;0.333;LKO_CAN;40
40904454;0.333;0;0.333;LKO_CAN;40
40904461;0.331;0;0.331;LKO_CAN;40
40905418;0.165;0;0.165;LKO_CAN;40
40905419;0.313;0;0.313;LKO_CAN;40
40905420;0.333;0;0.333;LKO_CAN;40
40905442;0.333;0;0.333;LKO_CAN;40
40905453;0.285;0;0.285;LKO_CAN;40
40905454;0.284;0;0.284;LKO_CAN;40
40905461;0.28;0;0.28;LKO_CAN;40
40906419;0.416;1;0.0;LKO_CAN;40
40906458;0.267;0;0.267;LKO_CAN;40
40906459;0.219;0;0.219;LKO_CAN;40
40907414;0.116;0;0.116;LKO_CAN;40
40907454;0.333;0;0.333;LKO_CAN;40
40907456;0.147;0;0.147;LKO_CAN;40
40907457;0.275;0;0.275;LKO_CAN;40
40907458;0.123;0;0.123;LKO_CAN;40
40907459;0.269;0;0.269;LKO_CAN;40
40907460;0.331;0;0.331;LKO_CAN;40
40908454;0.157;0;0.157;LKO_CAN;40
40908455;0.333;0;0.333;LKO_CAN;40
40908459;0.272;0;0.272;LKO_CAN;40
40909455;0.145;0;0.145;LKO_CAN;40
40912453;0.333;0;0.333;LKO_CAN;40
40913445;0.333;0;0.333;LKO_CAN;40
40914450;0.696;1;0.0;LKO_CAN;40
40916440;0.619;1;0.0;LKO_CAN;40
40916447;0.333;0;0.333;LKO_CAN;40
40916448;0.389;1;0.0;LKO_CAN;40
40917440;0.62;1;0.0;LKO_CAN;40
40917441;0.333;0;0.333;LKO_CAN;40
40917446;0.799;1;0.0;LKO_CAN;40
40918439;0.322;0;0.322;LKO_CAN;40
40918441;0.333;0;0.333;LKO_CAN;40
40918442;0.333;0;0.333;LKO_CAN;40
40918443;0.333;0;0.333;LKO_CAN;40
40918445;0.333;0;0.333;LKO_CAN;40
40919439;1.0;0;1.0;LKO_CAN;40
40919441;0.333;0;0.333;LKO_CAN;40
40919442;0.741;1;0.0;LKO_CAN;40
40919443;1.0;0;1.0;LKO_CAN;40
40919444;0.873;1;0.0;LKO_CAN;40
40920439;1.0;0;1.0;LKO_CAN;40
40920440;0.989;0;0.989;LKO_CAN;40
40920441;1.0;0;1.0;LKO_CAN;40
40920442;0.289;0;0.289;LKO_CAN;40
40920443;1.0;0;1.0;LKO_CAN;40
40920444;0.333;0;0.333;LKO_CAN;40
40921439;1.0;0;1.0;LKO_CAN;40
40921440;0.726;0;0.726;LKO_CAN;40
40921441;1.0;0;1.0;LKO_CAN;40
40921442;1.0;0;1.0;LKO_CAN;40
40921443;1.0;0;1.0;LKO_CAN;40
40921444;0.332;0;0.332;LKO_CAN;40
40921445;1.0;1;0.0;LKO_CAN;40
40921449;0.333;0;0.333;LKO_CAN;40
40921461;0.333;0;0.333;LKO_CAN;40
40922288;0.74;0;0.74;LKO_CAN;40
40922438;0.592;0;0.592;LKO_CAN;40
40922439;0.761;0;0.761;LKO_CAN;40
40922440;0.781;0;0.781;LKO_CAN;40
40922441;1.0;0;1.0;LKO_CAN;40
40922442;1.0;0;1.0;LKO_CAN;40
40922443;0.333;0;0.333;LKO_CAN;40
40922444;0.319;0;0.319;LKO_CAN;40
40922445;0.333;0;0.333;LKO_CAN;40
40922446;0.333;0;0.333;LKO_CAN;40
40922460;0.227;0;0.227;LKO_CAN;40
40923443;0.333;0;0.333;LKO_CAN;40
40925461;0.317;0;0.317;LKO_CAN;40
40926456;0.324;1;0.0;LKO_CAN;40
40926458;0.237;0;0.237;LKO_CAN;40
40927287;1.0;0;1.0;LKO_CAN;40
40927456;0.333;1;0.0;LKO_CAN;40
40927457;0.901;1;0.0;LKO_CAN;40
40927459;0.194;0;0.194;LKO_CAN;40
40928446;0.546;0;0.546;LKO_CAN;40
40928447;0.812;0;0.812;LKO_CAN;40
40928457;0.22;0;0.22;LKO_CAN;40
40928458;1.0;1;0.0;LKO_CAN;40
40928459;0.333;0;0.333;LKO_CAN;40
40929458;0.235;0;0.235;LKO_CAN;40
40929459;0.333;0;0.333;LKO_CAN;40
40930456;1.0;0;1.0;LKO_CAN;40
40930457;0.333;0;0.333;LKO_CAN;40
40931456;0.333;0;0.333;LKO_CAN;40
40931457;0.333;1;0.0;LKO_CAN;40
40932457;0.227;0;0.227;LKO_CAN;40
40934473;0.169;0;0.169;LKO_CAN;40
40935472;0.283;0;0.283;LKO_CAN;40
40935473;0.317;0;0.317;LKO_CAN;40
40935474;0.118;0;0.118;LKO_CAN;40
40936472;0.333;0;0.333;LKO_CAN;40
40936475;0.14;0;0.14;LKO_CAN;40
40937472;0.333;0;0.333;LKO_CAN;40
40945488;0.667;0;0.667;LKO_CAN;40
40949495;0.811;0;0.811;LKO_CAN;40
40950496;1.0;0;1.0;LKO_CAN;40
40951287;0.56;0;0.56;LKO_CAN;40
40952287;1.0;0;1.0;LKO_CAN;40
40954498;0.424;0;0.424;LKO_CAN;40
40955500;0.379;0;0.379;LKO_CAN;40
40960287;1.0;0;1.0;LKO_CAN;40
40961505;0.454;0;0.454;LKO_CAN;40
40964506;0.622;0;0.622;LKO_CAN;40
40967287;0.874;0;0.874;LKO_CAN;40
40970508;0.441;0;0.441;LKO_CAN;40
40970537;1.0;0;1.0;LKO_CAN;40
40971287;0.767;0;0.767;LKO_CAN;40
40971537;0.56;0;0.56;LKO_CAN;40
40971539;0.936;0;0.936;LKO_CAN;40
40971540;0.747;1;0.0;LKO_CAN;40
40972287;0.417;0;0.417;LKO_CAN;40
40972537;0.872;0;0.872;LKO_CAN;40
40972539;0.64;0;0.64;LKO_CAN;40
40972540;0.336;0;0.336;LKO_CAN;40
40973539;0.421;0;0.421;LKO_CAN;40
40973540;0.891;0;0.891;LKO_CAN;40
40973543;0.613;1;0.0;LKO_CAN;40
40974510;0.638;0;0.638;LKO_CAN;40
40974532;0.845;0;0.845;LKO_CAN;40
40974542;0.973;1;0.0;LKO_CAN;40
40974543;1.0;0;1.0;LKO_CAN;40
40974544;0.883;0;0.883;LKO_CAN;40
40975532;0.997;0;0.997;LKO_CAN;40
40975540;0.467;0;0.467;LKO_CAN;40
40975542;0.773;1;0.0;LKO_CAN;40
40975543;1.0;0;1.0;LKO_CAN;40
40975544;1.0;0;1.0;LKO_CAN;40
40975545;1.0;0;1.0;LKO_CAN;40
40975546;1.0;0;1.0;LKO_CAN;40
40976287;0.415;0;0.415;LKO_CAN;40
40976528;1.0;0;1.0;LKO_CAN;40
40976529;0.44;1;0.0;LKO_CAN;40
40976544;1.0;0;1.0;LKO_CAN;40
40976545;1.0;0;1.0;LKO_CAN;40
40976546;1.0;0;1.0;LKO_CAN;40
40977527;0.397;0;0.397;LKO_CAN;40
40977528;1.0;0;1.0;LKO_CAN;40
40977529;1.0;0;1.0;LKO_CAN;40
40977549;0.725;1;0.0;LKO_CAN;40
40978528;1.0;0;1.0;LKO_CAN;40
40978546;1.0;1;0.0;LKO_CAN;40
40978547;0.459;1;0.0;LKO_CAN;40
40978549;0.339;1;0.0;LKO_CAN;40
40979524;0.483;0;0.483;LKO_CAN;40
40979527;0.499;0;0.499;LKO_CAN;40
40979546;1.0;1;0.0;LKO_CAN;40
40981513;0.983;0;0.983;LKO_CAN;40
40981514;0.89;0;0.89;LKO_CAN;40
40981523;1.0;1;0.0;LKO_CAN;40
40981526;0.899;0;0.899;LKO_CAN;40
40982287;0.959;1;0.0;LKO_CAN;40
40982515;0.571;0;0.571;LKO_CAN;40
40982516;1.0;0;1.0;LKO_CAN;40
40982517;1.0;0;1.0;LKO_CAN;40
40982520;1.0;0;1.0;LKO_CAN;40
40982521;0.889;0;0.889;LKO_CAN;40
40982526;0.964;0;0.964;LKO_CAN;40
40982555;0.565;1;0.0;LKO_CAN;40
40983516;1.0;0;1.0;LKO_CAN;40
40983517;1.0;1;0.0;LKO_CAN;40
40983518;1.0;0;1.0;LKO_CAN;40
40983519;0.354;0;0.354;LKO_CAN;40
40983522;1.0;0;1.0;LKO_CAN;40
40984520;0.463;0;0.463;LKO_CAN;40
40984521;0.638;0;0.638;LKO_CAN;40
40984531;0.381;1;0.0;LKO_CAN;40
40985520;0.751;0;0.751;LKO_CAN;40
40985521;0.947;1;0.0;LKO_CAN;40
40985522;0.379;1;0.0;LKO_CAN;40
40985527;1.0;0;1.0;LKO_CAN;40
40985531;1.0;0;1.0;LKO_CAN;40
40986520;1.0;0;1.0;LKO_CAN;40
40986521;1.0;0;1.0;LKO_CAN;40
40986529;0.937;0;0.937;LKO_CAN;40
40987288;0.813;0;0.813;LKO_CAN;40
40987518;1.0;0;1.0;LKO_CAN;40
40987519;1.0;0;1.0;LKO_CAN;40
40987520;1.0;0;1.0;LKO_CAN;40
40987521;1.0;0;1.0;LKO_CAN;40
40987526;0.598;0;0.598;LKO_CAN;40
40987531;0.902;0;0.902;LKO_CAN;40
40988288;1.0;0;1.0;LKO_CAN;40
40988516;1.0;0;1.0;LKO_CAN;40
40988517;1.0;0;1.0;LKO_CAN;40
40988518;1.0;1;0.0;LKO_CAN;40
40988519;1.0;0;1.0;LKO_CAN;40
40988520;0.96;1;0.0;LKO_CAN;40
40988521;1.0;0;1.0;LKO_CAN;40
40988525;0.475;1;0.0;LKO_CAN;40
40988529;0.781;1;0.0;LKO_CAN;40
40988530;0.422;0;0.422;LKO_CAN;40
40989289;1.0;0;1.0;LKO_CAN;40
40989513;0.872;0;0.872;LKO_CAN;40
40989514;1.0;0;1.0;LKO_CAN;40
40989517;0.571;1;0.0;LKO_CAN;40
40989519;1.0;1;0.0;LKO_CAN;40
40989520;0.979;1;0.0;LKO_CAN;40
40989521;1.0;1;0.0;LKO_CAN;40
40989525;1.0;0;1.0;LKO_CAN;40
40989526;1.0;0;1.0;LKO_CAN;40
40990511;0.605;0;0.605;LKO_CAN;40
40990512;0.893;0;0.893;LKO_CAN;40
40990513;1.0;0;1.0;LKO_CAN;40
40990514;1.0;1;0.0;LKO_CAN;40
40990515;1.0;1;0.0;LKO_CAN;40
40990516;1.0;1;0.0;LKO_CAN;40
40990517;1.0;0;1.0;LKO_CAN;40
40990518;0.566;0;0.566;LKO_CAN;40
40990519;0.787;0;0.787;LKO_CAN;40
40990520;1.0;0;1.0;LKO_CAN;40
40990521;0.525;1;0.0;LKO_CAN;40
40990522;1.0;1;0.0;LKO_CAN;40
40990524;0.568;1;0.0;LKO_CAN;40
40990525;0.368;1;0.0;LKO_CAN;40
40991510;0.365;0;0.365;LKO_CAN;40
40991511;0.764;0;0.764;LKO_CAN;40
40991512;0.955;0;0.955;LKO_CAN;40
40991513;1.0;0;1.0;LKO_CAN;40
40991514;1.0;0;1.0;LKO_CAN;40
40991515;1.0;0;1.0;LKO_CAN;40
40991516;0.75;0;0.75;LKO_CAN;40
40991517;0.571;0;0.571;LKO_CAN;40
40991518;1.0;0;1.0;LKO_CAN;40
40991520;1.0;1;0.0;LKO_CAN;40
40991521;0.581;1;0.0;LKO_CAN;40
40991525;0.461;1;0.0;LKO_CAN;40
40992510;0.7;0;0.7;LKO_CAN;40
40992511;0.875;0;0.875;LKO_CAN;40
40992512;0.972;0;0.972;LKO_CAN;40
40992513;1.0;0;1.0;LKO_CAN;40
40992514;0.947;0;0.947;LKO_CAN;40
40992515;0.923;0;0.923;LKO_CAN;40
40992516;0.567;0;0.567;LKO_CAN;40
40992517;1.0;0;1.0;LKO_CAN;40
40992518;1.0;1;0.0;LKO_CAN;40
40992520;0.395;1;0.0;LKO_CAN;40
40992521;0.68;1;0.0;LKO_CAN;40
40993289;0.655;0;0.655;LKO_CAN;40
40993510;0.632;0;0.632;LKO_CAN;40
40993511;0.931;0;0.931;LKO_CAN;40
40993512;0.971;0;0.971;LKO_CAN;40
40993513;0.921;0;0.921;LKO_CAN;40
40993514;0.737;0;0.737;LKO_CAN;40
40993516;1.0;0;1.0;LKO_CAN;40
40993518;0.541;1;0.0;LKO_CAN;40
40993519;0.907;1;0.0;LKO_CAN;40
40993520;0.776;1;0.0;LKO_CAN;40
40993526;0.335;0;0.335;LKO_CAN;40
40994511;0.805;0;0.805;LKO_CAN;40
40994512;0.68;0;0.68;LKO_CAN;40
40994513;0.504;0;0.504;LKO_CAN;40
40994514;0.569;0;0.569;LKO_CAN;40
40994515;0.396;0;0.396;LKO_CAN;40
40994516;0.929;0;0.929;LKO_CAN;40
40994517;1.0;1;0.0;LKO_CAN;40
40994518;1.0;0;1.0;LKO_CAN;40
40994519;0.563;1;0.0;LKO_CAN;40
40994520;0.363;1;0.0;LKO_CAN;40
40994521;0.88;0;0.88;LKO_CAN;40
40994522;0.976;1;0.0;LKO_CAN;40
40995514;0.648;0;0.648;LKO_CAN;40
40995515;0.723;0;0.723;LKO_CAN;40
40995516;0.898;0;0.898;LKO_CAN;40
40995517;1.0;0;1.0;LKO_CAN;40
40995518;1.0;0;1.0;LKO_CAN;40
40995519;1.0;0;1.0;LKO_CAN;40
40996514;0.946;0;0.946;LKO_CAN;40
40996515;0.954;0;0.954;LKO_CAN;40
40996516;0.794;0;0.794;LKO_CAN;40
40996517;0.415;0;0.415;LKO_CAN;40
40996524;1.0;1;0.0;LKO_CAN;40
40997513;0.49;0;0.49;LKO_CAN;40
40997514;0.77;0;0.77;LKO_CAN;40
40997516;0.415;0;0.415;LKO_CAN;40
40997517;0.407;0;0.407;LKO_CAN;40
40997523;0.808;0;0.808;LKO_CAN;40
40998515;0.391;0;0.391;LKO_CAN;40
40998516;0.776;0;0.776;LKO_CAN;40
40998523;1.0;0;1.0;LKO_CAN;40
40999287;0.98;0;0.98;LKO_CAN;40
40999522;1.0;0;1.0;LKO_CAN;40
