PT_ID;XVAL;YVAL
42010479;640055;5045745
42010480;640065;5045745
42011480;640065;5045755
42012480;640065;5045765
42107510;640365;5046715
42131478;640045;5046955
42132481;640075;5046965
42133485;640115;5046975
42135485;640115;5046995
42136484;640105;5047005
42137488;640145;5047015
42137489;640155;5047015
42137490;640165;5047015
42138484;640105;5047025
42138487;640135;5047025
42138489;640155;5047025
42139486;640125;5047035
42139487;640135;5047035
42140523;640495;5047045
42141484;640105;5047055
42142482;640085;5047065
42143524;640505;5047075
42159530;640565;5047235
42160530;640565;5047245
42161530;640565;5047255
42162531;640575;5047265
42163531;640575;5047275
42165506;640325;5047295
42191543;640695;5047555
42192518;640445;5047565
42193544;640705;5047575
42208549;640755;5047725
42210550;640765;5047745
42219552;640785;5047835
42228557;640835;5047925
42231558;640845;5047955
42236559;640855;5048005
42237560;640865;5048015
42242562;640885;5048065
42252565;640915;5048165
42252566;640925;5048165
42254566;640925;5048185
42255567;640935;5048195
42257568;640945;5048215
42258568;640945;5048225
42261569;640955;5048255
42262569;640955;5048265
42263570;640965;5048275
42265570;640965;5048295
42266571;640975;5048305
42267571;640975;5048315
42268571;640975;5048325
42275573;640995;5048395
42276573;640995;5048405
42293578;641045;5048575
42294578;641045;5048585
42295578;641045;5048595
42297579;641055;5048615
42329561;640875;5048935
42330561;640875;5048945
42331562;640885;5048955
42338588;641145;5049025
42360592;641185;5049245
42367594;641205;5049315
42372571;640975;5049365
42376597;641235;5049405
42383599;641255;5049475
42384600;641265;5049485
42385600;641265;5049495
42394602;641285;5049585
42397603;641295;5049615
42398603;641295;5049625
42400604;641305;5049645
42401604;641305;5049655
42402604;641305;5049665
42404605;641315;5049685
42405605;641315;5049695
42406605;641315;5049705
42409606;641325;5049735
42410606;641325;5049745
42418608;641345;5049825
42419608;641345;5049835
42421582;641085;5049855
42422582;641085;5049865
42423609;641355;5049875
42424609;641355;5049885
42427609;641355;5049915
42438610;641365;5050025
42439610;641365;5050035
42446585;641115;5050105
42448585;641115;5050125
42451619;641455;5050155
42459605;641315;5050235
42462606;641325;5050265
42481610;641365;5050455
42483610;641365;5050475
42516618;641445;5050805
42517618;641445;5050815
42539623;641495;5051035
42540623;641495;5051045
42550624;641505;5051145
42560625;641515;5051245
42563625;641515;5051275
42570625;641515;5051345
42587624;641505;5051515
42602621;641475;5051665
42608621;641475;5051725
42634623;641495;5051985
42642622;641485;5052065
42646623;641495;5052105
42647623;641495;5052115
42648598;641245;5052125
42649598;641245;5052135
42650598;641245;5052145
42671625;641515;5052355
42672625;641515;5052365
42682600;641265;5052465
42685600;641265;5052495
42689601;641275;5052535
42689626;641525;5052535
42690601;641275;5052545
42703602;641285;5052675
42707629;641555;5052715
42725605;641315;5052895
42754636;641625;5053185
42755636;641625;5053195
42759636;641625;5053235
42760636;641625;5053245
42761636;641625;5053255
42778637;641635;5053425
42786638;641645;5053505
42788638;641645;5053525
42805638;641645;5053695
42810638;641645;5053745
42816638;641645;5053805
42822637;641635;5053865
42830635;641615;5053945
42832635;641615;5053965
42843634;641605;5054075
42847634;641605;5054115
42848634;641605;5054125
42852611;641375;5054165
42853634;641605;5054175
42854634;641605;5054185
42855634;641605;5054195
42857610;641365;5054215
42857634;641605;5054215
42858610;641365;5054225
42861633;641595;5054255
42863633;641595;5054275
42870632;641585;5054345
42886628;641545;5054505
42887628;641545;5054515
42889627;641535;5054535
42890626;641525;5054545
42891602;641285;5054555
42891626;641525;5054555
42892602;641285;5054565
42893625;641515;5054575
42894625;641515;5054585
42895624;641505;5054595
42896624;641505;5054605
42897624;641505;5054615
42902622;641485;5054665
42904621;641475;5054685
42907620;641465;5054715
42909595;641215;5054735
42912594;641205;5054765
42913617;641435;5054775
42921589;641155;5054855
42923413;639395;5054875
42924415;639415;5054885
42924612;641385;5054885
42925416;639425;5054895
42928418;639445;5054925
42928610;641365;5054925
42937401;639275;5055015
42938402;639285;5055025
42941608;641345;5055055
42943428;639545;5055075
42943611;641375;5055075
42944612;641385;5055085
42945613;641395;5055095
42946408;639345;5055105
42947615;641415;5055115
42948569;640955;5055125
42948616;641425;5055125
42950617;641435;5055145
42954588;641145;5055185
42955619;641455;5055195
42956620;641465;5055205
42957621;641475;5055215
42960624;641505;5055245
42961414;639405;5055255
42961417;639435;5055255
42962417;639435;5055265
42962556;640825;5055265
42962627;641535;5055265
42963419;639455;5055275
42963420;639465;5055275
42963628;641545;5055275
42964419;639455;5055285
42964554;640805;5055285
42965419;639455;5055295
42966421;639475;5055305
42968418;639445;5055325
42969418;639445;5055335
42969419;639455;5055335
42969631;641575;5055335
42970419;639455;5055345
42971632;641585;5055355
42972418;639445;5055365
42973417;639435;5055375
42973418;639445;5055375
42976418;639445;5055405
42977417;639435;5055415
42979417;639435;5055435
42979418;639445;5055435
42979537;640635;5055435
42984415;639415;5055485
42985415;639415;5055495
42986532;640585;5055505
42991417;639435;5055555
42998429;639555;5055625
42998430;639565;5055625
42999428;639545;5055635
42999430;639565;5055635
42999431;639575;5055635
