PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
45000547;1.87;6;0.333;0.2671428571428572;0.8571428571428571;0.04757142857142858
45000548;11.47;12;1.0;0.8823076923076923;0.9230769230769231;0.07692307692307693
45000549;1.919;3;0.0;0.6396666666666667;1.0;0.0
45001548;10.968;11;0.645;0.914;0.9166666666666666;0.05375
45001549;1.9;3;0.0;0.6333333333333333;1.0;0.0
45002546;0.333;0;0.333;0.333;0.0;0.333
45002548;10.579;10;0.891;0.9617272727272728;0.9090909090909091;0.081
45002549;8.002;9;0.0;0.8891111111111112;1.0;0.0
45003548;3.727;8;0.0;0.465875;1.0;0.0
45003549;4.866;8;0.0;0.60825;1.0;0.0
45003550;0.397;1;0.0;0.397;1.0;0.0
45004546;0.904;0;0.904;0.904;0.0;0.904
45004547;0.763;1;0.0;0.763;1.0;0.0
45004548;3.94;9;0.0;0.43777777777777777;1.0;0.0
45004549;0.521;1;0.0;0.521;1.0;0.0
45005548;2.042;3;0.0;0.6806666666666666;1.0;0.0
45006548;7.057;8;0.0;0.882125;1.0;0.0
45007548;9.317;10;0.0;0.9317;1.0;0.0
45008548;1.97;3;0.0;0.6566666666666666;1.0;0.0
45010519;0.748;1;0.0;0.748;1.0;0.0
45010548;0.607;1;0.0;0.607;1.0;0.0
45011548;9.537;9;1.653;0.8670000000000001;0.8181818181818182;0.15027272727272728
45012548;3.3;4;0.0;0.825;1.0;0.0
45013520;1.0;1;0.0;1.0;1.0;0.0
45014521;0.575;1;0.0;0.575;1.0;0.0
45014548;10.095;10;1.0;0.9177272727272728;0.9090909090909091;0.09090909090909091
45015521;3.582;5;0.0;0.7163999999999999;1.0;0.0
45016521;11.299;12;1.0;0.8691538461538462;0.9230769230769231;0.07692307692307693
45017521;23.071;18;10.87;0.6785588235294118;0.5294117647058824;0.3197058823529412
45018521;13.507;17;1.801;0.67535;0.85;0.09004999999999999
45018522;3.35;0;3.35;0.2576923076923077;0.0;0.2576923076923077
45023522;7.8500000000000005;16;4.1240000000000006;0.2532258064516129;0.5161290322580645;0.13303225806451616
45024522;10.144;16;5.724;0.2601025641025641;0.41025641025641024;0.14676923076923076
45024523;0.719;4;0.142;0.14379999999999998;0.8;0.028399999999999998
45032549;4.0809999999999995;5;0.0;0.8161999999999999;1.0;0.0
45034524;19.903000000000002;4;18.785;0.3262786885245902;0.06557377049180328;0.30795081967213117
45034525;1.7610000000000001;0;1.7610000000000001;0.19566666666666668;0.0;0.19566666666666668
45034526;0.333;0;0.333;0.333;0.0;0.333
