PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
46000355;17.911;18;3.285;0.8141363636363637;0.8181818181818182;0.14931818181818182
46000356;15.733;14;5.277;0.7491904761904762;0.6666666666666666;0.2512857142857143
46000357;17.502;17;3.718;0.7955454545454544;0.7727272727272727;0.169
46000362;15.98;15;6.069;0.6947826086956522;0.6521739130434783;0.2638695652173913
46000363;15.552;15;5.093;0.7069090909090909;0.6818181818181818;0.2315
46000401;9.600999999999999;12;0.0;0.8000833333333333;1.0;0.0
46000402;9.131;9;1.297;0.8300909090909091;0.8181818181818182;0.11790909090909091
46000403;5.891;7;0.0;0.8415714285714285;1.0;0.0
46000404;2.738;3;0.0;0.9126666666666666;1.0;0.0
46000405;0.987;1;0.0;0.987;1.0;0.0
46000407;9.196;8;2.0;0.9196;0.8;0.2
46000409;8.035;8;1.0;0.8927777777777778;0.8888888888888888;0.1111111111111111
46000410;12.208;10;4.5169999999999995;0.7181176470588235;0.5882352941176471;0.2657058823529411
46000411;11.883;9;4.476;0.7426875;0.5625;0.27975
46000412;15.155999999999999;12;6.6579999999999995;0.7577999999999999;0.6;0.3329
46000413;11.834999999999999;9;4.07;0.7396874999999999;0.5625;0.254375
46000414;17.291;17;3.2569999999999997;0.8233809523809524;0.8095238095238095;0.1550952380952381
46000468;0.333;0;0.333;0.333;0.0;0.333
46001355;15.02;12;6.421;0.751;0.6;0.32105
46001356;19.132;19;3.569;0.8318260869565218;0.8260869565217391;0.15517391304347825
46001357;17.884;18;3.277;0.8129090909090909;0.8181818181818182;0.14895454545454545
46001358;14.77;13;4.003;0.8205555555555555;0.7222222222222222;0.22238888888888889
46001361;11.475999999999999;9;3.787;0.7650666666666666;0.6;0.2524666666666667
46001362;15.113;12;6.487;0.7556499999999999;0.6;0.32435
46001400;8.344;10;0.0;0.8343999999999999;1.0;0.0
46001401;15.463;16;3.0;0.8138421052631578;0.8421052631578947;0.15789473684210525
46001402;11.024;11;2.0;0.848;0.8461538461538461;0.15384615384615385
46001403;11.191;13;1.777;0.7460666666666668;0.8666666666666667;0.11846666666666666
46001404;5.146;5;0.901;0.7351428571428571;0.7142857142857143;0.12871428571428573
46001407;1.0;1;0.0;1.0;1.0;0.0
46001409;4.687;4;1.0;0.9374;0.8;0.2
46001410;6.452;6;1.0;0.9217142857142857;0.8571428571428571;0.14285714285714285
46001411;13.501;11;5.644;0.6750499999999999;0.55;0.2822
46001412;13.881;11;6.089;0.6940500000000001;0.55;0.30445
46001413;2.732;2;0.995;0.9106666666666667;0.6666666666666666;0.33166666666666667
46001468;0.18;0;0.18;0.18;0.0;0.18
46002355;18.919;19;3.497;0.8225652173913044;0.8260869565217391;0.15204347826086956
