PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
44000239;0.135;1;0.0;0.135;1.0;0.0
44000240;1.284;2;0.0;0.642;1.0;0.0
44000346;4.552;4;1.0;0.9103999999999999;0.8;0.2
44001216;3.0749999999999997;6;0.0;0.5125;1.0;0.0
44001239;2.236;8;0.0;0.2795;1.0;0.0
44001345;0.233;0;0.233;0.233;0.0;0.233
44001346;5.564;5;1.0;0.9273333333333333;0.8333333333333334;0.16666666666666666
44002346;5.182;5;1.0;0.8636666666666667;0.8333333333333334;0.16666666666666666
44004227;1.399;3;0.0;0.4663333333333333;1.0;0.0
44004346;11.007;14;5.625;0.3550645161290322;0.45161290322580644;0.1814516129032258
44005326;0.193;1;0.0;0.193;1.0;0.0
44005346;22.507;17;13.447000000000001;0.5922894736842106;0.4473684210526316;0.3538684210526316
44006346;14.324;18;7.735;0.33311627906976743;0.4186046511627907;0.17988372093023255
44007346;4.1240000000000006;1;3.858;0.31723076923076926;0.07692307692307693;0.2967692307692308
44008346;1.9980000000000002;0;1.9980000000000002;0.333;0.0;0.333
44009245;1.5770000000000002;4;0.0;0.39425000000000004;1.0;0.0
44009302;7.5280000000000005;3;6.671;0.3136666666666667;0.125;0.27795833333333336
44009303;0.27;1;0.0;0.27;1.0;0.0
44009305;0.342;0;0.342;0.171;0.0;0.171
44009346;1.088;0;1.088;0.272;0.0;0.272
44010245;9.578;13;5.038;0.35474074074074075;0.48148148148148145;0.18659259259259262
44010303;11.784;18;6.7780000000000005;0.2805714285714286;0.42857142857142855;0.1613809523809524
44010305;0.874;2;0.532;0.2185;0.5;0.133
44011244;2.178;4;0.0;0.5445;1.0;0.0
44011302;4.829;10;0.333;0.439;0.9090909090909091;0.030272727272727274
44011303;8.32;19;1.779;0.32;0.7307692307692307;0.06842307692307692
44011304;11.0;10;1.0;1.0;0.9090909090909091;0.09090909090909091
44011305;8.766;18;3.657;0.2656363636363636;0.5454545454545454;0.11081818181818182
44011307;11.131;15;5.676;0.32738235294117646;0.4411764705882353;0.16694117647058823
44012292;2.332;4;0.0;0.583;1.0;0.0
44012302;3.6550000000000002;8;0.0;0.45687500000000003;1.0;0.0
44012303;12.25;3;11.463000000000001;0.266304347826087;0.06521739130434782;0.24919565217391307
44012305;15.943;14;3.729;0.8857222222222222;0.7777777777777778;0.20716666666666667
44012306;14.626000000000001;9;11.889000000000001;0.33240909090909093;0.20454545454545456;0.2702045454545455
44012307;25.489;18;10.794;0.7723939393939394;0.5454545454545454;0.3270909090909091
44013290;13.116;12;6.927;0.5044615384615384;0.46153846153846156;0.26642307692307693
44013291;2.3689999999999998;3;0.0;0.7896666666666666;1.0;0.0
44013292;9.12;13;0.9550000000000001;0.57;0.8125;0.059687500000000004
44013293;12.422;2;11.841000000000001;0.2760444444444445;0.044444444444444446;0.26313333333333333
44013303;33.437;19;18.59;0.8155365853658536;0.4634146341463415;0.4534146341463415
44013305;0.752;1;0.0;0.752;1.0;0.0
44013306;2.6750000000000003;0;2.6750000000000003;0.17833333333333334;0.0;0.17833333333333334
44013307;20.623;15;11.412;0.5728611111111112;0.4166666666666667;0.317
44014244;5.45;8;0.0;0.68125;1.0;0.0
44014255;2.706;8;0.284;0.30066666666666664;0.8888888888888888;0.03155555555555555
44014290;2.201;4;0.0;0.55025;1.0;0.0
44014291;8.105;14;3.167;0.33770833333333333;0.5833333333333334;0.13195833333333332
44014296;4.564;12;0.9670000000000001;0.3042666666666667;0.8;0.06446666666666667
44014303;39.23;4;35.258;0.8346808510638297;0.0851063829787234;0.7501702127659575
44014306;7.274;0;7.274;0.2273125;0.0;0.2273125
44014307;7.026;8;0.0;0.87825;1.0;0.0
44015245;0.559;1;0.0;0.559;1.0;0.0
44015255;24.6;13;13.527;0.8785714285714287;0.4642857142857143;0.48310714285714285
44015297;2.4170000000000003;7;0.221;0.30212500000000003;0.875;0.027625
44015306;10.945;15;5.4590000000000005;0.3530645161290323;0.4838709677419355;0.1760967741935484
44015307;8.479;0;8.479;0.23552777777777775;0.0;0.23552777777777775
44015346;0.221;0;0.221;0.221;0.0;0.221
44016245;7.749;15;2.896;0.33691304347826084;0.6521739130434783;0.12591304347826088
44016246;4.735;11;0.666;0.36423076923076925;0.8461538461538461;0.05123076923076923
44016291;8.742;13;5.006;0.29140000000000005;0.43333333333333335;0.16686666666666666
44016297;35.391;3;33.176;0.7693695652173913;0.06521739130434782;0.7212173913043479
44016302;0.385;1;0.0;0.385;1.0;0.0
44016303;13.427;4;12.095;0.2856808510638298;0.0851063829787234;0.2573404255319149
44016306;0.339;1;0.0;0.339;1.0;0.0
44016307;7.062;9;0.0;0.7846666666666667;1.0;0.0
44017248;3.206;5;0.0;0.6412;1.0;0.0
44017291;11.374;1;11.063;0.2585;0.022727272727272728;0.2514318181818182
44017302;4.095000000000001;10;0.666;0.34125000000000005;0.8333333333333334;0.0555
44017303;13.469000000000001;4;12.137;0.2865744680851064;0.0851063829787234;0.2582340425531915
44017307;9.436;0;9.436;0.24194871794871795;0.0;0.24194871794871795
44017308;10.527;12;1.333;0.7519285714285714;0.8571428571428571;0.09521428571428571
44018247;2.12;4;0.0;0.53;1.0;0.0
44018248;5.7;7;0.0;0.8142857142857143;1.0;0.0
44018249;8.558;11;1.333;0.6583076923076923;0.8461538461538461;0.10253846153846154
44018250;12.085;13;8.061;0.29475609756097565;0.3170731707317073;0.19660975609756098
44018251;9.578;13;5.038;0.35474074074074075;0.48148148148148145;0.18659259259259262
44018252;12.280000000000001;9;9.494;0.2790909090909091;0.20454545454545456;0.21577272727272725
44018276;5.21;8;0.0;0.65125;1.0;0.0
44018277;9.305;12;4.961;0.35788461538461536;0.46153846153846156;0.19080769230769232
44018278;12.404;2;11.818;0.27564444444444447;0.044444444444444446;0.2626222222222222
44018279;10.273;15;0.666;0.6042941176470588;0.8823529411764706;0.0391764705882353
44018298;13.26;13;2.0;0.884;0.8666666666666667;0.13333333333333333
44018302;5.97;15;0.666;0.35117647058823526;0.8823529411764706;0.0391764705882353
44018303;3.2;0;3.2;0.2;0.0;0.2
44018306;8.692;11;1.333;0.6686153846153846;0.8461538461538461;0.10253846153846154
44018307;3.869;0;3.869;0.21494444444444447;0.0;0.21494444444444447
44019252;2.3770000000000002;8;0.0;0.29712500000000003;1.0;0.0
44019253;2.201;4;0.0;0.55025;1.0;0.0
44019254;7.324;12;3.576;0.30516666666666664;0.5;0.149
44019275;1.653;3;0.0;0.551;1.0;0.0
44019277;6.4030000000000005;15;1.746;0.29104545454545455;0.6818181818181818;0.07936363636363636
44019279;1.693;3;0.0;0.5643333333333334;1.0;0.0
44019280;12.606;17;6.588;0.31515;0.425;0.1647
44019282;1.8450000000000002;4;0.0;0.46125000000000005;1.0;0.0
44019291;7.557;14;2.851;0.314875;0.5833333333333334;0.11879166666666667
44019297;0.452;1;0.0;0.452;1.0;0.0
44019303;3.206;5;0.0;0.6412;1.0;0.0
44019307;9.407;12;5.031000000000001;0.36180769230769233;0.46153846153846156;0.19350000000000003
44019308;10.245000000000001;0;10.245000000000001;0.24392857142857144;0.0;0.24392857142857144
44019309;7.994;14;0.666;0.499625;0.875;0.041625
44019325;31.375;16;18.273;0.847972972972973;0.43243243243243246;0.49386486486486486
44020253;0.399;1;0.0;0.399;1.0;0.0
44020276;0.519;1;0.0;0.519;1.0;0.0
44020297;10.745;14;6.3660000000000005;0.32560606060606057;0.42424242424242425;0.19290909090909092
44020302;10.908;0;10.908;0.2536744186046512;0.0;0.2536744186046512
44020308;9.678;0;9.678;0.26883333333333337;0.0;0.26883333333333337
44020309;13.325000000000001;5;11.784;0.2719387755102041;0.10204081632653061;0.24048979591836736
44020324;9.0;8;1.0;1.0;0.8888888888888888;0.1111111111111111
