PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
45487492;18.509999999999998;17;4.237;0.8413636363636363;0.7727272727272727;0.1925909090909091
45514520;9.818999999999999;6;4.022;0.8926363636363636;0.5454545454545454;0.36563636363636365
45514521;14.364;13;4.541;0.7182000000000001;0.65;0.22705000000000003
45514522;13.863;12;4.527;0.6931499999999999;0.6;0.22635
45514523;6.256;7;0.0;0.8937142857142858;1.0;0.0
45515521;13.186;11;4.18;0.7325555555555555;0.6111111111111112;0.23222222222222222
45515522;15.22;14;4.025;0.8010526315789473;0.7368421052631579;0.21184210526315791
45516510;2.864;3;0.411;0.716;0.75;0.10275
45516521;16.821;18;2.793;0.7645909090909092;0.8181818181818182;0.12695454545454546
45516522;17.304;16;3.58;0.824;0.7619047619047619;0.17047619047619048
45517521;15.505;18;3.0;0.7383333333333334;0.8571428571428571;0.14285714285714285
45518521;14.991999999999999;18;3.0;0.7139047619047618;0.8571428571428571;0.14285714285714285
45520520;17.655;16;3.698;0.8407142857142857;0.7619047619047619;0.17609523809523808
45521519;0.568;0;0.568;0.284;0.0;0.284
45521520;15.849;15;2.717;0.8805000000000001;0.8333333333333334;0.15094444444444444
45522519;3.0549999999999997;2;2.389;0.4364285714285714;0.2857142857142857;0.34128571428571425
45523519;16.362000000000002;16;3.516;0.7437272727272728;0.7272727272727273;0.15981818181818183
45524518;15.942;15;4.154;0.7971;0.75;0.2077
45525518;18.426;17;4.211;0.8375454545454545;0.7727272727272727;0.19140909090909092
45526517;0.478;0;0.478;0.239;0.0;0.239
45526518;16.264;16;2.944;0.8131999999999999;0.8;0.1472
45527517;3.783;0;3.783;0.6305;0.0;0.6305
45528517;5.393;0;5.393;0.7704285714285714;0.0;0.7704285714285714
45532515;3.4;2;2.774;0.4857142857142857;0.2857142857142857;0.3962857142857143
45535514;10.617;9;2.995;0.8166923076923077;0.6923076923076923;0.23038461538461538
45536486;3.342;4;0.0;0.8355;1.0;0.0
45537514;12.221;11;3.6719999999999997;0.7638125;0.6875;0.22949999999999998
45538513;18.736;17;4.326;0.8516363636363636;0.7727272727272727;0.1966363636363636
45539512;0.333;0;0.333;0.333;0.0;0.333
45539513;18.664;19;4.66;0.7178461538461539;0.7307692307692307;0.17923076923076925
45540512;2.673;2;1.0;0.891;0.6666666666666666;0.3333333333333333
45541486;0.19;0;0.19;0.19;0.0;0.19
45541512;16.624;18;3.596;0.7556363636363636;0.8181818181818182;0.16345454545454546
45542486;0.123;0;0.123;0.123;0.0;0.123
45542511;0.622;2;0.204;0.20733333333333334;0.6666666666666666;0.06799999999999999
45543511;1.333;0;1.333;0.6665;0.0;0.6665
45544511;13.204;11;4.187;0.7335555555555556;0.6111111111111112;0.23261111111111113
45545511;16.284;15;3.3689999999999998;0.8570526315789473;0.7894736842105263;0.1773157894736842
45546486;0.309;0;0.309;0.309;0.0;0.309
45555506;0.333;0;0.333;0.333;0.0;0.333
45556483;1.0;1;0.0;1.0;1.0;0.0
45558482;1.709;2;0.0;0.8545;1.0;0.0
45558483;5.606;1;4.623;0.8008571428571428;0.14285714285714285;0.6604285714285715
45558506;5.417;3;3.224;0.7738571428571428;0.42857142857142855;0.4605714285714286
45559482;1.178;2;0.0;0.589;1.0;0.0
45559483;0.323;0;0.323;0.323;0.0;0.323
45560481;16.239;16;3.169;0.8119500000000001;0.8;0.15845
45561481;3.2560000000000002;4;0.0;0.8140000000000001;1.0;0.0
45561482;0.333;0;0.333;0.333;0.0;0.333
45562482;0.333;0;0.333;0.333;0.0;0.333
45562504;0.241;0;0.241;0.241;0.0;0.241
45562505;1.0;1;0.0;1.0;1.0;0.0
45563504;0.419;0;0.419;0.2095;0.0;0.2095
45564481;0.326;0;0.326;0.326;0.0;0.326
45565480;0.535;1;0.0;0.535;1.0;0.0
45566502;0.333;0;0.333;0.333;0.0;0.333
45567478;15.527;14;4.222;0.77635;0.7;0.2111
45567479;3.655;0;3.655;0.731;0.0;0.731
45568478;4.705;4;1.0;0.9410000000000001;0.8;0.2
45568479;0.333;0;0.333;0.333;0.0;0.333
45569477;12.648;10;2.963;0.9729230769230769;0.7692307692307693;0.22792307692307692
45570477;1.0;0;1.0;1.0;0.0;1.0
45572476;3.0;3;0.0;1.0;1.0;0.0
45572477;0.333;0;0.333;0.333;0.0;0.333
45572502;2.0;1;1.0;1.0;0.5;0.5
45573476;3.951;3;0.984;0.98775;0.75;0.246
45573477;0.186;0;0.186;0.186;0.0;0.186
45574475;13.818;13;4.17;0.6909;0.65;0.2085
