PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
41000163;17.595;15;4.943;0.8797499999999999;0.75;0.24714999999999998
41000165;5.183;6;0.0;0.8638333333333333;1.0;0.0
41000166;14.714;14;4.5489999999999995;0.774421052631579;0.7368421052631579;0.23942105263157892
41000167;9.152;8;5.957;0.39791304347826084;0.34782608695652173;0.259
41000168;4.779;1;4.446;0.2655;0.05555555555555555;0.247
41000369;0.287;0;0.287;0.287;0.0;0.287
41000370;0.208;0;0.208;0.208;0.0;0.208
41000371;0.216;0;0.216;0.216;0.0;0.216
41000372;0.258;0;0.258;0.258;0.0;0.258
41000373;0.262;0;0.262;0.262;0.0;0.262
41000374;0.209;0;0.209;0.209;0.0;0.209
41000382;5.336;2;4.803;0.2808421052631579;0.10526315789473684;0.2527894736842105
41000383;7.352;4;6.114;0.30633333333333335;0.16666666666666666;0.25475
41000384;0.647;0;0.647;0.21566666666666667;0.0;0.21566666666666667
41000385;0.456;0;0.456;0.228;0.0;0.228
41000386;2.61;1;2.277;0.20076923076923076;0.07692307692307693;0.17515384615384616
41000387;2.6790000000000003;1;2.346;0.22325000000000003;0.08333333333333333;0.1955
41000388;7.366;1;7.033;0.4092222222222222;0.05555555555555555;0.39072222222222225
41000389;7.629;2;7.078;0.4015263157894737;0.10526315789473684;0.3725263157894737
41000390;8.914;4;7.611000000000001;0.34284615384615386;0.15384615384615385;0.29273076923076924
41000391;13.44;4;11.034;0.49777777777777776;0.14814814814814814;0.4086666666666667
41000392;20.295;8;13.671;0.8456250000000001;0.3333333333333333;0.5696249999999999
41000393;20.531;9;12.883;0.82124;0.36;0.51532
41000394;20.286;8;13.662;0.8452500000000001;0.3333333333333333;0.56925
41000395;20.278;8;13.642;0.8449166666666666;0.3333333333333333;0.5684166666666667
41000396;17.266;12;8.077;0.750695652173913;0.5217391304347826;0.3511739130434783
41000397;16.057;10;7.789;0.80285;0.5;0.38944999999999996
41000398;8.193999999999999;10;0.0;0.8193999999999999;1.0;0.0
41001162;10.176;13;0.965;0.7268571428571429;0.9285714285714286;0.06892857142857142
41001166;12.527;11;3.395;0.8351333333333333;0.7333333333333333;0.22633333333333333
41001167;2.924;3;0.0;0.9746666666666667;1.0;0.0
41001168;17.241;13;5.874;0.821;0.6190476190476191;0.2797142857142857
41001169;20.349;9;12.88;0.847875;0.375;0.5366666666666667
41001369;0.331;0;0.331;0.331;0.0;0.331
41001370;0.312;0;0.312;0.312;0.0;0.312
41001371;0.263;0;0.263;0.263;0.0;0.263
41001372;0.197;0;0.197;0.197;0.0;0.197
41001373;0.186;0;0.186;0.186;0.0;0.186
41001374;0.195;0;0.195;0.195;0.0;0.195
41001383;0.149;0;0.149;0.149;0.0;0.149
41001384;0.15;0;0.15;0.15;0.0;0.15
41001385;0.15;0;0.15;0.15;0.0;0.15
41001386;0.15;0;0.15;0.15;0.0;0.15
41001387;4.59;2;3.924;0.24157894736842103;0.10526315789473684;0.20652631578947367
