PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
42000477;8.803;11;0.0;0.8002727272727274;1.0;0.0
42001474;0.114;0;0.114;0.114;0.0;0.114
42001477;1.76;2;0.0;0.88;1.0;0.0
42002477;2.346;3;0.0;0.782;1.0;0.0
42005475;0.159;0;0.159;0.159;0.0;0.159
42006475;0.312;0;0.312;0.312;0.0;0.312
42006479;4.85;6;0.0;0.8083333333333332;1.0;0.0
42007479;2.855;3;0.0;0.9516666666666667;1.0;0.0
42007480;4.678;5;0.0;0.9356;1.0;0.0
42008479;9.5;5;4.5;0.95;0.5;0.45
42008480;9.017;11;0.0;0.8197272727272726;1.0;0.0
42008481;4.883;6;0.0;0.8138333333333333;1.0;0.0
42009477;0.449;0;0.449;0.2245;0.0;0.2245
42009478;4.196;5;1.864;0.38145454545454544;0.45454545454545453;0.16945454545454547
42009479;5.143;5;0.871;0.8571666666666666;0.8333333333333334;0.14516666666666667
42009480;18.474;15;6.717;0.8032173913043479;0.6521739130434783;0.29204347826086957
42009481;15.631;13;5.0;0.8683888888888889;0.7222222222222222;0.2777777777777778
42009482;9.054;10;0.0;0.9054;1.0;0.0
42010478;8.27;5;6.7940000000000005;0.3445833333333333;0.20833333333333334;0.28308333333333335
42010479;7.5520000000000005;9;4.922000000000001;0.27970370370370373;0.3333333333333333;0.18229629629629632
42010480;20.033;16;6.769;0.80132;0.64;0.27076
42010481;18.221;13;9.149000000000001;0.7008076923076924;0.5;0.3518846153846154
42010482;17.251;14;4.913;0.9079473684210527;0.7368421052631579;0.2585789473684211
42011478;0.13;0;0.13;0.13;0.0;0.13
42011479;7.096;3;6.097;0.27292307692307693;0.11538461538461539;0.23450000000000001
42011480;7.785;10;5.140000000000001;0.268448275862069;0.3448275862068966;0.17724137931034484
42011481;17.283;10;9.266;0.7514347826086957;0.43478260869565216;0.4028695652173913
42011482;12.548;15;1.544;0.7381176470588235;0.8823529411764706;0.0908235294117647
42012479;2.089;0;2.089;0.2321111111111111;0.0;0.2321111111111111
42012480;8.05;11;4.501;0.29814814814814816;0.4074074074074074;0.16670370370370372
