;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;2394.2400000000002;3199.0;37.049
1;1;1927;986.1560000000001;1672.0;381.159
2;2;1928;2595.04;1401.0;1361.533
3;3;1929;2200.1800000000003;0.0;2200.1800000000003
4;4;1930;3225.263;3919.0;195.448
5;5;1931;1525.5729999999999;1356.0;698.402
6;6;1932;2603.9440000000004;3308.0;79.07600000000001
7;7;1933;1329.242;1727.0;7.242999999999999
8;8;1934;2191.699;2866.0;9.576
9;9;1935;1486.5680000000002;435.0;1112.665
10;10;1936;1700.9679999999998;1796.0;276.107
11;11;1937;3022.629;0.0;3022.629
12;12;1938;2663.651;1997.0;1308.341
13;13;1939;810.588;1079.0;1.0070000000000001
14;14;1940;2964.298;885.0;2201.6499999999996
15;15;1941;2301.63;3516.0;165.135
16;16;1942;2650.564;3429.0;36.245
17;17;1943;2881.8430000000003;740.0;2295.9230000000002
18;18;1944;3246.764;1523.0;2134.94
19;19;1945;2620.574;2154.0;794.875
20;20;1946;2812.652;3044.0;385.865
21;21;1947;2401.436;0.0;2401.436
22;22;1948;3115.575;3575.0;297.197
23;23;1949;2724.55;2743.0;638.6120000000001
24;24;1950;3242.5379999999996;3980.0;157.365
25;25;1951;1236.4810000000002;1635.0;4.821
26;26;1952;1898.615;2439.0;6.89
27;27;1953;2696.851;885.0;2064.446
28;28;1954;1892.808;2167.0;142.008
29;29;1955;2046.1800000000003;2647.0;12.92
30;30;1956;2998.54;223.0;2873.443
31;31;1957;735.212;1316.0;280.877
32;32;1958;2920.6670000000004;718.0;2365.9840000000004
33;33;1959;2799.6440000000002;3584.0;53.519000000000005
34;34;1960;1190.0700000000002;1557.0;9.844000000000001
35;35;1961;1924.0380000000002;601.0;1416.074
36;36;1962;2416.159;2302.0;479.5450000000001
37;37;1963;2954.377;2097.0;1282.898
38;38;1964;1382.719;648.0;1086.3220000000001
39;39;1965;889.056;0.0;889.056
40;40;1966;2419.9979999999996;1505.0;1118.426
41;41;1967;2430.6549999999997;0.0;2430.6549999999997
42;42;1968;3222.191;3883.0;143.899
43;43;1969;2315.744;270.0;2068.002
44;44;1970;2240.037;2225.0;360.64700000000005
45;45;1971;1009.57;1374.0;10.902000000000001
46;46;1972;2226.892;970.0;1449.79
47;47;1973;1779.6599999999999;1926.0;335.36
48;48;1974;1851.354;0.0;1851.354
49;49;1975;2730.812;3549.0;146.35900000000004
50;50;1976;654.1030000000001;814.0;38.326
51;51;1977;2326.199;2595.0;306.777
52;52;1978;1602.598;2046.0;5.918
53;53;1979;2126.085;1034.0;1262.7040000000002
54;54;1980;795.0120000000001;0.0;795.0120000000001
55;55;1981;2631.983;1329.0;1614.107
56;56;1982;2109.018;2706.0;31.561
57;57;1983;2702.2160000000003;0.0;2702.2160000000003
58;58;1984;2614.4379999999996;638.0;2040.4529999999997
59;59;1985;2211.857;2477.0;572.476
60;60;1986;1848.826;2387.0;6.493
61;61;1987;2540.8320000000003;1315.0;1437.554
62;62;1988;2401.351;1124.0;1450.1560000000002
63;63;1989;2302.051;802.0;1630.458
64;64;1990;2625.166;3200.0;100.58400000000002
65;65;1991;2944.872;0.0;2944.872
66;66;1992;2093.5260000000003;1069.0;1217.897
67;67;1993;1951.341;976.0;1131.4270000000001
68;68;1994;657.5319999999999;851.0;1.439
69;69;1995;1184.2290000000003;2056.0;325.91200000000003
70;70;1996;1515.517;0.0;1515.517
71;71;1997;2967.953;1067.0;2064.5640000000003
72;72;1998;870.0519999999999;1171.0;0.241
73;73;1999;1882.0520000000001;2932.0;185.852
74;74;2000;2961.4480000000003;817.0;2319.9629999999997
75;75;2001;2405.9;3007.0;89.619
76;76;2002;1742.9850000000001;0.0;1742.9850000000001
77;77;2003;1933.087;0.0;1933.087
78;78;2004;2865.42;3623.0;127.577
79;79;2005;2811.3550000000005;2436.0;778.542
80;80;2006;2161.893;1263.0;1169.4430000000002
81;81;2007;2635.1720000000005;998.0;1870.383
82;82;2008;1232.987;1618.0;9.665999999999999
83;83;2009;2814.555;3614.0;128.15800000000002
84;84;2010;1335.839;196.0;1159.455
85;85;2011;1899.355;0.0;1899.355
86;86;2012;2220.51;3454.0;180.52100000000002
87;87;2013;1794.198;1404.0;839.614
88;88;2014;2181.505;441.0;1862.9749999999997
89;89;2015;1893.6650000000002;446.0;1542.1330000000003
90;90;2016;2825.2039999999997;3699.0;134.489
