;PT_ID;1926;X_COORD;Y_COORD;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0;45516521;0.0;-73.14613569054835;45.86577119585907;;;;;;0.0;;;;;;;;0.0;;0.0;;0.0;;0.0;0.525;;;;;;0.422;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;0.0;;;;;;;0.961;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
1;45516522;0.0;-73.1460069242237;45.865769106016366;;0.844;0.577;;;0.0;;0.0;;0.841;;;;;;0.0;0.0;;0.0;;1.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;0.0;;0.822;0.6;0.552;;;0.0;;0.854;;;0.0;;;;0.0;;;;;;;;;;;;;;;0.0;;;;0.0;;0.0;;0.0;;0.446;;;;;
2;45520520;0.0;-73.1462524924245;45.86613311910702;;0.873;0.606;;;0.0;;0.0;;0.87;;;;;;0.0;0.0;;0.0;;1.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;0.0;;0.852;0.629;0.582;;;;;0.883;;;0.0;;;;0.0;;;;;;;;;;;;;;;0.0;;;;0.0;;0.0;;;;0.476;;;;;
3;45523519;0.0;-73.14637228673377;45.86640508385149;;0.412;;;;0.0;;;;0.409;;;;0.0;;0.0;0.407;;;0.0;0.752;;;;;;0.0;;;;;;0.0;;;;0.0;;;;;;;0.0;;0.39;;;0.0;;0.0;;0.422;;;0.0;;0.0;;;;;;;;;;;;;1.0;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;0.0
4;45526518;0.0;-73.14649208217432;45.86667704847585;;;;;;0.0;;;;;;;;0.0;;0.0;;0.0;;0.0;0.592;;;;;;0.0;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;0.92;0.0;;;;;;;;;;;;;1.0;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
5;45560481;0.0;-73.15115508965724;45.86981284948604;;0.843;0.578;;;0.0;;0.0;;;;;;;;0.0;0.0;;0.0;;1.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;0.0;;0.823;0.606;0.555;;;;;0.857;;;0.0;;;;0.0;;;;;;;;;;;;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;
6;45895488;0.0;-73.14925286275255;45.8999342753578;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;
7;45900459;0.0;-73.15297446925221;45.90044454133335;;;;;;0.0;;;;0.656;;;;0.0;;0.0;;;;0.0;0.67;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;0.351;;;0.0;1.0;0.0;;;;;;;;;;;;;1.0;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;0.0
8;45912300;0.0;-73.17342590324814;45.901853456713056;;;;;;;;;;0.754;;;;;;;;;;0.0;;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;0.481;0.0;;;;;;;;;;;;;1.0;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
9;45932450;0.0;-73.15403866125382;45.90334194785102;;;;;;0.0;;;;0.55;;;;0.0;;0.0;;;;0.0;0.588;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;;;;;;;;0.945;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;0.0
10;45934449;0.0;-73.15416155048281;45.903523946345935;;;;;;0.0;;;;0.423;;;;0.0;;0.0;;0.0;;0.0;0.467;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;;;;;;;;0.826;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
11;45935448;0.0;-73.15428742258617;45.90361598651613;;0.83;0.606;;;0.0;;0.0;;0.0;;;;;;0.0;0.0;;0.0;;1.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;0.0;;0.0;0.73;0.619;;;;;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;0.0;;0.0;;0.0;;;;;;;
12;45937447;0.0;-73.15441031321377;45.903797984756636;;;;;;0.0;;;;0.532;;;;0.0;;0.0;;;;0.0;0.579;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;;;;;;;;0.936;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;0.0
13;45939445;0.0;-73.15466205988692;45.903982064437905;;;;;;0.0;;;;0.623;;;;0.0;;0.0;;;;0.0;0.676;;;;;;0.0;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;0.354;;;0.0;0.987;0.0;;;;;;;;;;;;;1.0;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;0.0
14;45941453;0.0;-73.15362525185517;45.90414532416069;;;;;;0.0;;;;0.366;;;;0.0;;0.0;;0.0;;0.0;0.41;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;;;;;;;;0.769;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
15;45942441;0.0;-73.15516853895198;45.90426026396109;;0.914;0.69;;;0.0;;0.0;;0.0;;;;;;0.0;0.0;;0.0;;1.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;0.0;;0.0;0.812;0.701;;;;;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;;
16;45942450;0.0;-73.15400883603073;45.90424152968925;;;;0.0;;;;;;;1.0;;;0.0;;;;0.0;;0.0;;;;0.0;;;;;;;;;0.0;;;;0.0;;;;;0.0;;;;;;;0.0;;0.0;;;;0.0;0.0;1.0;0.0;;;;;;0.0;;;;;;;0.586;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
17;45943440;0.0;-73.15529441438177;45.904352303060854;;0.741;0.514;;;0.0;;0.0;;0.0;;;;;;0.0;0.0;;0.0;;1.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;0.0;;0.776;0.638;0.527;;;;;0.85;;;0.0;;;;0.0;;;;;;;;;;;0.679;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;
18;45944439;0.0;-73.15542029022737;45.904444342026814;;0.643;;;;0.0;;;;1.0;;;;;;0.0;0.0;;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;0.68;;;;;;;0.754;;;0.0;;;;;;;;;;;;;;;1.0;;;;0.0;;;;0.0;;0.0;;0.0;;;;;;;
19;45944446;0.0;-73.1545182958582;45.90442977388528;;;;;;0.0;;;;0.563;;;;0.0;;0.0;;;;0.0;0.618;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;;;;;;;;0.976;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
20;45945438;0.0;-73.15554616648878;45.90453638085898;;;;;;0.0;;;;;;;;0.0;;0.0;;0.0;;0.0;0.423;;;;;;;;;;;;0.0;;;;0.0;;;;;;;0.0;;;;;0.0;;0.0;;;;;0.0;1.0;0.0;;;;;;;;;;;;;0.781;;;;0.0;;;;0.0;;;;0.0;;;;;;;0.0
21;45945445;0.0;-73.15464417056509;45.90452181368852;;;;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;
