;PT_ID;1926;X_COORD;Y_COORD;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0;40840500;1.0;-73.26451959030217;45.44674544497063;;0.0;0.0;1.0;;1.0;0.0;1.0;;;0.0;;;0.0;;1.0;;;1.0;;0.0;1.0;;1.0;1.0;1.0;;0.0;0.0;0.0;;0.0;1.0;;;0.0;0.0;;;;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;0.0;;;1.0;;;;1.0;1.0;;;1.0;;;0.0;;;;0.0;;;0.0;1.0;;;1.0;0.0;;0.0;;1.0;;0.0;;;0.0;;1.0
1;40852337;1.0;-73.28532134396407;45.44813984697487;;0.0;;1.0;;1.0;;;;;;;;0.0;;1.0;;;1.0;;;1.0;;;;;;;;;;;;;;1.0;;;;;;1.0;0.0;;;;;0.0;1.0;;0.0;;;;;;;;;;1.0;;;;;;;;;;1.0;;;0.0;;;;1.0;1.0;;0.0;;1.0;;;;;;;
2;40852344;1.0;-73.284426587821;45.448126408080675;;1.0;0.0;;;;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;1.0;0.0;;;1.0;;1.0;;;;;;;1.0;;;;1.0;;;0.0;;;;;;;;1.0;;;;;;;;;;0.0;;;1.0;;
3;40854327;1.0;-73.28659411856376;45.44833897697261;;;0.0;;;;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;1.0;0.0;;;;;1.0;;;1.0;;;;1.0;;;;1.0;;;1.0;;;;;;;;1.0;;;;;;;;;;0.0;;;1.0;;
4;40854328;1.0;-73.28646629568406;45.44833705897726;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;1.0;;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;0.0;;
5;40854365;1.0;-73.28173685819607;45.44826599263872;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;1.0;;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
6;40854368;1.0;-73.28135339106572;45.448260221924706;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;0.0;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
7;40854369;1.0;-73.28122556871479;45.448258298067415;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;0.0;;0.0;;;;;;;;;;;1.0;;;0.0;;;;;;;;1.0;;;;;;;;;;;;;0.0;;
8;40854370;1.0;-73.28109774637676;45.448256374067164;;1.0;;1.0;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;0.0;;
9;40854371;1.0;-73.28096992405163;45.44825444992391;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;;;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;0.0;;
10;40856323;1.0;-73.28709996222695;45.44852659129607;;0.0;;1.0;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;;;0.0;;;0.0;;;;;;;;;;1.0;;;;;;;;;;1.0;;;0.0;;;;1.0;1.0;;0.0;;1.0;;;;;0.0;;
11;40856378;1.0;-73.2800696978199;45.44842092003058;;;0.0;;;;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;1.0;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;1.0;;;;;;;;1.0;;;;;;;;;;0.0;;;1.0;;
12;40857318;1.0;-73.28773635610999;45.448626148241935;;1.0;;;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;0.0;;
13;40857320;1.0;-73.28748070891359;45.44862231464598;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;1.0;;1.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
14;40858388;1.0;-73.2787859976937;45.44858160359255;;1.0;0.0;;;1.0;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;1.0;;0.0;;;;;;;1.0;;;;1.0;;;0.0;;;;;;;;1.0;;;;;;;;;;0.0;;;0.0;;
15;40859388;1.0;-73.2787832604593;45.44867157508332;;0.0;;1.0;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;1.0;;1.0;;1.0;;;;;0.0;;
16;40860310;1.0;-73.28875078121709;45.44891139278148;;1.0;;;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;0.0;;
17;40860502;0.0;-73.26420874935218;45.44854097585463;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;0.0;;;;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
18;40863305;1.0;-73.28938174172995;45.44919088459025;;1.0;;1.0;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;0.0;;
19;40863392;1.0;-73.27826101579109;45.44902375308948;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;0.0;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
20;40864394;1.0;-73.2780026295508;45.44910986970792;;;0.0;;;;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;1.0;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;1.0;;;;;;;;1.0;;;;;;;;;;0.0;;;1.0;;
21;40865302;1.0;-73.28975977708909;45.44937657243835;;1.0;;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;0.0;;
22;40867300;1.0;-73.29000998906962;45.44956034499539;;0.0;;1.0;;1.0;;;;;0.0;;;0.0;;1.0;;;1.0;;;1.0;;1.0;;;;;;0.0;;;;;;1.0;;;;;;1.0;0.0;;;;;0.0;1.0;;0.0;;;;;;;;;;1.0;;;;;;;;;;1.0;;;0.0;;;;1.0;1.0;;0.0;;1.0;;;;;;;1.0
23;40868300;1.0;-73.29000726958658;45.44965031699944;;0.0;;1.0;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;1.0;;1.0;;1.0;;;;;0.0;;
24;40868396;1.0;-73.27773602565063;45.4494659000195;;0.0;;1.0;;1.0;;1.0;;;;;;0.0;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;;;0.0;;;0.0;;;;;;;;;;1.0;;;;;;;;;;1.0;;;0.0;;;;1.0;1.0;;0.0;;1.0;;;;;0.0;;
25;40869299;1.0;-73.29013237637619;45.44974220308348;;0.0;;1.0;;1.0;;;;;;;;0.0;;1.0;;;1.0;;;1.0;;;;;;;;;;;1.0;;;1.0;1.0;;;;;1.0;0.0;;;;;0.0;1.0;;0.0;;;;;;;;;;1.0;;;;;;;;;;1.0;;;0.0;;;;1.0;1.0;;0.0;;1.0;;;;;;;
26;40870298;1.0;-73.29025748357188;45.44983408903498;;;0.0;;;;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;;1.0;;1.0;1.0;;;;;;1.0;;;1.0;;;;1.0;;;;1.0;;;1.0;;;;;;;;1.0;;;;;;;;;;0.0;;;1.0;;
27;40870299;1.0;-73.29012965707051;45.449832175090386;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;0.0;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
28;40875296;1.0;-73.29049954293781;45.450287776595985;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;0.0;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
29;40875502;1.0;-73.26416734189914;45.44989053768375;;1.0;0.0;;;1.0;1.0;1.0;;1.0;;;;1.0;;1.0;;;;;0.0;;;;1.0;1.0;;0.0;1.0;;;;1.0;1.0;;;1.0;;;;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;0.0;;;1.0;;;;1.0;;;;1.0;;;0.0;;;;;;;;1.0;;;;;;1.0;1.0;;;0.0;;;0.0;;
30;40878473;0.0;-73.26786600477307;45.45021673947781;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;0.0;;;;0.0;;0.0;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;;1.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;1.0;1.0;0.0;;0.0
31;40881465;0.0;-73.26888035271746;45.45050215942833;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;1.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;0.0;;1.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;;0.0;;;0.0;;1.0
32;40883295;1.0;-73.29060562156877;45.451009466269916;;1.0;0.0;;;;;1.0;;;;;;;;;;;;;0.0;;;;;1.0;;1.0;1.0;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;1.0;0.0;;;1.0;;0.0;;;;;;;1.0;;;;1.0;;;0.0;;;;;;;;1.0;;;;;;;;;;0.0;;;1.0;;
33;40883296;1.0;-73.29047779238915;45.4510075526767;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;;;;;;1.0;0.0;1.0;;1.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;0.0;;
34;40885424;0.0;-73.27411027405982;45.45094137470473;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;0.0;;;;;;0.0;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;
35;40885464;1.0;-73.26899716737294;45.45086398115238;;1.0;;1.0;;1.0;0.0;1.0;;;;;;0.0;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;0.0;;0.0;;;0.0;;0.0;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;0.0;;;;1.0;1.0;;0.0;;1.0;;0.0;;;;;
36;40887295;1.0;-73.29059474679833;45.45136935429692;;1.0;0.0;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;0.0;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;0.0;1.0;;1.0;0.0;0.0;;;0.0;;0.0;;;;;;;;;;;1.0;;;0.0;;;;;;;;1.0;;;;;;;;;;;;;0.0;;
37;40888295;1.0;-73.29059202807362;45.45145932629983;;1.0;;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;0.0;;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;0.0;;
