;PT_ID;1926;X_COORD;Y_COORD;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0;45516521;1.0;-73.14613569054835;45.86577119585907;;;;;;1.0;;;;0.0;;;;1.0;;1.0;;1.0;;1.0;0.0;;;;;;1.0;;;;;;1.0;;;;1.0;;;;;;;1.0;;;;;1.0;;1.0;;;;;1.0;0.0;1.0;;;;;;;;;;;;;0.0;;;;1.0;;;;1.0;;;;1.0;;;;;;;1.0
1;45516522;1.0;-73.1460069242237;45.865769106016366;;0.0;0.0;;;1.0;;1.0;;1.0;;;;;;1.0;1.0;;1.0;;0.0;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;0.0;1.0;;0.0;0.0;0.0;;;;;0.0;;;1.0;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;0.0;;;;;
2;45520520;1.0;-73.1462524924245;45.86613311910702;;0.0;0.0;;;1.0;;1.0;;1.0;;;;;;1.0;1.0;;1.0;;0.0;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;0.0;1.0;;1.0;0.0;0.0;;;;;0.0;;;1.0;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;0.0;;;;;
3;45523519;1.0;-73.14637228673377;45.86640508385149;;0.0;;;;1.0;;;;0.0;;;;;;1.0;0.0;;;;0.0;;;;;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;0.0;;;1.0;;1.0;;0.0;;;1.0;;1.0;;;;;;;;;;;;;0.0;;;;1.0;;;;1.0;;1.0;;1.0;;;;;;;1.0
4;45526518;1.0;-73.14649208217432;45.86667704847585;;;;;;1.0;;;;0.0;;;;1.0;;1.0;;;;1.0;0.0;;;;;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;;;1.0;;1.0;;0.0;;;1.0;0.0;1.0;;;;;;;;;;;;;0.0;;;;1.0;;;;1.0;;1.0;;1.0;;;;;;;1.0
5;45560481;1.0;-73.15115508965724;45.86981284948604;;0.0;0.0;;;1.0;;1.0;;;;;;;;1.0;1.0;;1.0;;0.0;;;;;1.0;1.0;;;;;;;;;;;;;;;;;1.0;;0.0;0.0;0.0;;;;;0.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;
6;45895488;1.0;-73.14925286275255;45.8999342753578;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;45900459;1.0;-73.15297446925221;45.90044454133335;;;;;;1.0;;;;0.0;;;;;;1.0;;;;1.0;0.0;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;0.0;;;1.0;;1.0;;0.0;;;1.0;0.0;1.0;;;;;;;;;;;;;0.0;;;;1.0;;;;1.0;;1.0;;1.0;;;;;;;1.0
8;45912300;1.0;-73.17342590324814;45.901853456713056;;;;;;1.0;;;;0.0;;;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;1.0;;;;;1.0;;1.0;;;;;;;;;;;;;0.0;;;;1.0;;;;1.0;;;;1.0;;;;;;;1.0
9;45932450;1.0;-73.15403866125382;45.90334194785102;;;;;;1.0;;;;0.0;;;;;;1.0;;;;1.0;0.0;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;1.0;;1.0;;0.0;;;1.0;0.0;1.0;;;;;;;;;;;;;0.0;;;;1.0;;;;1.0;;1.0;;1.0;;;;;;;1.0
