;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;1983.042;2676.0;37.04900000000001
1;1;1927;831.541;1626.0;262.767
2;2;1928;2304.4750000000004;1372.0;1089.4299999999998
3;3;1929;1990.712;0.0;1990.712
4;4;1930;2284.3509999999997;2900.0;125.44699999999999
5;5;1931;1452.92;1352.0;628.501
6;6;1932;2191.505;2779.0;79.07600000000001
7;7;1933;1254.335;1630.0;7.242999999999999
8;8;1934;1985.5320000000002;2601.0;9.576
9;9;1935;1106.111;0.0;1106.111
10;10;1936;1304.7069999999999;1641.0;15.931000000000001
11;11;1937;2062.466;0.0;2062.466
12;12;1938;1750.0960000000002;1877.0;473.307
13;13;1939;732.5029999999999;980.0;1.0070000000000001
14;14;1940;2123.5969999999998;334.0;1885.808
15;15;1941;1379.7640000000001;2432.0;165.135
16;16;1942;2254.8289999999997;2922.0;36.245
17;17;1943;2516.882;329.0;2275.454
18;18;1944;2324.074;351.0;2134.94
19;19;1945;2413.506;1896.0;794.875
20;20;1946;2015.21;2038.0;385.865
21;21;1947;2011.4520000000002;0.0;2011.4520000000002
22;22;1948;2297.974;2915.0;96.544
23;23;1949;1763.3690000000001;1598.0;638.6120000000001
24;24;1950;2287.9170000000004;2807.0;157.365
25;25;1951;1211.5910000000001;1594.0;4.821
26;26;1952;1721.438;2221.0;6.890000000000001
27;27;1953;2228.261;287.0;2064.0240000000003
28;28;1954;1722.3180000000002;1954.0;142.00799999999998
29;29;1955;1908.72;2472.0;12.920000000000002
30;30;1956;2227.312;223.0;2102.215
31;31;1957;668.8350000000002;1289.0;221.48100000000002
32;32;1958;2296.355;226.0;2178.3999999999996
33;33;1959;1915.275;2457.0;53.519000000000005
34;34;1960;1101.0210000000002;1448.0;9.403
35;35;1961;1408.2560000000003;0.0;1408.2560000000003
36;36;1962;2209.39;2098.0;458.552
37;37;1963;2058.544;938.0;1282.8980000000001
38;38;1964;1305.727;611.0;1034.181
39;39;1965;506.84900000000005;0.0;506.84900000000005
40;40;1966;2216.806;1276.0;1114.605
41;41;1967;2056.562;0.0;2056.562
42;42;1968;2316.5209999999997;2775.0;143.899
43;43;1969;2248.679;215.0;2050.168
44;44;1970;1918.4;1806.0;360.64700000000005
45;45;1971;993.763;1347.0;10.902000000000001
46;46;1972;1949.926;725.0;1394.658
47;47;1973;1603.98;1828.0;250.82899999999998
48;48;1974;1654.5770000000002;0.0;1654.5770000000002
49;49;1975;2044.5480000000002;2684.0;146.359
50;50;1976;557.376;692.0;38.326
51;51;1977;1564.258;1647.0;288.892
52;52;1978;1493.588;1913.0;5.918
53;53;1979;1829.458;805.0;1177.888
54;54;1980;709.11;0.0;709.11
55;55;1981;1656.942;107.0;1614.107
56;56;1982;1590.6240000000003;2014.0;31.561
57;57;1983;1872.115;0.0;1872.115
58;58;1984;1893.074;0.0;1893.074
59;59;1985;1489.2920000000001;1910.0;351.667
60;60;1986;1667.279;2160.0;6.493
61;61;1987;1623.3519999999999;331.0;1402.086
62;62;1988;1450.156;0.0;1450.156
63;63;1989;2211.5690000000004;802.0;1539.976
64;64;1990;1694.599;2090.0;93.488
65;65;1991;2022.8229999999999;0.0;2022.8229999999999
66;66;1992;1920.996;1067.0;1046.5140000000001
67;67;1993;1791.8220000000001;781.0;1131.427
68;68;1994;587.4390000000001;763.0;1.439
69;69;1995;1109.051;1985.0;273.542
70;70;1996;1385.7310000000002;0.0;1385.7310000000002
71;71;1997;2372.797;1052.0;1475.7559999999999
72;72;1998;784.567;1066.0;0.241
73;73;1999;1558.5600000000002;2547.0;185.852
74;74;2000;2242.737;283.0;2085.277
75;75;2001;1803.618;2232.0;89.61899999999999
76;76;2002;1583.598;0.0;1583.598
77;77;2003;1821.9430000000002;0.0;1821.9430000000002
78;78;2004;2234.8150000000005;2877.0;124.259
79;79;2005;2279.0910000000003;1744.0;778.5419999999999
80;80;2006;1265.551;229.0;1168.731
81;81;2007;2357.67;644.0;1870.383
82;82;2008;1175.6009999999999;1542.0;9.665999999999999
83;83;2009;2232.7299999999996;2859.0;128.15800000000002
84;84;2010;1131.4650000000001;0.0;1131.4650000000001
85;85;2011;1748.297;0.0;1748.297
86;86;2012;1249.912;2301.0;180.52100000000002
87;87;2013;1519.763;1088.0;837.367
88;88;2014;2127.79;369.0;1862.975
89;89;2015;1552.364;34.0;1542.133
90;90;2016;2133.548;2829.0;134.489
