;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;401.50300000000004;508.0;0.0
1;1;1927;152.714;54.0;110.186
2;2;1928;225.976;22.0;211.953
3;3;1929;151.65800000000002;0.0;151.65800000000002
4;4;1930;926.631;974.0;76.741
5;5;1931;59.774;0.0;59.774
6;6;1932;441.836;568.0;0.0
7;7;1933;37.044000000000004;53.0;0.0
8;8;1934;181.632;245.0;0.0
9;9;1935;360.974;405.0;12.901
10;10;1936;432.41400000000004;177.0;267.855
11;11;1937;898.9369999999999;0.0;898.9369999999999
12;12;1938;900.373;50.0;874.468
13;13;1939;74.158;92.0;0.0
14;14;1940;891.2249999999999;680.0;270.035
15;15;1941;888.47;1019.0;0.0
16;16;1942;430.35299999999995;556.0;0.0
17;17;1943;364.81199999999995;403.0;24.313000000000002
18;18;1944;938.121;1165.0;0.0
19;19;1945;251.73699999999997;320.0;0.0
20;20;1946;864.547;1106.0;0.0
21;21;1947;353.673;0.0;353.673
22;22;1948;701.8430000000001;528.0;240.099
23;23;1949;948.146;1123.0;0.0
24;24;1950;951.0609999999999;1137.0;0.0
25;25;1951;15.515;27.0;0.0
26;26;1952;188.24199999999996;238.0;0.0
27;27;1953;487.526;631.0;0.0
28;28;1954;152.19899999999998;190.0;0.0
29;29;1955;100.445;133.0;0.0
30;30;1956;654.5790000000001;0.0;654.5790000000001
31;31;1957;73.756;18.0;69.956
32;32;1958;653.306;662.0;66.959
33;33;1959;919.877;1178.0;0.0
34;34;1960;76.188;94.0;0.432
35;35;1961;441.903;491.0;16.763
36;36;1962;164.83100000000002;147.0;27.409
37;37;1963;942.459;1169.0;0.0
38;38;1964;77.523;26.0;62.307
39;39;1965;402.163;0.0;402.163
40;40;1966;193.707;216.0;6.085
41;41;1967;332.06100000000004;0.0;332.06100000000004
42;42;1968;935.624;1112.0;0.0
43;43;1969;53.84600000000001;62.0;6.229
44;44;1970;288.452;379.0;0.0
45;45;1971;14.729000000000001;25.0;0.0
46;46;1972;259.369;275.0;23.942
47;47;1973;225.765;95.0;138.701
48;48;1974;158.022;0.0;158.022
49;49;1975;716.494;900.0;0.0
50;50;1976;101.126;128.0;0.0
51;51;1977;867.133;991.0;53.084999999999994
52;52;1978;95.657;118.0;0.0
53;53;1979;220.404;220.0;28.988
54;54;1980;67.165;0.0;67.165
55;55;1981;981.0830000000001;1213.0;0.0
56;56;1982;484.873;641.0;0.0
57;57;1983;794.921;0.0;794.921
58;58;1984;728.348;634.0;152.442
59;59;1985;667.85;484.0;238.58299999999997
60;60;1986;191.733;240.0;0.0
61;61;1987;897.668;976.0;26.601
62;62;1988;932.097;1077.0;0.0
63;63;1989;71.132;0.0;71.132
64;64;1990;834.058;918.0;22.113
65;65;1991;917.9440000000001;0.0;917.9440000000001
66;66;1992;159.46499999999997;1.0;159.112
67;67;1993;152.369;187.0;0.0
68;68;1994;60.649;77.0;0.0
69;69;1995;80.76400000000001;55.0;62.929
70;70;1996;120.91300000000001;0.0;120.91300000000001
71;71;1997;608.2470000000001;14.0;602.056
72;72;1998;75.971;96.0;0.0
73;73;1999;296.895;356.0;0.0
74;74;2000;805.514;631.0;224.445
75;75;2001;608.342;782.0;0.0
76;76;2002;143.543;0.0;143.543
77;77;2003;110.94099999999999;0.0;110.94099999999999
78;78;2004;609.673;722.0;3.345
79;79;2005;586.317;761.0;0.0
80;80;2006;891.856;1023.0;0.716
81;81;2007;225.209;295.0;0.0
82;82;2008;38.975;51.0;0.0
83;83;2009;586.952;766.0;0.0
84;84;2010;192.09000000000003;184.0;29.558
85;85;2011;106.669;0.0;106.669
86;86;2012;960.424;1128.0;0.0
87;87;2013;259.981;300.0;2.967
88;88;2014;60.328999999999986;79.0;0.0
89;89;2015;308.613;360.0;0.0
90;90;2016;715.151;898.0;0.0
