YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;435.461;560.0;0.0
1927;151.852;45.0;118.54899999999999
1928;284.14;27.0;267.104
1929;225.52999999999997;0.0;225.52999999999997
1930;943.6179999999999;1001.0;76.741
1931;59.774;0.0;59.774
1932;483.171;629.0;0.0
1933;87.406;111.0;0.0
1934;229.186;296.0;0.0
1935;360.974;405.0;12.901
1936;481.86400000000003;140.0;357.606
1937;960.764;0.0;960.764
1938;900.373;50.0;874.468
1939;81.15499999999997;102.0;0.0
1940;922.104;510.0;450.52599999999995
1941;888.47;1019.0;0.0
1942;438.41200000000003;565.0;0.0
1943;379.76099999999997;419.0;24.666000000000004
1944;938.121;1165.0;0.0
1945;261.89;331.0;0.0
1946;864.547;1106.0;0.0
1947;396.68600000000004;0.0;396.68600000000004
1948;702.395;530.0;238.132
1949;948.146;1123.0;0.0
1950;951.0609999999999;1137.0;0.0
1951;28.208000000000002;46.0;0.0
1952;194.24199999999996;244.0;0.0
1953;503.45;648.0;0.0
1954;190.51200000000003;240.0;0.0
1955;148.613;189.0;0.0
1956;654.5790000000001;0.0;654.5790000000001
1957;73.756;18.0;69.956
1958;527.241;403.0;180.178
1959;919.877;1178.0;0.0
1960;98.224;120.0;0.829
1961;441.903;491.0;16.763
1962;164.83100000000002;147.0;27.409
1963;942.459;1169.0;0.0
1964;77.523;26.0;62.307
1965;402.163;0.0;402.163
1966;193.707;216.0;6.085
1967;332.06100000000004;0.0;332.06100000000004
1968;935.624;1112.0;0.0
1969;78.786;59.0;24.188
1970;354.91700000000003;466.0;0.0
1971;17.792;29.0;0.0
1972;305.5369999999999;256.0;72.74199999999999
1973;173.30199999999996;97.0;83.218
1974;195.887;0.0;195.887
1975;716.494;900.0;0.0
1976;99.361;125.0;0.0
1977;784.55;968.0;22.368
1978;114.084;142.0;0.0
1979;338.002;249.0;107.631
1980;66.38900000000001;0.0;66.38900000000001
1981;981.0830000000001;1213.0;0.0
1982;550.779;725.0;0.0
1983;888.77;0.0;888.77
1984;728.348;634.0;152.442
1985;667.85;484.0;238.58299999999997
1986;234.055;298.0;0.0
1987;897.668;976.0;26.601
1988;932.097;1077.0;0.0
1989;71.132;0.0;71.132
1990;920.1800000000001;1086.0;8.507
1991;917.9440000000001;0.0;917.9440000000001
1992;159.46499999999997;1.0;159.112
1993;218.661;275.0;0.0
1994;76.427;93.0;0.0
1995;80.76400000000001;55.0;62.929
1996;125.918;0.0;125.918
1997;609.9549999999999;14.0;603.7639999999999
1998;86.03;105.0;0.0
1999;296.895;356.0;0.0
2000;664.1410000000001;480.0;240.987
2001;682.842;873.0;0.0
2002;143.543;0.0;143.543
2003;110.94099999999999;0.0;110.94099999999999
2004;609.673;722.0;3.345
2005;589.1300000000001;764.0;0.0
2006;891.856;1023.0;0.716
2007;286.399;366.0;0.0
2008;52.226000000000006;69.0;0.0
2009;587.643;767.0;0.0
2010;192.09000000000003;184.0;29.558
2011;151.82799999999997;0.0;151.82799999999997
2012;960.424;1128.0;0.0
2013;259.981;300.0;2.967
2014;66.455;90.0;0.0
2015;308.613;360.0;0.0
2016;718.151;901.0;0.0
