YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;115.72299999999998;142.0;26.646
1927;23.636;1.0;23.523
1928;142.698;82.0;78.523
1929;159.026;0.0;159.026
1930;69.02500000000002;48.0;42.78999999999999
1931;40.275000000000006;8.0;38.223
1932;115.153;107.0;47.509
1933;169.769;222.0;0.0
1934;163.926;240.0;0.098
1935;34.086999999999996;0.0;34.086999999999996
1936;159.399;184.0;9.202
1937;57.129000000000005;0.0;57.129000000000005
1938;45.422;19.0;39.696
1939;161.516;208.0;0.0
1940;55.944;19.0;48.20700000000001
1941;49.603;61.0;19.385999999999996
1942;128.225;153.0;24.224999999999998
1943;146.1;138.0;43.64699999999999
1944;85.57100000000001;59.0;53.411
1945;153.56;218.0;4.015
1946;47.926;17.0;41.783
1947;125.19300000000001;0.0;125.19300000000001
1948;63.62600000000001;39.0;42.88
1949;41.111999999999995;31.0;29.619000000000003
1950;65.414;44.0;40.762
1951;163.88799999999998;209.0;0.0
1952;166.793;228.0;0.0
1953;101.647;68.0;62.149
1954;142.95300000000003;215.0;1.555
1955;169.816;227.0;0.0
1956;64.41300000000001;0.0;64.41300000000001
1957;23.792;2.0;23.284000000000002
1958;59.04800000000001;107.0;0.379
1959;92.655;83.0;41.968999999999994
1960;175.813;222.0;0.0
1961;44.194;0.0;44.194
1962;68.65599999999999;24.0;58.713000000000015
1963;55.403000000000006;0.0;55.403000000000006
1964;35.123999999999995;0.0;35.123999999999995
1965;28.708;0.0;28.708
1966;49.035;12.0;45.421
1967;39.96499999999999;0.0;39.96499999999999
1968;71.59;40.0;51.386
1969;184.4;166.0;31.844
1970;139.945;103.0;59.614000000000004
1971;164.865;211.0;0.0
1972;116.042;111.0;50.952
1973;122.579;207.0;4.7749999999999995
1974;91.68100000000001;0.0;91.68100000000001
1975;39.065000000000005;18.0;35.452
1976;167.052;218.0;0.0
1977;100.81800000000001;86.0;51.59
1978;170.433;232.0;0.0
1979;111.695;98.0;55.635999999999996
1980;20.315999999999995;0.0;20.315999999999995
1981;49.879999999999995;30.0;38.769
1982;148.46099999999998;161.0;24.436
1983;58.003;0.0;58.003
1984;52.581;0.0;52.581
1985;42.111000000000004;21.0;36.172000000000004
1986;166.101;225.0;0.0
1987;37.22399999999999;0.0;37.22399999999999
1988;36.353;0.0;36.353
1989;55.57300000000001;0.0;55.57300000000001
1990;33.522999999999996;0.0;33.522999999999996
1991;51.571;0.0;51.571
1992;52.858000000000004;6.0;51.341
1993;167.1;208.0;4.649
1994;163.084;210.0;0.0
1995;25.811999999999998;9.0;23.825
1996;27.252000000000002;0.0;27.252000000000002
1997;67.052;4.0;66.34900000000002
1998;178.971;230.0;0.0
1999;46.43900000000001;32.0;35.278
2000;79.91399999999999;140.0;0.354
2001;128.53;104.0;53.900999999999996
2002;40.67100000000001;0.0;40.67100000000001
2003;49.028000000000006;0.0;49.028000000000006
2004;65.83600000000001;55.0;36.993
2005;84.63;40.0;64.471
2006;46.717;16.0;42.282000000000004
2007;148.14799999999997;164.0;26.665
2008;177.87400000000002;233.0;0.0
2009;65.719;41.0;45.863
2010;60.224000000000004;0.0;60.224000000000004
2011;176.31400000000002;0.0;176.31400000000002
2012;33.217;20.0;27.371
2013;43.634;39.0;27.885
2014;178.06699999999998;232.0;0.0
2015;41.68300000000001;4.0;40.921
2016;62.230000000000004;52.0;35.963
