YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;123.42300000000002;151.0;0.0
1927;55.505;27.0;34.53
1928;80.36;13.0;71.32799999999999
1929;47.768;0.0;47.768
1930;330.221;363.0;26.049
1931;15.378000000000002;0.0;15.378000000000002
1932;135.054;166.0;0.0
1933;9.58;14.0;0.0
1934;60.194;81.0;0.0
1935;132.594;143.0;7.646000000000001
1936;131.645;66.0;67.928
1937;314.10900000000004;0.0;314.10900000000004
1938;352.78499999999997;23.0;338.743
1939;20.889;27.0;0.0
1940;289.55100000000004;217.0;90.86
1941;350.054;400.0;0.0
1942;136.24400000000003;172.0;0.0
1943;131.476;140.0;9.849
1944;320.712;420.0;0.0
1945;89.261;112.0;0.0
1946;283.68199999999996;371.0;0.0
1947;118.59;0.0;118.59
1948;293.731;239.0;78.47099999999999
1949;365.41599999999994;430.0;0.0
1950;350.366;434.0;0.0
1951;4.328;8.0;0.0
1952;54.654;68.0;0.0
1953;170.18400000000003;220.0;0.0
1954;42.406;53.0;0.0
1955;30.759999999999998;40.0;0.0
1956;280.99199999999996;0.0;280.99199999999996
1957;9.091;8.0;6.904000000000001
1958;281.988;268.0;35.716
1959;294.68199999999996;390.0;0.0
1960;18.955000000000002;24.0;0.0
1961;179.2;189.0;12.161999999999999
1962;74.64699999999999;74.0;5.343
1963;321.87199999999996;420.0;0.0
1964;19.000999999999998;6.0;14.603
1965;77.174;0.0;77.174
1966;80.037;86.0;1.6360000000000001
1967;119.516;0.0;119.516
1968;342.88;421.0;0.0
1969;13.959999999999999;18.0;0.394
1970;87.65500000000002;118.0;0.0
1971;4.109999999999999;8.0;0.0
1972;90.97900000000001;94.0;10.068
1973;74.97299999999998;35.0;41.641000000000005
1974;42.476000000000006;0.0;42.476000000000006
1975;207.764;262.0;0.0
1976;28.42;35.0;0.0
1977;277.983;332.0;10.995999999999999
1978;26.461;32.0;0.0
1979;76.02799999999999;73.0;11.383
1980;22.401999999999997;0.0;22.401999999999997
1981;356.864;454.0;0.0
1982;161.763;207.0;0.0
1983;238.272;0.0;238.272
1984;222.721;189.0;50.721999999999994
1985;274.539;214.0;76.50999999999999
1986;57.681;73.0;0.0
1987;353.748;375.0;15.564
1988;364.447;418.0;0.0
1989;29.577;0.0;29.577
1990;340.161;380.0;6.3629999999999995
1991;354.964;0.0;354.964
1992;73.09499999999998;1.0;72.742
1993;43.59499999999999;52.0;0.0
1994;16.712;22.0;0.0
1995;7.082;8.0;4.579
1996;38.635;0.0;38.635
1997;178.06400000000002;5.0;175.806
1998;22.005000000000006;28.0;0.0
1999;121.502;145.0;0.0
2000;338.14500000000004;219.0;133.137
2001;179.142;228.0;0.0
2002;47.2;0.0;47.2
2003;13.024000000000001;0.0;13.024000000000001
2004;275.03600000000006;319.0;0.0
2005;171.03300000000002;212.0;0.0
2006;347.55899999999997;397.0;0.0
2007;79.502;108.0;0.0
2008;9.598000000000003;14.0;0.0
2009;167.09500000000003;211.0;0.0
2010;81.04100000000001;73.0;13.668
2011;31.672;0.0;31.672
2012;374.63300000000004;438.0;0.0
2013;106.62299999999999;124.0;0.0
2014;15.668000000000001;20.0;0.0
2015;115.64500000000001;132.0;0.0
2016;213.97;271.0;0.0
