;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;244.18400000000003;339.0;10.213000000000001
1;1;1927;95.123;118.0;57.123999999999995
2;2;1928;248.54500000000002;211.0;76.041
3;3;1929;260.717;0.0;260.717
4;4;1930;220.98;317.0;14.12
5;5;1931;117.66600000000001;67.0;84.855
6;6;1932;235.62899999999996;328.0;13.086000000000002
7;7;1933;54.883;72.0;11.194
8;8;1934;259.82500000000005;343.0;9.764
9;9;1935;101.868;0.0;101.868
10;10;1936;116.44200000000001;180.0;5.726000000000001
11;11;1937;225.103;0.0;225.103
12;12;1938;171.012;182.0;58.528000000000006
13;13;1939;67.86000000000001;106.0;1.166
14;14;1940;223.58900000000003;0.0;223.58900000000003
15;15;1941;124.924;170.0;47.284
16;16;1942;242.201;332.0;10.406
17;17;1943;251.775;0.0;251.775
18;18;1944;241.85899999999998;0.0;241.85899999999998
19;19;1945;227.442;103.0;147.796
20;20;1946;197.63;187.0;59.32
21;21;1947;255.24200000000002;0.0;255.24200000000002
22;22;1948;227.96099999999998;309.0;17.686
23;23;1949;181.573;160.0;81.18299999999999
24;24;1950;245.139;325.0;19.258
25;25;1951;134.884;202.0;5.205
26;26;1952;229.723;312.0;7.859
27;27;1953;215.97099999999998;0.0;215.97099999999998
28;28;1954;231.90400000000002;230.0;48.569
29;29;1955;241.762;318.0;12.047000000000002
30;30;1956;235.072;0.0;235.072
31;31;1957;103.052;107.0;69.807
32;32;1958;252.228;0.0;252.228
33;33;1959;262.995;344.0;8.711
34;34;1960;136.31799999999998;198.0;9.064
35;35;1961;118.083;0.0;118.083
36;36;1962;226.13400000000001;134.0;117.993
37;37;1963;252.982;332.0;11.892
38;38;1964;124.351;33.0;109.91400000000002
39;39;1965;191.27500000000003;0.0;191.27500000000003
40;40;1966;232.3;116.0;139.643
41;41;1967;186.45100000000002;0.0;186.45100000000002
42;42;1968;242.42399999999998;309.0;20.714000000000002
43;43;1969;233.56500000000003;0.0;233.56500000000003
44;44;1970;262.381;241.0;62.745999999999995
45;45;1971;127.135;184.0;10.307
46;46;1972;249.93099999999998;42.0;224.923
47;47;1973;244.87699999999998;12.0;239.54000000000002
48;48;1974;218.794;0.0;218.794
49;49;1975;198.07199999999997;176.0;63.834
50;50;1976;193.192;193.0;44.389
51;51;1977;225.156;0.0;225.156
52;52;1978;167.947;236.0;6.225999999999999
53;53;1979;247.808;66.0;202.118
54;54;1980;101.41300000000001;0.0;101.41300000000001
55;55;1981;172.714;0.0;172.714
56;56;1982;205.37900000000002;290.0;6.828999999999999
57;57;1983;186.034;0.0;186.034
58;58;1984;221.9;0.0;221.9
59;59;1985;142.727;196.0;41.711
60;60;1986;239.025;314.0;8.562
61;61;1987;225.91500000000002;307.0;17.138
62;62;1988;116.714;0.0;116.714
63;63;1989;235.935;38.0;211.70499999999998
64;64;1990;246.03300000000002;321.0;9.019
65;65;1991;236.609;0.0;236.609
66;66;1992;196.25400000000002;96.0;122.679
67;67;1993;245.85500000000002;0.0;245.85500000000002
68;68;1994;70.41399999999999;102.0;1.456
69;69;1995;105.081;157.0;51.403999999999996
70;70;1996;155.45100000000002;0.0;155.45100000000002
71;71;1997;239.02999999999997;89.0;172.149
72;72;1998;88.472;113.0;0.258
73;73;1999;148.095;270.0;27.434
74;74;2000;232.954;0.0;232.954
75;75;2001;268.28;344.0;11.361999999999998
76;76;2002;147.026;0.0;147.026
77;77;2003;164.209;0.0;164.209
78;78;2004;224.48400000000004;318.0;15.429
79;79;2005;226.225;141.0;119.80199999999999
80;80;2006;119.61;0.0;119.61
81;81;2007;210.79000000000002;0.0;210.79000000000002
82;82;2008;117.07600000000002;182.0;9.301000000000002
83;83;2009;217.24;303.0;17.933
84;84;2010;95.166;0.0;95.166
85;85;2011;234.02999999999997;0.0;234.02999999999997
86;86;2012;123.524;230.0;31.398000000000003
87;87;2013;142.93;56.0;107.679
88;88;2014;242.019;0.0;242.019
89;89;2015;136.063;0.0;136.063
90;90;2016;230.00900000000004;331.0;16.950000000000003
