YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;1308.457;0.775611736810907;1687.0;1.0;0.0;0.0
1927;477.93300000000005;0.33120790020790025;958.0;0.6638946638946639;133.27300000000002;0.09235828135828138
1928;1392.4689999999998;0.7831659167604048;904.0;0.5084364454443194;546.481;0.30735714285714283
1929;1149.138;0.7681403743315508;0.0;0.0;1149.138;0.7681403743315508
1930;1477.7269999999999;0.7856071238702816;1881.0;1.0;0.0;0.0
1931;720.86;0.4033911583659765;342.0;0.19138220481253498;521.008;0.2915545607162843
1932;1427.065;0.7959090909090909;1793.0;1.0;0.0;0.0
1933;630.4739999999999;0.8114208494208494;777.0;1.0;0.0;0.0
1934;1195.597;0.7713529032258064;1550.0;1.0;0.0;0.0
1935;686.7040000000001;0.38557215047726;0.0;0.0;686.7040000000001;0.38557215047726
1936;652.38;0.8134413965087282;802.0;1.0;0.0;0.0
1937;1259.791;0.6987193566278425;0.0;0.0;1259.791;0.6987193566278425
1938;954.347;0.5506907097518754;949.0;0.5476053087132141;341.775;0.19721581073283323
1939;119.304;0.5627547169811321;212.0;1.0;0.0;0.0
1940;1475.6039999999998;0.7963324338909875;0.0;0.0;1475.6039999999998;0.7963324338909875
1941;838.585;0.4737768361581921;1228.0;0.6937853107344633;132.87800000000001;0.0750723163841808
1942;1448.192;0.7948364434687157;1822.0;1.0;0.0;0.0
1943;1386.523;0.7664582642343836;0.0;0.0;1386.523;0.7664582642343836
1944;1351.63;0.7601968503937009;0.0;0.0;1351.63;0.7601968503937009
1945;1411.987;0.7518567625133121;714.0;0.3801916932907348;774.6959999999999;0.41251118210862614
1946;1073.984;0.5950049861495844;1038.0;0.5750692520775623;246.224;0.13641218836565097
1947;1122.8609999999999;0.7607459349593495;0.0;0.0;1122.8609999999999;0.7607459349593495
1948;1465.927;0.7839181818181817;1865.0;0.9973262032085561;1.515;0.0008101604278074866
1949;1040.4479999999999;0.5979586206896551;799.0;0.4591954022988506;486.09499999999997;0.2793649425287356
1950;1401.6000000000001;0.7730832873690018;1758.0;0.9696635410921125;16.627;0.009170987313844456
1951;501.405;0.758555219364599;661.0;1.0;0.0;0.0
1952;882.173;0.7697844677137871;1146.0;1.0;0.0;0.0
1953;1211.95;0.6637185104052574;0.0;0.0;1211.95;0.6637185104052574
1954;941.745;0.7637834549878345;856.0;0.6942416869424168;181.281;0.1470243309002433
1955;1017.0219999999999;0.7618142322097378;1335.0;1.0;0.0;0.0
