;PT_ID;1926;X_COORD;Y_COORD;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0;40840500;0.333;-73.26451959030217;45.44674544497063;;0.333;0.333;0.333;;0.333;0.26;0.333;;;0.18;;;0.333;;0.333;;0.281;0.333;;0.333;0.333;;0.333;0.325;0.333;;0.333;0.333;0.333;;0.143;0.333;0.289;;0.333;0.327;;;;;1.0;0.333;0.333;0.307;0.333;0.333;0.333;0.333;0.333;0.333;0.262;0.333;;;0.295;;;;0.326;0.333;;0.291;0.324;;;0.333;;;;0.333;;;0.229;0.33;;;0.333;0.333;;0.333;0.27;0.333;;0.316;;;0.333;;0.322
1;40852342;0.529;-73.28468223236884;45.448130248479586;;;1.0;;;;;1.0;;;;;;;;;;;;;1.0;;;;;0.891;;0.946;1.0;;;;1.0;;;;1.0;;;;;;;1.0;;0.98;;;;0.596;;;1.0;;;0.644;;;;0.816;;;;1.0;;;0.995;;;;;;;;1.0;;;;;;;;;;1.0;;;0.465;;
2;40852344;1.0;-73.284426587821;45.448126408080675;;0.948;0.912;;;1.0;;0.879;;;;;;0.897;;1.0;;;;;0.957;;;;;0.52;;0.575;0.713;;;;0.938;;;0.341;1.0;;;;;0.804;1.0;0.881;;1.0;1.0;;;;;;0.904;;;;;;;0.445;;;;0.726;;;0.624;;;;;;;;0.736;;;;;;;;;;0.727;;;1.0;;
3;40854327;1.0;-73.28659411856376;45.44833897697261;;;1.0;;;0.416;;1.0;;;;;;;;;;;;;1.0;;;;;0.725;;0.78;0.919;;;;1.0;;;;1.0;;;;;;;1.0;;1.0;0.609;;;0.429;;;1.0;;;0.479;;;;0.65;;;;0.933;;;0.829;;;;;;;;0.942;;;;;;;;;;0.934;;;1.0;;
4;40854328;0.742;-73.28646629568406;45.44833705897726;;1.0;0.463;;;0.928;;0.43;;;;;;1.0;;0.962;;;0.777;;0.509;1.0;;;;;;;;;;;0.491;;;1.0;0.646;;;;;1.0;0.951;0.433;;0.652;0.889;1.0;;;0.947;;0.455;;;;;;;;0.884;;;;;;;;;;;;;;;;;;1.0;;0.425;;;;;;;0.755;;
5;40854365;0.807;-73.28173685819607;45.44826599263872;;1.0;0.53;;;0.99;;0.498;;;;;;1.0;;1.0;;;0.468;;0.575;1.0;;;;;;;;;;;0.555;;;1.0;0.708;;;;;1.0;1.0;0.499;;0.717;0.952;1.0;;;0.632;;0.522;;;;;;;;0.576;;;0.343;;;;;;;;;;;0.353;;;;1.0;;;;;;0.344;;;0.82;;
6;40854368;0.946;-73.28135339106572;45.448260221924706;;1.0;0.669;;;1.0;;0.637;;;;;;1.0;;1.0;;;;;0.715;0.728;;;;;;0.334;0.47;;;;0.697;;;1.0;0.85;;;;;1.0;1.0;0.639;;0.857;1.0;0.959;;;;;0.662;;;;;;;;;;;0.485;;;0.383;;;;;;;;0.494;;;;0.448;;;;;;0.485;;;0.959;;
7;40854369;1.0;-73.28122556871479;45.448258298067415;;1.0;0.744;;;1.0;;0.711;;;;;;1.0;;1.0;;;;;0.789;0.355;;;;0.352;;0.407;0.545;;;;0.77;;;1.0;0.924;;;;;1.0;1.0;0.713;;0.931;1.0;0.585;;;;;0.736;;;;;;;;;;;0.558;;;0.456;;;;;;;;0.568;;;;;;;;;;0.559;;;1.0;;
8;40854370;0.562;-73.28109774637676;45.448256374067164;;0.849;;0.997;;0.747;;;;;;;;0.86;;0.781;;;1.0;;;1.0;;;;;;;;;;;;;;0.97;0.466;;;;;0.878;0.77;;;0.473;0.708;1.0;;;1.0;;;;;;;;;;1.0;;;;;;;;;;0.607;;;;;;;0.412;1.0;;1.0;;0.857;;;;;0.575;;
9;40854371;0.706;-73.28096992405163;45.44825444992391;;0.993;0.429;;;0.891;;0.396;;;;;;1.0;;0.925;;;0.972;;0.475;1.0;;;;;;;;;;;0.455;;;1.0;0.61;;;;;1.0;0.914;0.398;;0.617;0.852;1.0;;;1.0;;0.421;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;0.625;;;;;;;0.719;;
