PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40825520;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40827518;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40829518;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40832514;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40833514;40;LKO_CAN;0.254;0;0.254;0.254;0.0;0.254
40834511;40;LKO_CAN;0.186;0;0.186;0.186;0.0;0.186
40837506;40;LKO_CAN;0.287;2;0.0;0.1435;1.0;0.0
40837507;40;LKO_CAN;3.603;0;3.603;0.30025;0.0;0.30025
40837508;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40837527;40;LKO_CAN;0.268;0;0.268;0.268;0.0;0.268
40837528;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40838527;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40839526;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40840500;40;LKO_CAN;17.732;18;11.139000000000001;0.32837037037037037;0.3333333333333333;0.2062777777777778
40843494;40;LKO_CAN;0.31;0;0.31;0.31;0.0;0.31
40844493;40;LKO_CAN;30.261;15;17.099;0.8900294117647058;0.4411764705882353;0.5029117647058824
40845492;40;LKO_CAN;21.277;4;17.944;0.6447575757575758;0.12121212121212122;0.5437575757575758
40845535;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40846518;40;LKO_CAN;1.255;5;0.378;0.17928571428571427;0.7142857142857143;0.054
40847518;40;LKO_CAN;5.0;1;4.0;1.0;0.2;0.8
40847534;40;LKO_CAN;18.983;7;12.42;0.94915;0.35;0.621
40848490;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40848533;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40849515;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40850531;40;LKO_CAN;2.0;2;0.0;1.0;1.0;0.0
40851358;40;LKO_CAN;21.602;11;13.094999999999999;0.800074074074074;0.4074074074074074;0.48499999999999993
40852336;40;LKO_CAN;3.904;5;0.0;0.7807999999999999;1.0;0.0
40852337;40;LKO_CAN;20.069;17;6.28;0.7718846153846154;0.6538461538461539;0.24153846153846154
40852338;40;LKO_CAN;18.839;5;14.777;0.7849583333333333;0.20833333333333334;0.6157083333333333
40852339;40;LKO_CAN;8.415;4;7.384;0.5259375;0.25;0.4615
40852340;40;LKO_CAN;13.004;5;10.25;0.6192380952380953;0.23809523809523808;0.4880952380952381
40852341;40;LKO_CAN;8.194;11;0.0;0.744909090909091;1.0;0.0
40852342;40;LKO_CAN;17.862;16;3.995;0.8930999999999999;0.8;0.19975
