;PT_ID;1926;X_COORD;Y_COORD;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
0;40840500;0.0;-73.26451959030217;45.44674544497063;;0.333;0.333;0.0;;0.0;;0.0;;;;;;0.333;;0.0;;;0.0;;0.333;0.0;;0.0;0.0;0.0;;0.333;0.333;0.208;;;0.0;0.908;;0.333;0.333;;;;;0.0;0.333;0.333;0.324;0.333;0.333;0.333;0.0;0.333;0.333;0.265;0.333;;;0.0;;;;0.0;0.0;;;0.33;;;0.333;;;;1.0;;;;0.333;;;0.0;0.333;;0.333;0.269;0.0;;0.322;;;1.0;;0.0
1;40852337;0.0;-73.28532134396407;45.44813984697487;;0.595;;0.0;;0.0;;;;;;;;0.961;;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;0.0;;;;;;0.0;0.841;;;0.343;0.421;0.812;0.0;;1.0;;;;;;;;;;0.0;;;;;;;;;;0.0;;;;;;;0.0;0.0;;1.0;;0.0;;;;;0.682;;
2;40852344;0.0;-73.284426587821;45.448126408080675;;0.0;1.0;;;;;0.0;;;;;;;;;;;;;1.0;;;;;0.0;;0.0;0.0;;;;0.0;;;;0.0;;;;;;;0.0;;1.0;1.0;;;;;;1.0;;;0.0;;;;0.0;;;;0.0;;;1.0;;;;;;;;0.0;;;;;;;;;;0.793;;;;;
3;40854327;0.0;-73.28659411856376;45.44833897697261;;;1.0;;;;;0.0;;;;;;;;;;;;;1.0;;;;;0.0;;0.0;0.0;;;;0.0;;;;0.0;;;;;;;0.0;;0.0;0.0;;;0.482;;;0.0;;;0.0;;;;0.0;;;;0.0;;;1.0;;;;;;;;0.0;;;;;;;;;;1.0;;;;;
4;40854328;0.0;-73.28646629568406;45.44833705897726;;0.0;0.664;;;0.0;;0.0;;;;;;1.0;;0.0;;;;;0.589;;;;;;;;0.0;;;;0.0;;;;0.0;;;;;0.0;1.0;0.694;;0.826;0.905;1.0;;;;;0.695;;;;;;;;;;;0.0;;;0.558;;;;;;;;0.0;;;;;;;;;;0.346;;;1.0;;
5;40854365;0.0;-73.28173685819607;45.44826599263872;;0.0;0.729;;;0.0;;0.0;;;;;;0.799;;0.0;;;;;0.655;;;;;;;0.364;0.0;;;;0.0;;;;0.0;;;;;0.0;1.0;0.759;;0.89;0.968;1.0;;;;;0.761;;;;;;;0.0;;;;0.0;;;0.623;;;;;;;;0.0;;;;;;;;;;0.41;;;1.0;;
6;40854368;0.0;-73.28135339106572;45.448260221924706;;0.0;0.869;;;0.0;;0.0;;;;;;;;0.0;;;;;0.795;;;;;0.0;;0.504;0.0;;;;0.0;;;;0.0;;;;;;0.703;0.0;;1.0;1.0;0.847;;;;;0.9;;;;;;;0.0;;;;0.0;;;0.763;;;;;;;;0.0;;;;;;;;;;0.551;;;1.0;;
7;40854369;0.0;-73.28122556871479;45.448258298067415;;0.0;0.944;;;0.0;;0.0;;;;;;;;0.0;;;;;0.869;;;;;0.0;;0.578;0.0;;;;0.0;;;;0.0;;;;;;;0.0;;1.0;1.0;0.473;;;;;0.974;;;;;;;0.0;;;;0.0;;;0.838;;;;;;;;0.0;;;;;;;;;;0.626;;;1.0;;
8;40854370;0.0;-73.28109774637676;45.448256374067164;;0.0;0.485;0.0;;0.0;;0.0;;;;;;1.0;;0.0;;;;;0.411;;;;;;;;;;;;0.0;;;0.0;0.0;;;;;0.0;1.0;0.514;;0.646;0.724;1.0;;;0.88;;0.516;;;;;;;;;;;;;;0.379;;;;;;;;0.0;;;;0.0;;0.805;;;;;;;0.984;;
9;40854371;0.0;-73.28096992405163;45.44825444992391;;0.0;0.629;;;0.0;;0.0;;;;;;1.0;;0.0;;;;;0.555;;;;;;;;0.0;;;;0.0;;;;0.0;;;;;0.0;1.0;0.658;;0.79;0.868;1.0;;;;;0.66;;;;;;;;;;;;;;0.523;;;;;;;;0.0;;;;;;;;;;;;;1.0;;
10;40856323;0.0;-73.28709996222695;45.44852659129607;;0.75;0.336;0.0;;0.0;;0.0;;;;;;1.0;;0.0;;;;;;0.0;;;;;;;;;;;0.0;;;0.0;0.0;;;;;0.0;0.995;0.364;;0.498;0.577;0.966;;;1.0;;0.366;;;;;;;;0.0;;;;;;;;;;0.0;;;;0.0;;;0.0;0.0;;1.0;;0.0;;;;;0.837;;
11;40856378;0.0;-73.2800696978199;45.44842092003058;;;1.0;;;;;0.0;;;;;;;;;;;;;1.0;;;;;0.0;;0.0;0.0;;;;0.0;;;;0.0;;;;;;;0.0;;1.0;0.963;;;0.403;;;1.0;;;0.0;;;;0.0;;;;0.0;;;1.0;;;;;;;;0.0;;;;;;;;;;0.92;;;;;
12;40857318;0.0;-73.28773635610999;45.448626148241935;;0.0;0.573;;;0.0;;0.0;;;;;;1.0;;0.0;;;;;0.498;;;;;;;;;;;;0.0;;;;0.0;;;;;0.0;1.0;0.6;;0.736;0.814;1.0;;;0.425;;0.603;;;;;;;;;;;;;;0.466;;;;;;;;0.0;;;;0.0;;0.351;;;;;;;1.0;;
13;40857320;0.0;-73.28748070891359;45.44862231464598;;0.0;0.784;;;0.0;;0.0;;;;;;0.505;;0.0;;;;;0.709;;;;;0.0;;0.415;0.0;;;;0.0;;;;0.0;;;;;0.0;1.0;0.0;;0.946;1.0;1.0;;;;;0.814;;;;;;;0.0;;;;0.0;;;0.677;;;;;;;;0.0;;;;;;;;;;0.465;;;1.0;;
14;40858388;0.0;-73.2787859976937;45.44858160359255;;0.0;1.0;;;0.0;;0.0;;;;;;;;;;;;;0.967;;;;;0.0;;0.0;0.0;;;;0.0;;;;0.0;;;;;;;0.0;;1.0;1.0;;;;;;1.0;;;0.0;;;;0.0;;;;0.0;;;0.935;;;;;;;;0.0;;;;;;;;;;0.725;;;0.628;;
15;40859388;0.0;-73.2787832604593;45.44867157508332;;0.794;0.382;0.0;;0.0;;0.0;;;;;;1.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;0.0;0.0;;;;;0.0;1.0;0.413;;0.543;0.621;1.0;;;1.0;;0.414;;;;;;;;;;;;;;;;;;0.0;;;;0.0;;;0.0;0.0;;1.0;;0.0;;;;;0.882;;
16;40860310;0.0;-73.28875078121709;45.44891139278148;;0.0;0.557;;;0.0;;0.0;;;;;;1.0;;0.0;;;;;0.482;;;;;;;;;;;;;;;;;;;;;0.0;1.0;0.584;;0.72;0.798;1.0;;;0.505;;0.587;;;;;;;;;;;;;;0.45;;;;;;;;0.0;;;;0.0;;0.419;;;;;;;1.0;;
