;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;416.01;529.0;0.0
1;1;1927;154.615;46.0;118.392
2;2;1928;290.565;29.0;272.103
3;3;1929;209.468;0.0;209.468
4;4;1930;940.912;1019.0;70.001
5;5;1931;72.65299999999999;4.0;69.901
6;6;1932;412.43899999999996;529.0;0.0
7;7;1933;74.907;97.0;0.0
8;8;1934;206.16700000000003;265.0;0.0
9;9;1935;380.457;435.0;6.5539999999999985
10;10;1936;396.261;155.0;260.17600000000004
11;11;1937;960.163;0.0;960.163
12;12;1938;913.5550000000001;120.0;835.0339999999999
13;13;1939;78.08500000000001;99.0;0.0
14;14;1940;840.701;551.0;315.842
15;15;1941;921.866;1084.0;0.0
16;16;1942;395.735;507.0;0.0
17;17;1943;364.961;411.0;20.469
18;18;1944;922.6899999999999;1172.0;0.0
19;19;1945;207.06799999999998;258.0;0.0
20;20;1946;797.442;1006.0;0.0
21;21;1947;389.984;0.0;389.984
22;22;1948;817.601;660.0;200.65300000000002
23;23;1949;961.1809999999999;1145.0;0.0
24;24;1950;954.621;1173.0;0.0
25;25;1951;24.889999999999997;41.0;0.0
26;26;1952;177.17700000000002;218.0;0.0
27;27;1953;468.59000000000003;598.0;0.422
28;28;1954;170.49;213.0;0.0
29;29;1955;137.45999999999998;175.0;0.0
30;30;1956;771.228;0.0;771.228
31;31;1957;66.377;27.0;59.396
32;32;1958;624.3119999999999;492.0;187.584
33;33;1959;884.369;1127.0;0.0
34;34;1960;89.04899999999999;109.0;0.441
35;35;1961;515.7819999999999;601.0;7.8180000000000005
36;36;1962;206.769;204.0;20.993000000000002
37;37;1963;895.833;1159.0;0.0
38;38;1964;76.99199999999999;37.0;52.141000000000005
39;39;1965;382.207;0.0;382.207
40;40;1966;203.192;229.0;3.8209999999999997
41;41;1967;374.093;0.0;374.093
42;42;1968;905.6700000000001;1108.0;0.0
43;43;1969;67.065;55.0;17.834000000000003
44;44;1970;321.637;419.0;0.0
45;45;1971;15.807;27.0;0.0
46;46;1972;276.966;245.0;55.132
47;47;1973;175.68;98.0;84.531
48;48;1974;196.77700000000002;0.0;196.77700000000002
49;49;1975;686.264;865.0;0.0
50;50;1976;96.727;122.0;0.0
51;51;1977;761.941;948.0;17.885
52;52;1978;109.00999999999999;133.0;0.0
53;53;1979;296.627;229.0;84.816
54;54;1980;85.90200000000002;0.0;85.90200000000002
55;55;1981;975.0409999999999;1222.0;0.0
56;56;1982;518.394;692.0;0.0
57;57;1983;830.101;0.0;830.101
58;58;1984;721.364;638.0;147.379
59;59;1985;722.565;567.0;220.809
60;60;1986;181.54700000000003;227.0;0.0
61;61;1987;917.48;984.0;35.468
62;62;1988;951.1949999999999;1124.0;0.0
63;63;1989;90.482;0.0;90.482
64;64;1990;930.567;1110.0;7.096
65;65;1991;922.049;0.0;922.049
66;66;1992;172.53;2.0;171.383
67;67;1993;159.519;195.0;0.0
68;68;1994;70.093;88.0;0.0
69;69;1995;75.178;71.0;52.370000000000005
70;70;1996;129.786;0.0;129.786
71;71;1997;595.156;15.0;588.808
72;72;1998;85.48500000000001;105.0;0.0
73;73;1999;323.49199999999996;385.0;0.0
74;74;2000;718.711;534.0;234.68599999999998
75;75;2001;602.2819999999999;775.0;0.0
76;76;2002;159.38699999999997;0.0;159.38699999999997
77;77;2003;111.144;0.0;111.144
78;78;2004;630.605;746.0;3.3179999999999996
79;79;2005;532.2639999999999;692.0;0.0
80;80;2006;896.342;1034.0;0.712
81;81;2007;277.50199999999995;354.0;0.0
82;82;2008;57.38600000000001;76.0;0.0
83;83;2009;581.825;755.0;0.0
84;84;2010;204.374;196.0;27.990000000000002
85;85;2011;151.058;0.0;151.058
86;86;2012;970.598;1153.0;0.0
87;87;2013;274.435;316.0;2.247
88;88;2014;53.715;72.0;0.0
89;89;2015;341.301;412.0;0.0
90;90;2016;691.656;870.0;0.0
