;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;2115.451;2877.0;39.727000000000004
1;1;1927;897.629;1493.0;334.124
2;2;1928;2355.242;1371.0;1124.995
3;3;1929;1948.247;239.0;1761.223
4;4;1930;2268.5150000000003;2888.0;135.111
5;5;1931;1133.701;505.0;871.973
6;6;1932;2323.6050000000005;2896.0;104.614
7;7;1933;1137.037;1507.0;6.220000000000001
8;8;1934;2182.429;2829.0;22.021
9;9;1935;1067.977;0.0;1067.977
10;10;1936;1384.3559999999998;1765.0;8.719999999999999
11;11;1937;2114.712;0.0;2114.712
12;12;1938;1515.1840000000002;1451.0;625.985
13;13;1939;741.6489999999999;1035.0;1.192
14;14;1940;2271.295;827.0;1588.0
15;15;1941;1274.698;1858.0;296.76099999999997
16;16;1942;2369.809;3046.0;47.625
17;17;1943;2422.6059999999998;310.0;2193.291
18;18;1944;2214.573;212.0;2090.33
19;19;1945;2320.882;1423.0;1173.949
20;20;1946;1752.587;1659.0;533.21
21;21;1947;1870.297;0.0;1870.297
22;22;1948;2293.169;2872.0;141.698
23;23;1949;1630.56;1277.0;800.442
24;24;1950;2201.479;2665.0;204.73600000000005
25;25;1951;988.5930000000001;1340.0;3.6830000000000003
26;26;1952;1820.077;2373.0;8.986
27;27;1953;2025.007;148.0;1956.9340000000002
28;28;1954;1614.473;2137.0;9.744
29;29;1955;1693.054;2213.0;8.527000000000001
30;30;1956;2033.401;0.0;2033.401
31;31;1957;564.075;897.0;275.504
32;32;1958;2330.188;0.0;2330.188
33;33;1959;2046.25;2600.0;61.114
34;34;1960;911.6320000000001;1206.0;11.022000000000002
35;35;1961;1128.698;0.0;1128.698
36;36;1962;2223.77;1314.0;1118.5520000000001
37;37;1963;2299.7960000000003;652.0;1834.88
38;38;1964;1221.613;237.0;1119.607
39;39;1965;533.143;0.0;533.143
40;40;1966;2169.098;987.0;1332.798
41;41;1967;1832.893;0.0;1832.893
42;42;1968;2407.569;2677.0;237.48
43;43;1969;2245.128;302.0;1999.409
44;44;1970;1865.062;2275.0;82.50099999999999
45;45;1971;957.311;1301.0;9.51
46;46;1972;1912.3220000000001;1813.0;416.087
47;47;1973;1713.6680000000001;2237.0;76.093
48;48;1974;1571.969;456.0;1179.662
49;49;1975;2028.3310000000001;2657.0;140.714
50;50;1976;455.275;649.0;9.961
51;51;1977;1543.641;1615.0;303.684
52;52;1978;1461.259;1892.0;2.5
53;53;1979;1660.545;1752.0;253.61900000000003
54;54;1980;523.3030000000001;0.0;523.3030000000001
55;55;1981;1646.2269999999999;89.0;1614.259
56;56;1982;1542.3990000000001;1958.0;19.004
57;57;1983;1926.862;0.0;1926.862
58;58;1984;1855.581;0.0;1855.581
59;59;1985;1276.434;1623.0;417.26300000000003
60;60;1986;1704.788;2214.0;5.646
61;61;1987;1524.277;307.0;1315.5
62;62;1988;1116.2640000000001;0.0;1116.2640000000001
63;63;1989;2061.513;381.0;1795.09
64;64;1990;1669.918;2053.0;115.23600000000002
65;65;1991;1998.6919999999998;0.0;1998.6919999999998
66;66;1992;1715.643;766.0;1127.458
67;67;1993;1797.7890000000002;1821.0;258.245
68;68;1994;555.117;729.0;0.355
69;69;1995;1040.402;1530.0;389.449
70;70;1996;1646.0890000000002;0.0;1646.0890000000002
71;71;1997;2366.686;958.0;1550.9590000000003
72;72;1998;674.0889999999999;900.0;0.0
73;73;1999;1287.4930000000002;2187.0;256.028
74;74;2000;2299.723;266.0;2140.844
75;75;2001;1811.855;2314.0;62.197
76;76;2002;1439.2980000000002;0.0;1439.2980000000002
77;77;2003;1455.8200000000002;0.0;1455.8200000000002
78;78;2004;2204.768;2849.0;129.166
79;79;2005;2253.043;1352.0;1102.7060000000001
80;80;2006;1299.468;218.0;1206.221
81;81;2007;2371.799;1712.0;951.105
82;82;2008;887.373;1245.0;2.2940000000000005
83;83;2009;2135.928;2691.0;160.932
84;84;2010;1055.617;0.0;1055.617
85;85;2011;1543.058;0.0;1543.058
86;86;2012;1180.493;1925.0;270.587
87;87;2013;1371.078;727.0;967.577
88;88;2014;2109.973;1061.0;1194.662
89;89;2015;1252.624;6.0;1251.409
90;90;2016;2031.674;2771.0;144.51100000000002
