YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;401.50300000000004;508.0;0.0
1927;152.714;54.0;110.186
1928;225.976;22.0;211.953
1929;151.65800000000002;0.0;151.65800000000002
1930;926.631;974.0;76.741
1931;59.774;0.0;59.774
1932;441.836;568.0;0.0
1933;37.044000000000004;53.0;0.0
1934;181.632;245.0;0.0
1935;360.974;405.0;12.901
1936;432.41400000000004;177.0;267.855
1937;898.9369999999999;0.0;898.9369999999999
1938;900.373;50.0;874.468
1939;74.158;92.0;0.0
1940;891.2249999999999;680.0;270.035
1941;888.47;1019.0;0.0
1942;430.35299999999995;556.0;0.0
1943;364.81199999999995;403.0;24.313000000000002
1944;938.121;1165.0;0.0
1945;251.73699999999997;320.0;0.0
1946;864.547;1106.0;0.0
1947;353.673;0.0;353.673
1948;701.8430000000001;528.0;240.099
1949;948.146;1123.0;0.0
1950;951.0609999999999;1137.0;0.0
1951;15.515;27.0;0.0
1952;188.24199999999996;238.0;0.0
1953;487.526;631.0;0.0
1954;152.19899999999998;190.0;0.0
1955;100.445;133.0;0.0
1956;654.5790000000001;0.0;654.5790000000001
1957;73.756;18.0;69.956
1958;653.306;662.0;66.959
1959;919.877;1178.0;0.0
1960;76.188;94.0;0.432
1961;441.903;491.0;16.763
1962;164.83100000000002;147.0;27.409
1963;942.459;1169.0;0.0
1964;77.523;26.0;62.307
1965;402.163;0.0;402.163
1966;193.707;216.0;6.085
1967;332.06100000000004;0.0;332.06100000000004
1968;935.624;1112.0;0.0
1969;53.84600000000001;62.0;6.229
1970;288.452;379.0;0.0
1971;14.729000000000001;25.0;0.0
1972;259.369;275.0;23.942
1973;225.765;95.0;138.701
1974;158.022;0.0;158.022
1975;716.494;900.0;0.0
1976;101.126;128.0;0.0
1977;867.133;991.0;53.084999999999994
1978;95.657;118.0;0.0
1979;220.404;220.0;28.988
1980;67.165;0.0;67.165
1981;981.0830000000001;1213.0;0.0
1982;484.873;641.0;0.0
1983;794.921;0.0;794.921
1984;728.348;634.0;152.442
1985;667.85;484.0;238.58299999999997
1986;191.733;240.0;0.0
1987;897.668;976.0;26.601
1988;932.097;1077.0;0.0
1989;71.132;0.0;71.132
1990;834.058;918.0;22.113
1991;917.9440000000001;0.0;917.9440000000001
1992;159.46499999999997;1.0;159.112
1993;152.369;187.0;0.0
1994;60.649;77.0;0.0
1995;80.76400000000001;55.0;62.929
1996;120.91300000000001;0.0;120.91300000000001
1997;608.2470000000001;14.0;602.056
1998;75.971;96.0;0.0
1999;296.895;356.0;0.0
2000;805.514;631.0;224.445
2001;608.342;782.0;0.0
2002;143.543;0.0;143.543
2003;110.94099999999999;0.0;110.94099999999999
2004;609.673;722.0;3.345
2005;586.317;761.0;0.0
2006;891.856;1023.0;0.716
2007;225.209;295.0;0.0
2008;38.975;51.0;0.0
2009;586.952;766.0;0.0
2010;192.09000000000003;184.0;29.558
2011;106.669;0.0;106.669
2012;960.424;1128.0;0.0
2013;259.981;300.0;2.967
2014;60.328999999999986;79.0;0.0
2015;308.613;360.0;0.0
2016;715.151;898.0;0.0
