YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;243.95800000000003;299.0;26.646
1927;80.566;21.0;64.288
1928;232.53600000000003;98.0;157.183
1929;214.627;0.0;214.627
1930;393.928;416.0;64.876
1931;61.867000000000004;12.0;57.063
1932;242.243;265.0;47.509
1933;178.927;235.0;0.0
1934;217.44400000000002;311.0;0.098
1935;179.555;164.0;38.876000000000005
1936;281.271;240.0;80.588
1937;386.33500000000004;0.0;386.33500000000004
1938;399.06399999999996;71.0;356.799
1939;182.041;234.0;0.0
1940;323.363;192.0;152.711
1941;404.61400000000003;480.0;19.386
1942;257.61699999999996;319.0;24.225
1943;271.61699999999996;276.0;51.551
1944;388.754;458.0;53.411
1945;213.97899999999998;293.0;4.015000000000001
1946;302.61699999999996;340.0;41.783
1947;254.35700000000003;0.0;254.35700000000003
1948;394.46000000000004;313.0;115.826
1949;409.901;472.0;29.619000000000003
1950;406.068;483.0;40.762
1951;170.19600000000003;220.0;0.0
1952;218.25600000000003;293.0;0.0
1953;271.906;287.0;62.571
1954;192.79000000000002;278.0;1.555
1955;212.14600000000002;280.0;0.0
1956;382.54200000000003;0.0;382.54200000000003
1957;33.3;16.0;29.109
1958;329.61400000000003;289.0;104.095
1959;371.04400000000004;445.0;41.969
1960;199.28199999999998;251.0;0.0
1961;257.25;243.0;50.908
1962;163.84199999999998;123.0;64.394
1963;343.00200000000007;381.0;55.403000000000006
1964;53.589;9.0;46.466
1965;98.474;0.0;98.474
1966;131.71699999999998;103.0;45.79900000000001
1967;184.06;0.0;184.06
1968;391.343;451.0;51.386
1969;203.33;183.0;35.524
1970;232.296;228.0;59.614000000000004
1971;169.515;220.0;0.0
1972;213.09199999999998;188.0;76.404
1973;178.476;242.0;27.247
1974;150.84400000000002;0.0;150.84400000000002
1975;237.23700000000002;270.0;35.452000000000005
1976;195.15999999999997;253.0;0.0
1977;337.01;383.0;51.589999999999996
1978;200.66999999999996;270.0;0.0
1979;222.911;177.0;94.633
1980;59.657000000000004;0.0;59.657000000000004
1981;391.85;472.0;38.769
1982;315.64;379.0;24.436
1983;319.765;0.0;319.765
1984;273.082;186.0;103.65599999999999
1985;337.295;271.0;105.19500000000001
1986;221.695;296.0;0.0
1987;396.746;371.0;57.344
1988;406.374;436.0;36.353
1989;93.936;0.0;93.936
1990;383.10499999999996;441.0;33.523
1991;405.45000000000005;0.0;405.45000000000005
1992;131.775;8.0;129.111
1993;212.27499999999998;262.0;4.649
1994;180.93;233.0;0.0
1995;32.49900000000001;21.0;27.06
1996;68.12799999999999;0.0;68.12799999999999
1997;240.10400000000004;10.0;236.82100000000003
1998;201.1;257.0;0.0
1999;183.222;198.0;35.278000000000006
2000;398.4200000000001;343.0;130.938
2001;306.42;329.0;53.900999999999996
2002;105.10999999999999;0.0;105.10999999999999
2003;61.668000000000006;0.0;61.668000000000006
2004;348.288;381.0;36.99300000000001
2005;247.92000000000002;245.0;64.471
2006;395.203;417.0;42.282000000000004
2007;241.28500000000003;286.0;26.665
2008;195.166;257.0;0.0
2009;233.384;248.0;45.86300000000001
2010;147.53400000000002;79.0;73.56400000000001
2011;224.84799999999998;0.0;224.84799999999998
2012;408.154;462.0;27.371000000000002
2013;154.144;165.0;27.885
2014;191.35899999999998;250.0;0.0
2015;172.01;161.0;40.921
2016;266.88800000000003;312.0;35.963
