YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;1308.457;1687.0;0.0
1927;551.527;1075.0;136.335
1928;1394.3139999999999;903.0;549.105
1929;988.944;178.0;846.841
1930;1475.776;1881.0;0.0
1931;720.86;342.0;521.008
1932;1427.065;1793.0;0.0
1933;452.91200000000003;600.0;0.0
1934;1195.597;1550.0;0.0
1935;686.037;0.0;686.037
1936;641.03;787.0;0.0
1937;1369.072;0.0;1369.072
1938;953.0219999999999;947.0;341.128
1939;120.519;212.0;0.0
1940;1452.121;537.0;968.5419999999999
1941;838.585;1228.0;132.87800000000001
1942;1448.192;1822.0;0.0
1943;1386.523;0.0;1386.523
1944;1351.63;0.0;1351.63
1945;1411.987;714.0;774.6959999999999
1946;1073.984;1038.0;246.224
1947;941.424;0.0;941.424
1948;1465.927;1865.0;1.515
1949;1040.4479999999999;799.0;486.09499999999997
1950;1401.6000000000001;1758.0;16.627
1951;278.08000000000004;396.0;0.0
1952;878.788;1142.0;0.0
1953;1211.95;0.0;1211.95
1954;730.846;948.0;0.0
1955;769.147;996.0;0.0
1956;1317.922;0.0;1317.922
1957;281.68600000000004;633.0;70.551
1958;1431.987;0.0;1431.987
1959;1214.27;1576.0;0.0
1960;231.73700000000002;343.0;0.0
1961;707.292;0.0;707.292
1962;1475.807;897.0;652.039
1963;1471.8310000000001;248.0;1284.3490000000002
1964;802.326;174.0;723.3050000000001
1965;123.304;0.0;123.304
1966;1380.0610000000001;664.0;793.7360000000001
1967;1280.7269999999999;0.0;1280.7269999999999
1968;1478.491;1779.0;25.466
1969;1317.919;0.0;1317.919
1970;961.977;1254.0;0.0
1971;229.57800000000003;344.0;0.0
1972;1116.4250000000002;960.0;261.779
1973;902.44;1173.0;0.0
1974;742.6460000000001;386.0;400.473
1975;1424.147;1795.0;0.0
1976;35.922999999999995;63.0;0.0
1977;740.2660000000001;934.0;0.0
1978;724.2860000000001;911.0;0.0
1979;851.392;808.0;138.541
1980;255.31200000000004;0.0;255.31200000000004
1981;1090.549;0.0;1090.549
1982;720.506;901.0;0.0
1983;1208.5970000000002;0.0;1208.5970000000002
1984;1170.125;0.0;1170.125
1985;784.479;1068.0;181.247
1986;779.204;1008.0;0.0
1987;977.009;0.0;977.009
1988;730.692;0.0;730.692
1989;1312.217;281.0;1098.682
1990;810.8;1048.0;0.0
1991;1266.547;0.0;1266.547
1992;1098.719;510.0;667.462
1993;858.612;780.0;165.282
1994;15.541;18.0;0.0
1995;663.5120000000001;1067.0;186.106
1996;1138.2350000000001;0.0;1138.2350000000001
1997;1475.831;647.0;899.8589999999999
1998;70.20599999999999;123.0;0.0
1999;773.6780000000001;1437.0;78.818
2000;1471.963;0.0;1471.963
2001;934.33;1230.0;0.0
2002;956.5720000000001;0.0;956.5720000000001
2003;923.948;0.0;923.948
2004;1447.458;1847.0;1.386
2005;1470.503;895.0;640.585
2006;809.0360000000001;0.0;809.0360000000001
2007;1467.328;772.0;758.183
2008;216.63400000000001;353.0;0.0
2009;1425.2579999999998;1743.0;25.883000000000003
2010;560.4350000000001;0.0;560.4350000000001
2011;740.836;0.0;740.836
2012;759.617;1318.0;98.32900000000001
2013;917.9639999999999;454.0;627.3530000000001
2014;1184.414;457.0;764.0920000000001
2015;832.2860000000001;0.0;832.2860000000001
2016;1295.965;1806.0;2.728
