;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1926;80.28899999999999;145.0;1.036
1;1;1927;45.326;13.0;42.688
2;2;1928;124.279;111.0;32.269
3;3;1929;115.864;0.0;115.864
4;4;1930;92.53200000000001;136.0;29.659
5;5;1931;49.82;12.0;47.991
6;6;1932;119.958;169.0;15.193
7;7;1933;60.35399999999999;76.0;0.0
8;8;1934;124.667;163.0;0.0
9;9;1935;50.211000000000006;0.0;50.211000000000006
10;10;1936;78.00399999999999;82.0;8.093
11;11;1937;71.13900000000001;0.0;71.13900000000001
12;12;1938;57.06;48.0;41.10799999999999
13;13;1939;48.355000000000004;61.0;0.0
14;14;1940;102.59100000000001;0.0;102.59100000000001
15;15;1941;56.806;112.0;13.53
16;16;1942;130.72500000000002;202.0;0.854
17;17;1943;166.848;180.0;33.21
18;18;1944;120.74100000000001;161.0;23.965000000000003
19;19;1945;112.325;148.0;5.465
20;20;1946;59.405;41.0;47.69300000000001
21;21;1947;103.37899999999999;0.0;103.37899999999999
22;22;1948;72.71100000000001;85.0;38.681999999999995
23;23;1949;58.471;70.0;32.28999999999999
24;24;1950;81.915;101.0;36.513
25;25;1951;58.369;73.0;0.0
26;26;1952;99.125;122.0;0.0
27;27;1953;101.08000000000001;56.0;78.887
28;28;1954;87.837;114.0;5.758
29;29;1955;97.9;138.0;0.0
30;30;1956;74.415;0.0;74.415
31;31;1957;41.293000000000006;21.0;36.486000000000004
32;32;1958;80.87700000000001;92.0;40.324000000000005
33;33;1959;83.225;100.0;9.93
34;34;1960;65.00200000000001;80.0;0.0
35;35;1961;52.755;0.0;52.755
36;36;1962;77.322;67.0;50.617000000000004
37;37;1963;99.34300000000002;15.0;95.06200000000001
38;38;1964;50.239999999999995;2.0;50.01
39;39;1965;67.339;0.0;67.339
40;40;1966;73.283;25.0;61.10900000000001
41;41;1967;58.022000000000006;0.0;58.022000000000006
42;42;1968;113.012;97.0;45.881
43;43;1969;78.43599999999999;51.0;31.364
44;44;1970;98.321;78.0;31.531999999999996
45;45;1971;65.667;80.0;0.0
46;46;1972;86.715;68.0;40.283
47;47;1973;69.30000000000001;122.0;0.0
48;48;1974;63.16100000000001;0.0;63.16100000000001
49;49;1975;64.39500000000001;70.0;43.78
50;50;1976;60.335;79.0;0.0
51;51;1977;60.98000000000001;80.0;13.416
52;52;1978;61.82;81.0;0.0
53;53;1979;77.716;50.0;44.691
54;54;1980;39.25;0.0;39.25
55;55;1981;71.154;70.0;45.418000000000006
56;56;1982;98.842;118.0;1.25
57;57;1983;76.107;0.0;76.107
58;58;1984;68.982;0.0;68.982
59;59;1985;56.059;56.0;37.751999999999995
60;60;1986;105.565;133.0;0.0
61;61;1987;51.872;0.0;51.872
62;62;1988;49.48100000000001;0.0;49.48100000000001
63;63;1989;66.577;0.0;66.577
64;64;1990;78.934;57.0;44.456
65;65;1991;68.31700000000001;0.0;68.31700000000001
66;66;1992;61.61200000000001;23.0;55.298
67;67;1993;112.56;86.0;34.265
68;68;1994;43.359;55.0;0.0
69;69;1995;46.21900000000001;35.0;34.765
70;70;1996;48.998999999999995;0.0;48.998999999999995
71;71;1997;106.132;50.0;73.055
72;72;1998;50.547;62.0;0.0
73;73;1999;57.82300000000001;75.0;31.633000000000003
74;74;2000;112.977;138.0;37.488
75;75;2001;78.418;75.0;21.407000000000004
76;76;2002;51.581;0.0;51.581
77;77;2003;56.455;0.0;56.455
78;78;2004;84.70200000000001;151.0;22.161
79;79;2005;91.50900000000001;66.0;57.164
80;80;2006;59.944;46.0;45.993
81;81;2007;90.999;107.0;5.992
82;82;2008;58.594;73.0;0.0
83;83;2009;86.63;132.0;24.17
84;84;2010;72.67600000000002;0.0;72.67600000000002
85;85;2011;59.103;0.0;59.103
86;86;2012;46.748000000000005;39.0;34.356
87;87;2013;58.67;81.0;28.724999999999998
88;88;2014;59.84100000000001;75.0;0.0
89;89;2015;51.486000000000004;6.0;50.271
90;90;2016;74.33700000000002;122.0;25.345
