YEAR;VAR1_sum;VAR2_sum;VAR3_sum
1926;231.64300000000003;282.0;28.477999999999998
1927;79.71100000000001;20.0;64.65
1928;224.73399999999998;90.0;151.328
1929;215.558;0.0;215.558
1930;400.081;414.0;67.298
1931;46.019;0.0;46.019
1932;231.246;249.0;47.17
1933;191.87599999999998;249.0;0.0
1934;216.13800000000003;285.0;12.257
1935;162.418;143.0;37.47
1936;289.88;213.0;109.613
1937;395.71500000000003;0.0;395.71500000000003
1938;394.01300000000003;34.0;377.47200000000004
1939;186.582;244.0;0.0
1940;378.139;155.0;232.953
1941;388.43;444.0;19.729
1942;244.466;299.0;25.410000000000004
1943;271.345;268.0;55.388999999999996
1944;400.70500000000004;471.0;52.526
1945;232.701;298.0;19.450000000000003
1946;328.5;382.0;41.58800000000001
1947;246.958;0.0;246.958
1948;347.32;268.0;121.19399999999999
1949;403.70099999999996;454.0;29.659
1950;409.12300000000005;472.0;41.075
1951;173.88400000000001;229.0;0.0
1952;221.356;304.0;1.127
1953;262.524;271.0;64.571
1954;200.60899999999998;275.0;8.565
1955;219.156;289.0;0.0
1956;339.222;0.0;339.222
1957;32.328;8.0;30.141000000000002
1958;276.18899999999996;242.0;102.75399999999999
1959;359.995;432.0;42.041999999999994
1960;211.71800000000002;270.0;0.0
1961;216.868;189.0;49.830000000000005
1962;134.976;92.0;59.647000000000006
1963;395.713;420.0;73.84100000000001
1964;49.36;6.0;44.962
1965;107.86700000000002;0.0;107.86700000000002
1966;124.58800000000001;92.0;44.7
1967;151.43400000000003;0.0;151.43400000000003
1968;407.339;456.0;48.163
1969;192.67899999999997;165.0;45.337
1970;227.436;213.0;69.63300000000001
1971;179.97500000000002;235.0;0.0
1972;230.01999999999998;186.0;91.888
1973;181.27700000000002;246.0;26.217
1974;150.161;0.0;150.161
1975;244.563;274.0;34.618
1976;195.30900000000003;251.0;0.0
1977;340.80499999999995;385.0;54.75899999999999
1978;199.529;270.0;0.0
1979;236.987;166.0;112.787
1980;41.239000000000004;0.0;41.239000000000004
1981;404.573;473.0;41.477
1982;313.496;359.0;33.106
1983;336.43600000000004;0.0;336.43600000000004
1984;273.34400000000005;189.0;101.34500000000001
1985;310.879;227.0;109.88500000000002
1986;243.84699999999998;325.0;6.0760000000000005
1987;385.377;375.0;47.193000000000005
1988;393.764;418.0;29.317000000000004
1989;76.963;0.0;76.963
1990;378.918;439.0;27.795
1991;405.752;0.0;405.752
1992;120.088;1.0;119.73500000000001
1993;247.129;286.0;16.186
1994;186.44;238.0;0.0
1995;31.583000000000006;9.0;28.961000000000002
1996;66.76500000000001;0.0;66.76500000000001
1997;242.11600000000004;5.0;239.858
1998;202.719;262.0;0.0
1999;162.88500000000002;171.0;33.699
2000;378.592;327.0;130.485
2001;289.664;303.0;65.57900000000001
2002;80.681;0.0;80.681
2003;52.50600000000001;0.0;52.50600000000001
2004;339.912;373.0;37.157000000000004
2005;237.79799999999997;224.0;62.35000000000001
2006;393.01800000000003;409.0;41.796
2007;244.622;286.0;29.64
2008;194.79100000000003;258.0;0.0
2009;227.04500000000002;249.0;42.702
2010;137.967;73.0;70.594
2011;224.952;0.0;224.952
2012;404.437;449.0;26.894000000000005
2013;146.693;155.0;28.820999999999998
2014;194.466;245.0;0.0
2015;150.6;132.0;34.955
2016;273.595;318.0;36.427
