PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
45000547;2.253;6;0.333;0.3218571428571429;0.8571428571428571;0.04757142857142858
45000548;10.09;10;1.0;0.9172727272727272;0.9090909090909091;0.09090909090909091
45000549;3.863;5;0.0;0.7726;1.0;0.0
45001548;11.051;11;0.791;0.9209166666666667;0.9166666666666666;0.06591666666666667
45001549;3.779;5;0.0;0.7558;1.0;0.0
45002517;0.6;1;0.0;0.6;1.0;0.0
45002546;0.333;0;0.333;0.333;0.0;0.333
45002548;10.501999999999999;10;1.0;0.9547272727272726;0.9090909090909091;0.09090909090909091
45002549;9.408;11;0.0;0.8552727272727272;1.0;0.0
45003548;3.46;7;0.0;0.4942857142857143;1.0;0.0
45003549;7.487;10;0.0;0.7487;1.0;0.0
45003550;0.701;1;0.0;0.701;1.0;0.0
45004546;0.299;0;0.299;0.299;0.0;0.299
45004548;3.752;8;0.0;0.469;1.0;0.0
45004549;0.828;1;0.0;0.828;1.0;0.0
45005548;1.259;2;0.0;0.6295;1.0;0.0
45006548;7.402;9;0.0;0.8224444444444444;1.0;0.0
45007548;10.204;11;0.0;0.9276363636363637;1.0;0.0
45008548;4.439;6;0.0;0.7398333333333333;1.0;0.0
45010519;1.0;1;0.0;1.0;1.0;0.0
45010548;0.897;1;0.0;0.897;1.0;0.0
45011548;10.907;10;2.0;0.9089166666666667;0.8333333333333334;0.16666666666666666
45012548;4.517;6;0.0;0.7528333333333334;1.0;0.0
45013520;1.83;3;0.0;0.61;1.0;0.0
45014521;1.31;2;0.521;0.4366666666666667;0.6666666666666666;0.17366666666666666
45014548;10.738;12;1.0;0.826;0.9230769230769231;0.07692307692307693
45015521;5.0729999999999995;6;0.0;0.8454999999999999;1.0;0.0
45016521;12.299;15;1.0;0.7686875;0.9375;0.0625
45017521;22.151;16;10.244;0.6328857142857143;0.45714285714285713;0.29268571428571427
45018520;0.591;1;0.0;0.591;1.0;0.0
45018521;14.374;17;2.145;0.7187;0.85;0.10725
45018522;3.102;2;2.863;0.2585;0.16666666666666666;0.23858333333333334
45023522;8.252;18;3.7510000000000003;0.2427058823529412;0.5294117647058824;0.11032352941176471
45024522;10.805;16;6.401000000000001;0.26353658536585367;0.3902439024390244;0.15612195121951222
45024523;0.281;2;0.0;0.1405;1.0;0.0
45032549;4.33;5;0.0;0.866;1.0;0.0
45034524;17.979;4;16.832;0.304728813559322;0.06779661016949153;0.28528813559322036
45034525;0.9590000000000001;0;0.9590000000000001;0.23975000000000002;0.0;0.23975000000000002
45034526;0.333;0;0.333;0.333;0.0;0.333
45035525;15.397;2;14.731000000000002;0.32077083333333334;0.041666666666666664;0.30689583333333337
45035549;3.33;0;3.33;0.333;0.0;0.333
45036525;9.498;12;1.1949999999999998;0.6332;0.8;0.07966666666666665
45036526;0.118;0;0.118;0.118;0.0;0.118
45038526;1.9980000000000002;0;1.9980000000000002;0.333;0.0;0.333
45043528;0.164;0;0.164;0.164;0.0;0.164
45044528;0.313;0;0.313;0.313;0.0;0.313
45051555;0.147;0;0.147;0.147;0.0;0.147
45054557;3.0;2;1.0;1.0;0.6666666666666666;0.3333333333333333
45057558;37.042;6;31.934;0.9034634146341464;0.14634146341463414;0.7788780487804878
45058558;6.299;0;6.299;0.6998888888888889;0.0;0.6998888888888889
45058559;19.23;19;3.6180000000000003;0.8360869565217391;0.8260869565217391;0.15730434782608696
45059559;1.959;2;0.0;0.9795;1.0;0.0
