PT_ID;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
45487492;18.56;16;5.589;0.8436363636363636;0.7272727272727273;0.2540454545454546
45514520;10.237;6;4.4399999999999995;0.8530833333333333;0.5;0.36999999999999994
45514521;14.573;13;4.75;0.72865;0.65;0.2375
45514522;14.072;12;4.736;0.7036;0.6;0.23679999999999998
45514523;6.4879999999999995;7;0.0;0.9268571428571428;1.0;0.0
45515521;13.395;11;4.389;0.7441666666666666;0.6111111111111112;0.24383333333333335
45515522;15.452;13;4.727;0.8132631578947368;0.6842105263157895;0.24878947368421053
45516510;2.0;2;0.0;1.0;1.0;0.0
45516521;17.096;18;2.6310000000000002;0.777090909090909;0.8181818181818182;0.1195909090909091
45516522;18.641000000000002;15;6.404;0.7767083333333334;0.625;0.2668333333333333
45517521;14.822;16;3.0;0.7801052631578947;0.8421052631578947;0.15789473684210525
45518521;12.459;14;2.0;0.7786875;0.875;0.125
45520520;19.108999999999998;16;5.705;0.7962083333333333;0.6666666666666666;0.23770833333333333
45521519;0.568;0;0.568;0.284;0.0;0.284
45521520;17.266;17;2.969;0.8633;0.85;0.14845
45522519;3.239;2;2.573;0.4627142857142857;0.2857142857142857;0.36757142857142855
45523519;17.286;15;4.273;0.7857272727272728;0.6818181818181818;0.19422727272727272
45524518;16.175;14;4.899;0.8087500000000001;0.7;0.24495
45525518;18.455;16;5.548;0.8388636363636363;0.7272727272727273;0.2521818181818182
45526517;0.478;0;0.478;0.239;0.0;0.239
45526518;16.555;17;2.822;0.7525;0.7727272727272727;0.1282727272727273
45527517;4.056;0;4.056;0.676;0.0;0.676
45528517;4.913;0;4.913;0.7018571428571428;0.0;0.7018571428571428
45532515;3.723;2;3.097;0.465375;0.25;0.387125
45535486;0.621;1;0.0;0.621;1.0;0.0
45535514;10.764;9;3.142;0.828;0.6923076923076923;0.24169230769230768
45536486;3.342;4;0.0;0.8355;1.0;0.0
45537514;12.917;11;4.368;0.7598235294117647;0.6470588235294118;0.25694117647058823
45538513;19.181;16;6.081;0.7992083333333334;0.6666666666666666;0.253375
45539512;0.333;0;0.333;0.333;0.0;0.333
45539513;18.125;17;5.0600000000000005;0.7552083333333334;0.7083333333333334;0.21083333333333334
45540512;2.673;2;1.0;0.891;0.6666666666666666;0.3333333333333333
45541486;0.19;0;0.19;0.19;0.0;0.19
45541512;16.18;17;3.177;0.7704761904761904;0.8095238095238095;0.1512857142857143
45542486;0.123;0;0.123;0.123;0.0;0.123
45542511;0.622;2;0.204;0.20733333333333334;0.6666666666666666;0.06799999999999999
45543511;1.333;0;1.333;0.6665;0.0;0.6665
45544511;13.413;11;4.396;0.7451666666666666;0.6111111111111112;0.24422222222222223
45545511;14.964;13;3.561;0.8802352941176471;0.7647058823529411;0.2094705882352941
45546486;0.309;0;0.309;0.309;0.0;0.309
45555506;0.333;0;0.333;0.333;0.0;0.333
45556483;1.0;1;0.0;1.0;1.0;0.0
45558482;2.125;2;0.416;0.7083333333333334;0.6666666666666666;0.13866666666666666
45558483;5.695;1;4.712;0.8135714285714286;0.14285714285714285;0.6731428571428572
45558506;4.996;3;3.224;0.7137142857142857;0.42857142857142855;0.4605714285714286
45559482;1.178;2;0.0;0.589;1.0;0.0
45559483;0.323;0;0.323;0.323;0.0;0.323
45560481;16.377;13;5.549;0.81885;0.65;0.27745000000000003
45561481;3.2560000000000002;4;0.0;0.8140000000000001;1.0;0.0
45561482;0.333;0;0.333;0.333;0.0;0.333
45562482;0.333;0;0.333;0.333;0.0;0.333
45562504;0.241;0;0.241;0.241;0.0;0.241
45562505;0.648;1;0.0;0.648;1.0;0.0
45563504;0.419;0;0.419;0.2095;0.0;0.2095
45564481;0.326;0;0.326;0.326;0.0;0.326
45565480;0.535;1;0.0;0.535;1.0;0.0
45566502;0.333;0;0.333;0.333;0.0;0.333
45567478;15.247;13;4.517;0.8024736842105263;0.6842105263157895;0.23773684210526316
