YEAR;VAR1_sum;VAR1_mean;VAR2_sum;VAR2_mean;VAR3_sum;VAR3_mean
1926;128.235;0.816783439490446;157.0;1.0;0.0;0.0
1927;56.93;0.8497014925373134;20.0;0.29850746268656714;40.76499999999999;0.6084328358208955
1928;89.83800000000001;0.736377049180328;16.0;0.13114754098360656;78.66000000000001;0.6447540983606558
1929;55.601000000000006;0.751364864864865;0.0;0.0;55.601000000000006;0.751364864864865
1930;324.903;0.7735785714285714;368.0;0.8761904761904762;22.086;0.052585714285714284
1931;21.592000000000002;0.8636800000000001;4.0;0.16;18.84;0.7536
1932;127.08999999999999;0.8043670886075949;158.0;1.0;0.0;0.0
1933;9.158000000000001;0.7044615384615386;13.0;1.0;0.0;0.0
1934;53.518;0.753774647887324;71.0;1.0;0.0;0.0
1935;145.46800000000002;0.8312457142857144;164.0;0.9371428571428572;4.789;0.027365714285714285
1936;121.872;0.7617;56.0;0.35;71.386;0.44616249999999996
1937;329.206;0.7709742388758782;0.0;0.0;329.206;0.7709742388758782
1938;353.642;0.8562760290556901;52.0;0.12590799031476999;317.103;0.7678038740920097
1939;20.525000000000002;0.789423076923077;26.0;1.0;0.0;0.0
1940;267.419;0.775127536231884;173.0;0.5014492753623189;104.50399999999999;0.3029101449275362
1941;355.01099999999997;0.8472816229116944;419.0;1.0;0.0;0.0
1942;129.392;0.7794698795180722;166.0;1.0;0.0;0.0
1943;125.517;0.7994713375796179;138.0;0.8789808917197452;7.904;0.05034394904458599
1944;303.183;0.7598571428571428;399.0;1.0;0.0;0.0
1945;60.419;0.8055866666666667;75.0;1.0;0.0;0.0
1946;254.691;0.7885170278637771;323.0;1.0;0.0;0.0
1947;129.164;0.7780963855421686;0.0;0.0;129.164;0.7780963855421686
1948;330.834;0.8729129287598945;274.0;0.7229551451187335;72.946;0.19246965699208443
1949;368.789;0.8362562358276644;441.0;1.0;0.0;0.0
1950;340.654;0.7759772209567198;439.0;1.0;0.0;0.0
1951;6.308;0.5734545454545454;11.0;1.0;0.0;0.0
1952;51.463;0.7917384615384615;65.0;1.0;0.0;0.0
