;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1899;74.8;74.8;74.8
1;1900;75.02;74.79;74.53
2;1901;75.08;74.76;74.4
3;1902;75.06;74.78;74.45
4;1903;75.29;74.95;74.48
5;1904;75.36;74.91;74.37
6;1905;75.09;74.74;74.27
7;1906;74.97;74.84;74.72
8;1907;75.14;74.96;74.76
9;1908;75.5;75.0;74.3
10;1909;75.18;74.76;74.27
11;1910;75.06;74.79;74.56
12;1911;74.8;74.55;74.27
13;1912;75.22;74.81;74.32
14;1913;75.34;75.0;74.58
15;1914;75.01;74.74;74.39
16;1915;74.81;74.62;74.38
17;1916;75.55;74.99;74.58
18;1917;75.2;74.84;74.44
19;1918;75.06;74.85;74.66
20;1919;75.39;74.94;74.56
21;1920;74.86;74.65;74.34
22;1921;75.21;74.89;74.57
23;1922;75.24;74.84;74.49
24;1923;74.87;74.61;74.38
25;1924;75.09;74.78;74.47
26;1925;74.79;74.57;74.33
27;1926;74.86;74.58;74.18
28;1927;74.98;74.82;74.6
29;1928;75.31;75.06;74.74
30;1929;75.55;75.04;74.58
31;1930;75.03;74.75;74.27
32;1931;74.76;74.43;74.18
33;1932;75.01;74.72;74.23
34;1933;74.91;74.57;74.08
35;1934;74.48;74.13;73.71
36;1935;74.35;74.01;73.71
37;1936;74.65;74.22;73.71
38;1937;75.06;74.74;74.11
39;1938;74.97;74.75;74.46
40;1939;74.9;74.6;74.21
41;1940;74.8;74.45;73.99
42;1941;74.75;74.51;74.23
43;1942;75.07;74.74;74.22
44;1943;75.68;75.11;74.58
45;1944;74.88;74.62;74.35
46;1945;75.27;74.92;74.44
47;1946;74.91;74.71;74.55
48;1947;75.68;75.05;74.58
49;1948;75.03;74.76;74.49
50;1949;74.97;74.68;74.23
51;1950;75.18;74.88;74.34
52;1951;75.5;75.05;74.6
53;1952;75.27;74.88;74.42
54;1953;75.06;74.74;74.47
55;1954;75.31;74.93;74.51
56;1955;75.28;74.93;74.6
57;1956;75.25;74.84;74.48
58;1957;75.0;74.72;74.45
59;1958;74.79;74.63;74.44
60;1959;75.04;74.69;74.41
61;1960;75.31;74.91;74.45
62;1961;74.89;74.59;74.18
63;1962;74.68;74.47;74.17
64;1963;74.56;74.16;73.87
65;1964;74.38;73.96;73.52
66;1965;74.35;74.01;73.54
67;1966;74.82;74.58;74.33
68;1967;74.92;74.74;74.49
69;1968;75.12;74.93;74.72
70;1969;75.34;74.98;74.67
71;1970;74.98;74.81;74.6
72;1971;75.31;74.95;74.6
73;1972;75.49;75.06;74.67
74;1973;75.54;75.12;74.59
75;1974;75.5;74.99;74.55
76;1975;75.06;74.79;74.56
77;1976;75.7;75.14;74.61
78;1977;75.09;74.78;74.49
79;1978;75.41;74.94;74.39
80;1979;75.19;74.89;74.46
81;1980;75.2;74.91;74.62
82;1981;74.93;74.8;74.51
83;1982;75.11;74.86;74.59
84;1983;75.3;74.92;74.63
85;1984;75.33;74.95;74.52
86;1985;75.14;74.91;74.61
87;1986;75.34;75.19;74.95
88;1987;75.39;74.98;74.45
89;1988;74.79;74.61;74.48
90;1989;75.17;74.82;74.49
91;1990;75.37;75.0;74.74
92;1991;75.42;74.89;74.33
93;1992;75.14;74.88;74.39
94;1993;75.69;75.08;74.48
95;1994;75.03;74.77;74.49
96;1995;74.91;74.8;74.6
97;1996;75.44;75.08;74.79
98;1997;75.49;75.05;74.56
99;1998;75.49;74.91;74.32
100;1999;74.71;74.5;74.31
101;2000;75.24;74.82;74.43
102;2001;74.94;74.66;74.36
103;2002;75.36;74.86;74.46
104;2003;75.01;74.77;74.43
105;2004;75.24;74.98;74.7
106;2005;75.33;74.95;74.62
107;2006;75.15;74.99;74.7
108;2007;75.24;74.8;74.28
109;2008;75.39;74.99;74.42
110;2009;75.3;75.0;74.63
111;2010;74.95;74.79;74.67
112;2011;75.55;75.04;74.65
113;2012;75.07;74.64;74.15
114;2013;75.14;74.81;74.26
115;2014;75.39;75.04;74.74
116;2015;75.21;74.91;74.62
117;2016;75.37;74.94;74.54
118;2017;76.19;75.44;74.61
119;2018;75.39;75.04;74.6
120;2019;75.97;75.36;74.79
121;2020;75.67;75.24;74.67
