;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;6.02;4.64;4.04
1;1901;6.46;4.52;3.86
2;1902;5.94;4.68;3.83
3;1903;5.93;4.74;3.99
4;1904;6.75;4.98;4.1
5;1905;5.36;4.52;4.03
6;1906;5.81;4.46;3.67
7;1907;5.85;4.74;4.05
8;1908;7.07;4.9;3.86
9;1909;6.96;4.67;3.84
10;1910;5.83;4.5;4.0
11;1911;5.86;4.36;3.75
12;1912;6.61;4.77;3.87
13;1913;6.21;4.78;4.11
14;1914;5.65;4.31;3.67
15;1915;4.67;4.11;3.73
16;1916;6.46;4.88;4.12
17;1917;5.89;4.73;3.96
18;1918;6.05;4.73;4.1
19;1919;6.5;4.9;4.11
20;1920;5.73;4.42;3.86
21;1921;6.03;4.53;3.85
22;1922;6.37;4.53;3.68
23;1923;6.63;4.5;3.75
24;1924;6.63;4.59;3.91
25;1925;5.72;4.48;3.81
26;1926;5.83;4.42;3.8
27;1927;5.27;4.6;3.97
28;1928;7.09;5.08;4.26
29;1929;6.89;5.01;3.77
30;1930;5.75;4.79;3.86
31;1931;4.68;4.1;3.83
32;1932;5.86;4.55;3.9
33;1933;6.65;4.42;3.66
34;1934;5.88;4.26;3.62
35;1935;5.04;4.02;3.57
36;1936;6.49;4.48;3.75
37;1937;5.73;4.42;3.96
38;1938;6.13;4.47;3.86
39;1939;6.3;4.49;3.91
40;1940;5.47;4.23;3.75
41;1941;5.97;4.28;3.94
42;1942;6.09;4.37;3.86
43;1943;6.57;4.91;4.19
44;1944;5.52;4.24;3.72
45;1945;6.14;4.66;3.93
46;1946;5.75;4.49;3.95
47;1947;6.97;5.07;3.94
48;1948;5.53;4.45;3.82
49;1949;5.67;4.41;3.8
50;1950;5.4;4.54;4.07
51;1951;6.45;4.98;4.44
52;1952;6.24;4.97;4.15
53;1953;5.98;4.52;3.87
54;1954;6.39;4.81;4.01
55;1955;6.53;4.71;4.01
56;1956;5.58;4.64;3.89
57;1957;5.41;4.51;4.04
58;1958;5.5;4.41;3.98
59;1959;5.66;4.44;3.92
60;1960;6.54;4.81;3.91
61;1961;5.21;4.34;3.92
62;1962;5.84;4.29;3.8
63;1963;5.36;4.09;3.62
64;1964;5.02;4.01;3.47
65;1965;4.69;4.11;3.73
66;1966;5.5;4.43;3.92
67;1967;5.69;4.65;4.09
68;1968;5.97;4.56;4.09
69;1969;6.0;4.8;4.23
70;1970;5.96;4.69;4.13
71;1971;6.83;4.84;3.88
72;1972;6.95;5.27;4.29
73;1973;6.82;5.4;4.6
74;1974;7.27;5.36;4.46
75;1975;6.41;4.89;4.35
76;1976;7.27;5.41;4.64
77;1977;6.33;4.88;4.21
78;1978;6.75;4.92;4.05
79;1979;6.33;5.17;4.51
80;1980;6.08;4.99;4.62
81;1981;6.87;5.18;4.42
82;1982;6.15;4.83;4.06
83;1983;6.71;5.09;4.32
84;1984;6.58;5.11;4.34
85;1985;6.12;5.06;4.3
86;1986;6.45;5.2;4.49
87;1987;6.5;4.87;4.25
88;1988;5.91;4.71;4.1
89;1989;5.81;4.66;3.98
90;1990;5.88;4.99;4.23
91;1991;6.57;4.87;3.99
92;1992;6.18;4.81;4.21
93;1993;6.85;5.26;4.37
94;1994;6.39;4.92;4.13
95;1995;5.88;4.63;3.77
96;1996;6.5;5.1;4.47
97;1997;6.92;5.19;4.41
98;1998;7.27;4.88;3.8
99;1999;5.66;4.45;3.87
100;2000;5.67;4.58;3.86
101;2001;5.88;4.37;3.73
102;2002;5.94;4.55;3.78
103;2003;5.7;4.54;3.83
104;2004;5.69;4.77;4.04
105;2005;6.53;4.78;3.96
106;2006;5.86;4.98;4.2
107;2007;6.16;4.53;3.66
108;2008;6.87;4.97;4.04
109;2009;6.27;4.9;4.04
110;2010;5.27;4.46;3.74
111;2011;6.79;4.94;4.14
112;2012;5.97;4.34;3.48
113;2013;5.81;4.62;3.98
114;2014;6.44;4.95;4.23
115;2015;5.63;4.59;4.03
116;2016;6.38;4.77;3.72
117;2017;7.08;5.25;4.25
118;2018;7.09;5.14;4.44
119;2019;7.15;5.37;4.51
120;2020;6.44;5.27;4.55
