;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;74.03;73.6;72.27
1;1901;74.02;73.65;72.22
2;1902;74.0;73.6;72.11
3;1903;74.09;73.72;72.82
4;1904;74.12;73.47;72.12
5;1905;73.96;73.56;72.62
6;1906;74.01;73.69;73.02
7;1907;74.03;73.71;72.99
8;1908;74.15;73.5;72.62
9;1909;74.05;73.49;72.17
10;1910;74.01;73.66;72.72
11;1911;73.85;73.39;72.51
12;1912;74.07;73.52;72.23
13;1913;74.15;73.73;73.02
14;1914;73.93;73.46;72.21
15;1915;73.85;73.61;72.55
16;1916;74.17;73.73;73.05
17;1917;74.04;73.53;72.27
18;1918;73.83;73.49;72.54
19;1919;74.06;73.7;73.23
20;1920;74.0;73.42;72.18
21;1921;74.11;73.74;72.81
22;1922;74.09;73.59;72.26
23;1923;73.88;73.43;72.14
24;1924;74.03;73.7;72.92
25;1925;73.87;73.48;72.18
26;1926;74.04;73.45;72.08
27;1927;74.16;73.6;72.57
28;1928;74.41;73.84;73.34
29;1929;74.12;73.66;73.18
30;1930;73.63;73.3;72.76
31;1931;73.87;73.3;72.12
32;1932;74.03;73.75;73.14
33;1933;73.94;73.52;72.88
34;1934;73.73;73.03;72.07
35;1935;73.59;72.89;72.0
36;1936;73.87;73.2;72.03
37;1937;74.05;73.77;73.12
38;1938;74.0;73.66;72.78
39;1939;73.96;73.42;72.21
40;1940;73.93;73.41;72.17
41;1941;73.94;73.42;72.55
42;1942;74.05;73.71;72.44
43;1943;74.14;73.67;72.86
44;1944;73.85;73.44;72.26
45;1945;74.08;73.57;72.3
46;1946;74.01;73.33;72.18
47;1947;74.14;73.73;73.27
48;1948;73.77;73.35;72.19
49;1949;73.96;73.54;72.52
50;1950;74.05;73.73;72.91
51;1951;74.14;73.61;72.58
52;1952;73.88;73.32;72.3
53;1953;73.88;73.47;72.15
54;1954;74.1;73.66;72.5
55;1955;74.1;73.56;72.71
56;1956;74.03;73.68;73.1
57;1957;73.9;73.68;72.74
58;1958;73.91;73.69;72.99
59;1959;74.0;73.73;73.23
60;1960;74.06;73.66;72.71
61;1961;73.91;73.56;72.48
62;1962;73.7;73.28;72.72
63;1963;73.37;72.81;72.02
64;1964;73.59;73.04;72.45
65;1965;73.64;73.08;72.01
66;1966;73.95;73.66;72.85
67;1967;73.92;73.66;73.2
68;1968;74.06;73.77;73.06
69;1969;74.09;73.68;72.85
70;1970;74.04;73.6;72.63
71;1971;74.09;73.6;72.8
72;1972;74.27;73.48;72.23
73;1973;74.45;73.32;72.31
74;1974;74.08;73.23;72.24
75;1975;73.78;73.19;72.3
76;1976;74.03;73.33;72.25
77;1977;74.38;73.26;72.2
78;1978;74.09;73.26;72.39
79;1979;73.98;73.43;72.19
80;1980;74.09;73.45;72.74
81;1981;73.7;73.4;72.42
82;1982;73.93;73.34;72.26
83;1983;74.09;73.57;73.27
84;1984;73.97;73.29;72.34
85;1985;74.1;73.28;72.16
86;1986;73.87;73.33;72.28
87;1987;74.42;73.32;72.92
88;1988;73.67;73.36;72.21
89;1989;74.02;73.66;73.04
90;1990;74.07;73.7;73.04
91;1991;74.15;73.53;72.96
92;1992;74.08;73.61;72.95
93;1993;74.17;73.3;72.33
94;1994;73.73;73.27;72.21
95;1995;74.03;73.67;73.22
96;1996;74.09;73.63;72.77
97;1997;74.18;73.3;72.61
98;1998;74.06;73.36;72.92
99;1999;73.78;73.45;72.29
100;2000;74.12;73.76;73.2
101;2001;73.9;73.58;73.3
102;2002;74.11;73.83;73.54
103;2003;73.97;73.62;72.87
104;2004;74.09;73.78;73.19
105;2005;74.16;73.71;73.32
106;2006;74.34;73.87;73.22
107;2007;74.19;73.62;73.21
108;2008;74.15;73.75;73.09
109;2009;74.07;73.74;73.22
110;2010;73.88;73.77;73.57
111;2011;74.15;73.76;73.05
112;2012;74.22;73.45;73.03
113;2013;74.04;73.82;73.1
114;2014;74.12;73.74;73.21
115;2015;74.0;73.61;72.55
116;2016;74.22;73.69;73.4
117;2017;74.91;73.94;73.29
118;2018;74.1;73.31;72.58
119;2019;74.17;73.58;72.29
120;2020;74.39;73.42;72.79
