;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;74.81;74.57;74.29
1;1901;74.85;74.54;74.1
2;1902;74.81;74.54;74.09
3;1903;75.03;74.69;74.23
4;1904;75.08;74.64;74.1
5;1905;74.84;74.5;74.03
6;1906;74.74;74.6;74.49
7;1907;74.89;74.7;74.51
8;1908;75.21;74.69;74.04
9;1909;74.97;74.51;73.97
10;1910;74.83;74.57;74.28
11;1911;74.59;74.32;74.04
12;1912;75.01;74.58;74.01
13;1913;75.07;74.74;74.29
14;1914;74.81;74.53;74.17
15;1915;74.6;74.41;74.14
16;1916;75.26;74.73;74.33
17;1917;74.94;74.58;74.12
18;1918;74.79;74.59;74.36
19;1919;75.13;74.67;74.32
20;1920;74.65;74.41;74.0
21;1921;74.98;74.66;74.32
22;1922;75.02;74.63;74.26
23;1923;74.63;74.37;74.02
24;1924;74.85;74.56;74.24
25;1925;74.6;74.36;74.06
26;1926;74.69;74.39;73.96
27;1927;74.75;74.59;74.41
28;1928;75.11;74.81;74.48
29;1929;75.25;74.73;74.29
30;1930;74.73;74.46;74.03
31;1931;74.56;74.2;73.87
32;1932;74.81;74.51;74.02
33;1933;74.69;74.35;73.83
34;1934;74.3;73.92;73.56
35;1935;74.13;73.79;73.44
36;1936;74.47;74.02;73.44
37;1937;74.84;74.54;73.95
38;1938;74.76;74.53;74.24
39;1939;74.71;74.39;73.97
40;1940;74.6;74.23;73.74
41;1941;74.57;74.29;74.03
42;1942;74.84;74.53;73.97
43;1943;75.38;74.85;74.42
44;1944;74.66;74.38;74.03
45;1945;75.03;74.66;74.11
46;1946;74.7;74.49;74.31
47;1947;75.39;74.79;74.32
48;1948;74.76;74.48;74.15
49;1949;74.74;74.45;73.98
50;1950;74.94;74.64;74.15
51;1951;75.19;74.76;74.33
52;1952;74.95;74.57;74.12
53;1953;74.82;74.49;74.2
54;1954;75.04;74.68;74.24
55;1955;75.03;74.65;74.35
56;1956;74.98;74.6;74.22
57;1957;74.76;74.49;74.27
58;1958;74.6;74.43;74.2
59;1959;74.83;74.49;74.19
60;1960;75.11;74.71;74.3
61;1961;74.68;74.37;73.92
62;1962;74.47;74.24;73.94
63;1963;74.35;73.94;73.64
64;1964;74.19;73.77;73.33
65;1965;74.17;73.81;73.3
66;1966;74.62;74.39;74.14
67;1967;74.72;74.53;74.28
68;1968;74.89;74.69;74.49
69;1969;75.07;74.72;74.42
70;1970;74.75;74.56;74.29
71;1971;75.06;74.69;74.36
72;1972;75.18;74.76;74.42
73;1973;75.16;74.77;74.23
74;1974;75.23;74.65;74.21
75;1975;74.72;74.47;74.23
76;1976;75.35;74.8;74.28
77;1977;74.92;74.5;74.17
78;1978;75.13;74.65;74.16
79;1979;74.93;74.62;74.19
80;1980;74.89;74.61;74.36
81;1981;74.65;74.52;74.2
82;1982;74.79;74.56;74.32
83;1983;75.03;74.63;74.34
84;1984;75.0;74.62;74.2
85;1985;74.82;74.58;74.25
86;1986;74.99;74.84;74.6
87;1987;75.09;74.64;74.12
88;1988;74.5;74.34;74.2
89;1989;74.9;74.57;74.22
90;1990;75.08;74.73;74.47
91;1991;75.11;74.6;74.09
92;1992;74.9;74.6;74.12
93;1993;75.34;74.74;74.17
94;1994;74.74;74.48;74.14
95;1995;74.69;74.54;74.37
96;1996;75.13;74.78;74.51
97;1997;75.19;74.7;74.22
98;1998;75.2;74.59;74.05
99;1999;74.51;74.26;74.01
100;2000;74.98;74.58;74.16
101;2001;74.69;74.41;74.13
102;2002;75.09;74.62;74.26
103;2003;74.77;74.51;74.12
104;2004;74.97;74.71;74.45
105;2005;75.02;74.67;74.36
106;2006;74.92;74.74;74.47
107;2007;74.95;74.54;74.04
108;2008;75.15;74.73;74.19
109;2009;75.01;74.71;74.36
110;2010;74.69;74.54;74.43
111;2011;75.26;74.76;74.38
112;2012;74.82;74.36;73.92
113;2013;74.91;74.58;74.07
114;2014;75.12;74.77;74.45
115;2015;74.94;74.63;74.29
116;2016;75.1;74.67;74.3
117;2017;75.94;75.16;74.37
118;2018;75.03;74.68;74.26
119;2019;75.67;75.01;74.43
120;2020;75.34;74.86;74.29
