;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;6.02;4.64;4.03
1;1901;6.46;4.52;3.87
2;1902;5.95;4.68;3.83
3;1903;5.96;4.75;3.99
4;1904;6.8;4.97;4.08
5;1905;5.4;4.53;3.98
6;1906;5.82;4.47;3.67
7;1907;5.85;4.73;4.06
8;1908;7.06;4.89;3.89
9;1909;7.04;4.68;3.86
10;1910;5.83;4.49;4.0
11;1911;5.85;4.36;3.75
12;1912;6.65;4.77;3.87
13;1913;6.29;4.77;4.11
14;1914;5.67;4.32;3.67
15;1915;4.65;4.09;3.73
16;1916;6.5;4.88;4.05
17;1917;5.91;4.7;3.98
18;1918;6.08;4.76;4.12
19;1919;6.5;4.89;4.11
20;1920;5.76;4.42;3.85
21;1921;6.05;4.54;3.86
22;1922;6.37;4.52;3.7
23;1923;6.62;4.49;3.75
24;1924;6.64;4.59;3.92
25;1925;5.73;4.47;3.81
26;1926;5.82;4.42;3.8
27;1927;5.27;4.6;3.97
28;1928;7.09;5.08;4.26
29;1929;6.89;5.0;3.77
30;1930;5.75;4.8;3.86
31;1931;4.72;4.11;3.77
32;1932;5.89;4.55;3.9
33;1933;6.62;4.42;3.66
34;1934;5.86;4.26;3.62
35;1935;5.01;4.02;3.57
36;1936;6.48;4.48;3.81
37;1937;5.72;4.42;3.98
38;1938;6.13;4.46;3.86
39;1939;6.29;4.49;3.91
40;1940;5.45;4.23;3.75
41;1941;5.95;4.28;3.94
42;1942;6.09;4.38;3.86
43;1943;6.57;4.89;4.19
44;1944;5.55;4.26;3.72
45;1945;6.15;4.62;3.93
46;1946;5.78;4.54;3.98
47;1947;6.9;5.05;3.94
48;1948;5.52;4.48;3.83
49;1949;5.68;4.4;3.77
50;1950;5.4;4.54;4.06
51;1951;6.45;4.97;4.37
52;1952;6.24;4.97;4.19
53;1953;6.0;4.54;3.88
54;1954;6.39;4.8;4.03
55;1955;6.61;4.72;4.01
56;1956;5.61;4.65;3.91
57;1957;5.41;4.5;4.03
58;1958;5.49;4.38;3.98
59;1959;5.66;4.45;3.92
60;1960;6.6;4.83;3.95
61;1961;5.18;4.32;3.92
62;1962;5.83;4.28;3.8
63;1963;5.34;4.1;3.62
64;1964;5.0;4.02;3.49
65;1965;4.65;4.1;3.73
66;1966;5.49;4.43;3.92
67;1967;5.69;4.64;4.07
68;1968;6.0;4.57;4.13
69;1969;6.0;4.8;4.23
70;1970;5.97;4.69;4.14
71;1971;6.91;4.84;3.89
72;1972;7.02;5.23;4.29
73;1973;6.78;5.41;4.62
74;1974;7.27;5.35;4.42
75;1975;6.5;4.89;4.35
76;1976;7.35;5.41;4.64
77;1977;6.3;4.86;4.25
78;1978;6.75;4.94;4.1
79;1979;6.41;5.17;4.52
80;1980;6.08;4.99;4.62
81;1981;6.95;5.18;4.45
82;1982;6.15;4.84;4.1
83;1983;6.79;5.09;4.31
84;1984;6.67;5.1;4.33
85;1985;6.21;5.06;4.3
86;1986;6.49;5.18;4.49
87;1987;6.8;4.89;4.33
88;1988;5.93;4.74;4.14
89;1989;5.79;4.66;4.0
90;1990;5.88;4.99;4.22
91;1991;6.57;4.87;4.0
92;1992;6.18;4.77;4.21
93;1993;6.96;5.29;4.37
94;1994;6.38;4.93;4.15
95;1995;5.88;4.64;3.78
96;1996;6.57;5.05;4.35
97;1997;6.98;5.2;4.42
98;1998;7.47;4.9;3.85
99;1999;5.69;4.46;3.87
100;2000;5.65;4.57;3.89
101;2001;5.9;4.37;3.73
102;2002;5.95;4.56;3.78
103;2003;5.59;4.51;3.81
104;2004;5.75;4.79;4.07
105;2005;6.61;4.79;3.98
106;2006;5.88;4.95;4.16
107;2007;6.22;4.56;3.67
108;2008;6.87;4.97;4.03
109;2009;6.28;4.9;4.03
110;2010;5.27;4.47;3.72
111;2011;6.8;4.9;4.16
112;2012;5.98;4.36;3.48
113;2013;5.83;4.62;3.96
114;2014;6.52;4.94;4.24
115;2015;5.65;4.58;3.98
116;2016;6.39;4.78;3.73
117;2017;7.3;5.24;4.25
118;2018;7.15;5.12;4.4
119;2019;7.34;5.34;4.4
120;2020;6.57;5.24;4.55
