;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1899;74.8;74.8;74.8
1;1900;75.04;74.8;74.53
2;1901;75.08;74.76;74.4
3;1902;75.06;74.79;74.44
4;1903;75.26;74.93;74.46
5;1904;75.33;74.9;74.35
6;1905;75.06;74.74;74.3
7;1906;74.91;74.79;74.66
8;1907;75.06;74.9;74.75
9;1908;75.48;75.01;74.35
10;1909;75.16;74.75;74.31
11;1910;75.0;74.75;74.52
12;1911;74.8;74.54;74.27
13;1912;75.18;74.79;74.32
14;1913;75.32;74.99;74.58
15;1914;74.96;74.7;74.35
16;1915;74.81;74.6;74.33
17;1916;75.54;74.99;74.59
18;1917;75.15;74.84;74.44
19;1918;75.11;74.89;74.69
20;1919;75.36;74.92;74.57
21;1920;74.85;74.64;74.33
22;1921;75.17;74.85;74.51
23;1922;75.2;74.8;74.46
24;1923;74.86;74.6;74.36
25;1924;75.1;74.79;74.46
26;1925;74.79;74.58;74.32
27;1926;74.88;74.61;74.21
28;1927;74.98;74.82;74.59
29;1928;75.29;75.04;74.73
30;1929;75.53;75.06;74.68
31;1930;75.14;74.84;74.3
32;1931;74.71;74.4;74.16
33;1932;74.96;74.68;74.22
34;1933;74.94;74.6;74.1
35;1934;74.5;74.14;73.72
36;1935;74.37;74.02;73.72
37;1936;74.69;74.25;73.72
38;1937;75.09;74.75;74.11
39;1938;74.97;74.76;74.47
40;1939;74.93;74.63;74.25
41;1940;74.84;74.48;74.0
42;1941;74.76;74.54;74.26
43;1942;75.1;74.76;74.26
44;1943;75.65;75.12;74.68
45;1944;74.88;74.64;74.42
46;1945;75.22;74.93;74.41
47;1946;75.13;74.79;74.52
48;1947;75.67;75.06;74.55
49;1948;75.07;74.78;74.54
50;1949;74.9;74.63;74.18
51;1950;75.17;74.87;74.31
52;1951;75.5;75.07;74.68
53;1952;75.36;74.97;74.5
54;1953;75.06;74.74;74.52
55;1954;75.25;74.89;74.46
56;1955;75.31;74.94;74.59
57;1956;75.2;74.81;74.47
58;1957;74.94;74.68;74.43
59;1958;74.8;74.66;74.48
60;1959;75.13;74.77;74.5
61;1960;75.32;74.91;74.41
62;1961;74.91;74.6;74.15
63;1962;74.76;74.56;74.27
64;1963;74.62;74.21;73.9
65;1964;74.41;73.98;73.5
66;1965;74.37;74.0;73.52
67;1966;74.86;74.61;74.37
68;1967;74.99;74.81;74.54
69;1968;75.11;74.93;74.69
70;1969;75.28;74.95;74.66
71;1970;74.93;74.76;74.57
72;1971;75.27;74.92;74.57
73;1972;75.46;75.08;74.64
74;1973;75.63;75.22;74.67
75;1974;75.54;75.06;74.66
76;1975;75.19;74.92;74.68
77;1976;75.75;75.22;74.7
78;1977;75.26;74.83;74.55
79;1978;75.48;75.04;74.43
80;1979;75.2;74.92;74.51
81;1980;75.28;74.99;74.72
82;1981;74.99;74.87;74.6
83;1982;75.2;74.95;74.67
84;1983;75.34;74.96;74.69
85;1984;75.4;75.03;74.64
86;1985;75.24;75.02;74.72
87;1986;75.46;75.3;75.09
88;1987;75.73;75.28;74.62
89;1988;74.86;74.66;74.46
90;1989;75.14;74.78;74.45
91;1990;75.33;74.98;74.73
92;1991;75.46;74.92;74.35
93;1992;75.17;74.9;74.39
94;1993;75.77;75.21;74.59
95;1994;75.08;74.81;74.57
96;1995;74.9;74.77;74.54
97;1996;75.38;75.07;74.73
98;1997;75.59;75.19;74.68
99;1998;75.54;75.0;74.33
100;1999;74.68;74.47;74.28
101;2000;75.22;74.81;74.38
102;2001;74.92;74.65;74.37
103;2002;75.38;74.88;74.49
104;2003;74.99;74.76;74.39
105;2004;75.23;75.0;74.73
106;2005;75.33;74.95;74.59
107;2006;75.12;74.97;74.67
108;2007;75.33;74.88;74.3
109;2008;75.37;74.98;74.43
110;2009;75.29;75.0;74.63
111;2010;74.91;74.76;74.62
112;2011;75.5;75.02;74.6
113;2012;75.19;74.71;74.15
114;2013;75.1;74.79;74.26
115;2014;75.35;75.02;74.76
116;2015;75.17;74.91;74.62
117;2016;75.39;74.97;74.55
118;2017;76.18;75.47;74.61
119;2018;75.44;75.12;74.71
120;2019;76.06;75.54;74.92
121;2020;76.06;75.66;75.15
