;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;74.84;74.59;74.3
1;1901;74.85;74.53;74.1
2;1902;74.81;74.54;74.08
3;1903;74.99;74.67;74.22
4;1904;75.05;74.63;74.07
5;1905;74.8;74.5;74.07
6;1906;74.67;74.55;74.43
7;1907;74.8;74.64;74.48
8;1908;75.21;74.71;74.1
9;1909;74.95;74.5;74.01
10;1910;74.77;74.52;74.23
11;1911;74.6;74.31;74.04
12;1912;74.96;74.56;74.01
13;1913;75.05;74.73;74.28
14;1914;74.76;74.49;74.13
15;1915;74.61;74.39;74.09
16;1916;75.25;74.74;74.34
17;1917;74.88;74.59;74.12
18;1918;74.83;74.62;74.43
19;1919;75.08;74.65;74.32
20;1920;74.64;74.39;74.0
21;1921;74.93;74.61;74.26
22;1922;74.99;74.59;74.2
23;1923;74.63;74.37;74.0
24;1924;74.86;74.56;74.23
25;1925;74.59;74.37;74.05
26;1926;74.7;74.43;73.99
27;1927;74.74;74.59;74.4
28;1928;75.11;74.79;74.46
29;1929;75.24;74.76;74.4
30;1930;74.86;74.56;74.07
31;1931;74.51;74.18;73.89
32;1932;74.75;74.47;74.01
33;1933;74.72;74.38;73.85
34;1934;74.32;73.93;73.57
35;1935;74.16;73.81;73.45
36;1936;74.51;74.04;73.45
37;1937;74.88;74.55;73.95
38;1938;74.75;74.54;74.25
39;1939;74.74;74.42;74.02
40;1940;74.65;74.26;73.75
41;1941;74.57;74.33;74.07
42;1942;74.88;74.54;74.0
43;1943;75.34;74.86;74.53
44;1944;74.65;74.39;74.14
45;1945;74.97;74.68;74.07
46;1946;74.91;74.56;74.27
47;1947;75.37;74.81;74.34
48;1948;74.79;74.5;74.2
49;1949;74.67;74.39;73.91
50;1950;74.93;74.62;74.11
51;1951;75.19;74.79;74.42
52;1952;75.05;74.67;74.21
53;1953;74.82;74.49;74.24
54;1954;74.98;74.64;74.19
55;1955;75.05;74.66;74.34
56;1956;74.93;74.56;74.21
57;1957;74.7;74.44;74.24
58;1958;74.62;74.47;74.23
59;1959;74.92;74.57;74.29
60;1960;75.11;74.72;74.25
61;1961;74.71;74.4;73.89
62;1962;74.57;74.33;74.04
63;1963;74.41;73.98;73.67
64;1964;74.23;73.79;73.32
65;1965;74.2;73.8;73.28
66;1966;74.67;74.43;74.18
67;1967;74.79;74.61;74.34
68;1968;74.88;74.7;74.45
69;1969;75.01;74.69;74.41
70;1970;74.69;74.51;74.25
71;1971;75.02;74.65;74.32
72;1972;75.15;74.8;74.37
73;1973;75.27;74.88;74.29
74;1974;75.26;74.74;74.32
75;1975;74.87;74.61;74.37
76;1976;75.39;74.89;74.39
77;1977;75.1;74.56;74.23
78;1978;75.19;74.75;74.21
79;1979;74.93;74.65;74.23
80;1980;74.98;74.71;74.47
81;1981;74.73;74.59;74.28
82;1982;74.88;74.65;74.4
83;1983;75.05;74.68;74.41
84;1984;75.08;74.72;74.33
85;1985;74.93;74.7;74.34
86;1986;75.19;74.97;74.68
87;1987;75.44;74.97;74.22
88;1988;74.57;74.39;74.21
89;1989;74.87;74.54;74.18
90;1990;75.05;74.7;74.46
91;1991;75.16;74.64;74.11
92;1992;74.89;74.63;74.11
93;1993;75.43;74.88;74.26
94;1994;74.79;74.51;74.19
95;1995;74.68;74.5;74.3
96;1996;75.06;74.79;74.47
97;1997;75.27;74.85;74.36
98;1998;75.21;74.68;74.06
99;1999;74.45;74.23;74.02
100;2000;74.97;74.57;74.13
101;2001;74.67;74.41;74.13
102;2002;75.11;74.63;74.27
103;2003;74.77;74.51;74.07
104;2004;74.96;74.73;74.48
105;2005;75.02;74.67;74.33
106;2006;74.89;74.72;74.43
107;2007;75.04;74.61;74.04
108;2008;75.11;74.72;74.19
109;2009;75.0;74.71;74.36
110;2010;74.64;74.51;74.39
111;2011;75.21;74.75;74.34
112;2012;74.94;74.43;73.92
113;2013;74.84;74.55;74.07
114;2014;75.06;74.75;74.47
115;2015;74.9;74.63;74.29
116;2016;75.12;74.7;74.3
117;2017;75.94;75.2;74.36
118;2018;75.08;74.77;74.39
119;2019;75.78;75.22;74.58
120;2020;75.77;75.34;74.79
