PT_ID;VAR1;VAR2;VAR3
45034524;0.333;0;0.333
45035525;0.333;0;0.333
45057558;0.889;0;0.889
45061560;0.205;0;0.205
45063535;0.159;1;0.0
45065536;0.332;0;0.332
45089596;0.221;0;0.221
45092597;0.287;0;0.287
45098599;0.14;1;0.0
45098600;0.21;0;0.21
45099599;0.249;0;0.249
45099601;0.919;0;0.919
45100601;0.449;1;0.0
45106599;0.265;0;0.265
45107585;0.467;0;0.467
45107600;0.221;0;0.221
45108600;0.208;0;0.208
45111600;0.274;0;0.274
45112600;0.333;0;0.333
45112601;0.729;0;0.729
45113600;0.182;1;0.0
45113601;0.439;1;0.0
45115597;0.328;0;0.328
45115600;0.164;1;0.0
45115601;1.0;0;1.0
45116590;0.301;0;0.301
45116597;0.333;0;0.333
45116598;1.0;0;1.0
45116599;1.0;0;1.0
45116600;0.333;0;0.333
45116601;1.0;0;1.0
45117597;0.333;0;0.333
45117598;0.333;0;0.333
45117599;1.0;0;1.0
45117600;0.333;0;0.333
45117601;1.0;0;1.0
45118597;0.333;0;0.333
45118598;0.333;0;0.333
45118599;0.905;0;0.905
45118600;0.32;0;0.32
45118601;1.0;0;1.0
45119597;0.333;0;0.333
45119598;0.333;0;0.333
45119600;0.28;0;0.28
45120597;0.333;0;0.333
45120599;0.12;1;0.0
45121597;0.333;0;0.333
45122597;0.333;0;0.333
45135599;0.333;0;0.333
45135600;0.399;1;0.0
45136599;0.333;0;0.333
45136600;0.314;0;0.314
45137599;0.199;0;0.199
45142599;0.266;0;0.266
45163600;0.196;0;0.196
45176601;0.31;0;0.31
45177602;1.0;0;1.0
45178602;1.0;0;1.0
45178603;1.0;0;1.0
45179603;1.0;0;1.0
45180603;0.104;0;0.104
45180604;0.716;0;0.716
45181604;0.21;0;0.21
45183604;0.333;0;0.333
45184606;0.759;0;0.759
45185607;0.612;0;0.612
45189611;0.732;0;0.732
45193613;0.632;0;0.632
45197617;0.68;0;0.68
45207620;0.333;0;0.333
45208620;0.163;0;0.163
45211621;0.976;0;0.976
45215622;0.271;0;0.271
45216622;0.237;0;0.237
45217622;0.333;0;0.333
45221623;0.238;0;0.238
45229628;0.224;0;0.224
45229629;0.333;0;0.333
45230629;0.313;0;0.313
45235529;0.286;0;0.286
45235635;0.764;0;0.764
45300536;0.178;0;0.178
45304507;0.333;0;0.333
45340503;0.333;0;0.333
45357534;0.299;0;0.299
45370503;0.275;0;0.275
45483528;1.0;0;1.0
45487527;1.0;0;1.0
