PT_ID;VAR1;VAR2;VAR3
45487492;0.63;1;0.0
45515522;0.359;1;0.0
45524518;0.402;1;0.0
45525518;0.626;1;0.0
45538513;0.684;1;0.0
45539513;0.954;1;0.0
45541512;0.885;1;0.0
45545511;0.916;1;0.0
45567478;0.889;1;0.0
45569477;0.602;1;0.0
45576474;0.786;1;0.0
45589468;0.705;1;0.0
45603462;1.0;1;0.0
45683449;0.742;1;0.0
45692448;0.485;1;0.0
45708448;0.412;1;0.0
45899459;0.375;1;0.0
45901459;1.0;1;0.0
45923454;0.534;1;0.0
45924453;1.0;1;0.0
45925453;1.0;1;0.0
45928452;1.0;1;0.0
45929452;0.829;1;0.0
45930451;0.961;1;0.0
45930452;0.601;1;0.0
45931299;0.552;1;0.0
45931451;0.474;1;0.0
45931452;0.431;1;0.0
45932451;0.863;1;0.0
45932452;0.394;1;0.0
45933301;0.939;1;0.0
45933450;1.0;1;0.0
45933451;0.871;1;0.0
45933452;0.83;1;0.0
45934450;0.662;1;0.0
45934451;0.746;1;0.0
45934452;0.751;1;0.0
45935304;1.0;1;0.0
45935449;0.434;1;0.0
45935450;0.36;1;0.0
45935451;0.79;1;0.0
45935452;0.747;1;0.0
45936305;1.0;1;0.0
45936448;0.893;1;0.0
45936449;0.411;1;0.0
45936450;0.395;1;0.0
45936451;0.483;1;0.0
45937305;1.0;1;0.0
45937448;1.0;1;0.0
45937449;1.0;1;0.0
45937450;0.438;1;0.0
45937451;0.443;1;0.0
45937452;1.0;1;0.0
45938448;0.568;1;0.0
45938449;0.985;1;0.0
45938451;1.0;1;0.0
45939303;1.0;1;0.0
45939446;0.57;1;0.0
45939447;0.661;1;0.0
45939448;0.468;1;0.0
45939449;0.348;1;0.0
45940302;1.0;1;0.0
45940444;1.0;1;0.0
45940448;0.681;1;0.0
45941301;1.0;1;0.0
45941443;1.0;1;0.0
45941448;0.706;1;0.0
45941449;0.937;1;0.0
45942442;1.0;1;0.0
45942448;0.511;1;0.0
45942449;0.64;1;0.0
45942450;1.0;1;0.0
45943301;1.0;1;0.0
45943441;1.0;1;0.0
