PT_ID;VAR1;VAR2;VAR3
45487492;1.0;1;0.0
45514521;0.66;0;0.66
45514522;0.556;0;0.556
45515521;0.524;0;0.524
45515522;1.0;1;0.0
45524518;1.0;1;0.0
45525518;1.0;1;0.0
45535514;0.926;1;0.0
45537514;0.895;1;0.0
45538513;1.0;1;0.0
45544511;0.519;0;0.519
45569477;1.0;1;0.0
45574475;0.587;0;0.587
45576474;0.779;1;0.0
45587469;1.0;1;0.0
45589468;1.0;1;0.0
45594466;1.0;1;0.0
45601463;0.786;0;0.786
45683449;0.981;1;0.0
45685449;1.0;1;0.0
45707448;1.0;1;0.0
45754448;0.549;1;0.0
45823479;0.819;0;0.819
45824479;0.642;0;0.642
45824480;0.793;0;0.793
45826476;1.0;1;0.0
45860484;1.0;1;0.0
45868486;1.0;1;0.0
45899459;1.0;1;0.0
45899487;0.793;0;0.793
45900487;0.869;1;0.0
45904487;0.448;1;0.0
45916456;1.0;1;0.0
45923454;1.0;1;0.0
45929452;0.495;1;0.0
45930452;1.0;1;0.0
45930453;1.0;1;0.0
45931451;1.0;1;0.0
45931452;1.0;1;0.0
45932452;1.0;1;0.0
45933452;0.48;1;0.0
45934450;1.0;1;0.0
45934451;0.893;1;0.0
45934452;0.867;1;0.0
45935449;1.0;1;0.0
45935450;1.0;1;0.0
45935451;0.676;1;0.0
45935452;0.889;1;0.0
45936449;1.0;1;0.0
45936450;1.0;1;0.0
45936451;1.0;1;0.0
45937450;1.0;1;0.0
45937451;1.0;1;0.0
45937453;1.0;1;0.0
45938447;1.0;1;0.0
45938448;1.0;1;0.0
45938450;0.974;0;0.974
45939446;1.0;1;0.0
45939447;1.0;1;0.0
45939448;1.0;1;0.0
45939449;1.0;1;0.0
45939450;1.0;1;0.0
45940445;1.0;1;0.0
45940446;0.814;0;0.814
45940447;1.0;1;0.0
45940448;1.0;1;0.0
45941444;0.671;0;0.671
45941445;0.629;0;0.629
45941446;0.753;0;0.753
45941447;0.996;0;0.996
45941448;1.0;1;0.0
45942443;0.666;0;0.666
45942445;0.342;0;0.342
45942446;0.408;0;0.408
45942447;0.438;0;0.438
45942448;1.0;1;0.0
45942449;1.0;1;0.0
45943442;1.0;1;0.0
45943443;0.364;0;0.364
45943445;0.335;0;0.335
45943446;0.345;0;0.345
45943449;1.0;1;0.0
45943450;1.0;1;0.0
45944441;1.0;0;1.0
45944442;0.417;0;0.417
45944443;0.414;0;0.414
45944445;0.464;0;0.464
45944449;0.901;1;0.0
45945441;1.0;1;0.0
45945442;0.694;0;0.694
45945443;0.401;0;0.401
45945444;0.462;0;0.462
45946439;0.575;0;0.575
45946440;1.0;1;0.0
45946441;1.0;1;0.0
45946442;0.909;0;0.909
45947436;0.452;1;0.0
45947437;1.0;1;0.0
45947438;0.961;0;0.961
45947439;1.0;1;0.0
45947440;0.927;0;0.927
45947441;1.0;1;0.0
45947442;0.423;1;0.0
45948436;0.698;0;0.698
45948439;0.572;0;0.572
45948440;1.0;1;0.0
45949433;0.459;1;0.0
45949434;0.482;0;0.482
45949436;0.637;0;0.637
45949439;0.798;0;0.798
45949442;1.0;1;0.0
45950432;0.67;0;0.67
45950433;0.908;0;0.908
45950436;0.624;0;0.624
45950437;0.567;0;0.567
45951431;1.0;1;0.0
45951432;1.0;1;0.0
45951433;0.825;0;0.825
45951436;1.0;1;0.0
45952432;1.0;1;0.0
45952433;0.817;0;0.817
45955423;1.0;1;0.0
45956422;0.829;1;0.0
45956423;1.0;1;0.0
45956424;0.421;1;0.0
45957420;1.0;1;0.0
45957421;1.0;1;0.0
45957422;1.0;1;0.0
45957423;0.925;1;0.0
45957424;0.399;1;0.0
45958419;1.0;1;0.0
45958420;0.973;0;0.973
45958421;1.0;1;0.0
45958422;1.0;1;0.0
45958423;1.0;1;0.0
45959418;0.489;1;0.0
45959419;1.0;1;0.0
45959420;1.0;0;1.0
45959421;1.0;1;0.0
45959422;1.0;1;0.0
45960416;1.0;1;0.0
45960417;1.0;1;0.0
45960418;1.0;1;0.0
45960419;1.0;1;0.0
45960420;1.0;1;0.0
45960421;0.57;0;0.57
45961415;1.0;1;0.0
45961416;1.0;1;0.0
45961417;1.0;1;0.0
45961418;1.0;1;0.0
45961419;0.596;1;0.0
45961420;0.946;0;0.946
45961423;0.608;0;0.608
45962413;1.0;1;0.0
45962414;1.0;1;0.0
45962415;1.0;1;0.0
45962416;1.0;1;0.0
45962417;1.0;1;0.0
45962418;0.693;0;0.693
45962419;1.0;1;0.0
45963413;0.731;1;0.0
45963414;1.0;1;0.0
45963415;1.0;1;0.0
45963416;0.741;1;0.0
45963417;0.813;0;0.813
45963418;1.0;1;0.0
45963419;0.795;0;0.795
45963420;0.343;1;0.0
45963421;0.446;0;0.446
45964410;0.573;1;0.0
45964414;1.0;1;0.0
45964415;1.0;1;0.0
45964418;1.0;1;0.0
45964419;0.81;0;0.81
45964420;1.0;1;0.0
45965409;1.0;1;0.0
45965410;1.0;1;0.0
45965418;1.0;1;0.0
45966309;1.0;1;0.0
45966408;0.565;1;0.0
45966409;1.0;1;0.0
45966410;1.0;1;0.0
45966411;1.0;1;0.0
45966412;1.0;1;0.0
45967406;1.0;1;0.0
45967407;0.543;1;0.0
45967408;0.569;1;0.0
45967409;1.0;1;0.0
45967410;1.0;1;0.0
45967411;1.0;1;0.0
45967450;1.0;1;0.0
45968312;0.865;1;0.0
45968404;1.0;1;0.0
45968405;0.533;1;0.0
45968407;1.0;1;0.0
45968409;0.731;1;0.0
45968410;1.0;1;0.0
45969312;1.0;1;0.0
45969403;0.389;1;0.0
45969404;1.0;1;0.0
45969405;1.0;1;0.0
45969407;1.0;1;0.0
45969408;0.996;1;0.0
45969409;0.555;1;0.0
45970312;0.928;1;0.0
45970404;0.843;1;0.0
45970405;1.0;1;0.0
45970406;0.573;1;0.0
45970408;1.0;1;0.0
45971312;1.0;1;0.0
45971400;0.365;1;0.0
45971403;0.428;1;0.0
45971404;0.336;1;0.0
45971405;1.0;1;0.0
45971406;1.0;1;0.0
45972313;1.0;1;0.0
45972405;0.844;1;0.0
45972447;0.849;0;0.849
45973314;1.0;1;0.0
45973404;0.415;1;0.0
45974316;1.0;1;0.0
45975323;0.888;1;0.0
45975324;1.0;1;0.0
45975325;1.0;1;0.0
45976317;1.0;1;0.0
45976323;1.0;1;0.0
45976326;0.732;0;0.732
45976394;1.0;1;0.0
45977326;1.0;1;0.0
45977393;0.419;1;0.0
45977394;1.0;1;0.0
45977395;1.0;1;0.0
45978318;1.0;1;0.0
45978322;1.0;1;0.0
45978327;1.0;1;0.0
45978328;1.0;1;0.0
45978392;1.0;1;0.0
45978393;1.0;1;0.0
45978394;0.516;1;0.0
45978395;1.0;1;0.0
45978396;1.0;1;0.0
45979318;1.0;1;0.0
45979321;1.0;1;0.0
45979328;0.995;0;0.995
45979391;0.36;1;0.0
45979392;1.0;1;0.0
45979393;1.0;1;0.0
45979394;1.0;1;0.0
45979395;1.0;1;0.0
45979396;1.0;1;0.0
45979397;1.0;1;0.0
45980318;1.0;1;0.0
45980321;1.0;1;0.0
45980329;1.0;1;0.0
45980391;1.0;1;0.0
45980392;1.0;1;0.0
45980393;1.0;1;0.0
45980394;1.0;1;0.0
45980395;1.0;1;0.0
45980396;1.0;1;0.0
45981319;0.934;0;0.934
45981320;0.771;1;0.0
45981329;1.0;0;1.0
45981391;0.356;1;0.0
45981393;1.0;1;0.0
