PT_ID;VAR1;VAR2;VAR3
42010479;0.244;0;0.244
42010480;1.0;1;0.0
42010481;0.336;1;0.0
42011480;0.288;0;0.288
42012480;0.311;0;0.311
42107510;0.116;0;0.116
42129491;0.391;1;0.0
42131478;1.0;1;0.0
42132479;0.625;1;0.0
42132481;0.862;0;0.862
42133485;0.478;0;0.478
42137488;0.401;0;0.401
42137489;0.624;0;0.624
42137490;0.761;0;0.761
42138484;0.419;0;0.419
42138487;0.672;0;0.672
42139487;0.801;0;0.801
42140523;1.0;1;0.0
42141484;0.55;0;0.55
42142482;0.87;0;0.87
42143524;0.333;0;0.333
42146498;1.0;1;0.0
42159530;1.0;1;0.0
42160530;0.136;0;0.136
42162531;0.693;0;0.693
42163531;0.73;0;0.73
42165506;0.333;0;0.333
42165532;0.427;1;0.0
42191543;0.69;0;0.69
42192518;1.0;1;0.0
42210550;0.733;0;0.733
42219552;1.0;1;0.0
42228557;0.219;0;0.219
42231558;1.0;0;1.0
42236559;0.655;0;0.655
42237560;1.0;0;1.0
42252565;0.72;0;0.72
42252566;1.0;1;0.0
42255567;0.333;0;0.333
42257568;1.0;1;0.0
42258568;0.429;0;0.429
42261569;1.0;0;1.0
42262569;0.999;0;0.999
42263570;0.238;0;0.238
42265570;1.0;0;1.0
42266571;0.77;0;0.77
42267571;0.431;0;0.431
42268571;1.0;1;0.0
42275573;0.631;0;0.631
42276573;0.471;0;0.471
42293578;0.185;0;0.185
42294578;1.0;0;1.0
42297579;1.0;1;0.0
42329561;0.892;0;0.892
42330561;0.612;0;0.612
42338588;1.0;1;0.0
42357592;0.968;1;0.0
42358592;0.671;1;0.0
42360592;1.0;0;1.0
42372571;0.923;0;0.923
42375597;1.0;1;0.0
42376597;1.0;1;0.0
42383599;0.718;0;0.718
42384600;0.689;0;0.689
42385600;0.396;0;0.396
42397603;0.288;0;0.288
42398603;0.342;0;0.342
42400604;0.996;0;0.996
42401604;1.0;1;0.0
42402604;0.948;0;0.948
42403605;0.661;1;0.0
42405605;0.873;0;0.873
42406605;1.0;0;1.0
42409606;1.0;1;0.0
42410606;0.918;0;0.918
42418608;1.0;1;0.0
42419582;0.597;1;0.0
42419608;0.702;0;0.702
42421582;1.0;1;0.0
42422582;0.275;0;0.275
42424609;0.737;0;0.737
42427609;1.0;1;0.0
42438610;0.245;0;0.245
42439610;1.0;1;0.0
42450620;0.701;1;0.0
42451619;1.0;1;0.0
42459605;0.867;0;0.867
42462606;1.0;1;0.0
42481609;0.613;1;0.0
42481610;0.824;0;0.824
42483610;0.333;1;0.0
42516618;1.0;1;0.0
42517618;1.0;1;0.0
42522620;1.0;1;0.0
42539623;1.0;1;0.0
42540623;1.0;0;1.0
42550624;0.136;0;0.136
42560625;0.333;1;0.0
42563625;1.0;0;1.0
42570625;1.0;1;0.0
42587624;0.639;0;0.639
42602621;0.541;0;0.541
42634623;0.205;0;0.205
42646623;0.719;0;0.719
42647623;0.46;0;0.46
42648598;0.881;0;0.881
42649598;0.503;0;0.503
42660624;1.0;1;0.0
42670625;0.807;1;0.0
42671625;1.0;1;0.0
42672625;1.0;0;1.0
42682600;0.219;0;0.219
42687626;0.752;1;0.0
42689601;1.0;1;0.0
42689626;1.0;0;1.0
42690601;0.935;0;0.935
42704629;0.725;1;0.0
42707629;1.0;1;0.0
42725605;1.0;1;0.0
42754636;0.908;0;0.908
42755636;1.0;1;0.0
42759636;0.969;0;0.969
42760636;0.162;0;0.162
42761636;0.577;0;0.577
42778637;0.762;0;0.762
42786638;0.134;0;0.134
42788638;1.0;1;0.0
42805638;0.558;0;0.558
42810638;0.774;0;0.774
42816638;0.716;0;0.716
42822637;1.0;1;0.0
42830635;0.947;0;0.947
42832635;0.971;0;0.971
42843634;0.912;0;0.912
42848634;1.0;1;0.0
42853634;0.656;0;0.656
42854634;1.0;0;1.0
42855634;0.206;0;0.206
42857610;1.0;0;1.0
42858610;0.333;1;0.0
42861633;1.0;0;1.0
42863633;1.0;1;0.0
42870632;1.0;0;1.0
42887628;1.0;0;1.0
42889627;1.0;0;1.0
42891602;1.0;0;1.0
42891626;0.561;0;0.561
42892602;0.226;0;0.226
42893625;1.0;1;0.0
42894625;1.0;1;0.0
42895624;0.168;0;0.168
42896624;0.499;0;0.499
42897624;0.926;0;0.926
42898623;0.771;1;0.0
42902622;0.157;0;0.157
42904621;0.385;0;0.385
42907620;0.251;0;0.251
42913617;0.91;0;0.91
42924415;0.133;0;0.133
42924612;0.624;0;0.624
42925416;0.25;0;0.25
42925587;0.88;1;0.0
42926417;0.113;1;0.0
42928418;0.152;0;0.152
42928610;0.95;0;0.95
42937401;0.333;0;0.333
42938402;0.327;0;0.327
42941608;0.333;0;0.333
42941609;0.205;1;0.0
42943428;1.0;0;1.0
42943611;0.246;0;0.246
42944612;0.171;0;0.171
42945613;0.222;0;0.222
42946408;1.0;0;1.0
42947615;1.0;0;1.0
42954588;0.199;0;0.199
42955619;1.0;0;1.0
42956620;1.0;1;0.0
42957585;0.856;1;0.0
42957621;1.0;1;0.0
42959623;0.162;1;0.0
42960624;1.0;1;0.0
42961414;0.394;0;0.394
42961417;0.3;0;0.3
42962417;0.986;0;0.986
42962627;0.163;0;0.163
42963418;0.871;1;0.0
42963419;0.333;1;0.0
42963420;1.0;0;1.0
42963628;0.95;0;0.95
42964419;0.301;0;0.301
42964554;0.343;0;0.343
42965419;0.378;0;0.378
42966421;1.0;0;1.0
42968418;1.0;0;1.0
42969418;0.522;0;0.522
42969419;0.445;0;0.445
42969631;1.0;1;0.0
42970419;1.0;0;1.0
42971632;1.0;1;0.0
42972418;0.693;0;0.693
42973417;0.557;0;0.557
42973418;0.383;0;0.383
42976418;0.693;0;0.693
42977417;1.0;1;0.0
42979418;0.367;0;0.367
42979537;0.333;0;0.333
42983417;0.604;1;0.0
42984415;1.0;0;1.0
42985415;0.653;0;0.653
42986532;1.0;0;1.0
42991417;0.319;0;0.319
42998429;1.0;1;0.0
42998430;0.292;0;0.292
42999428;0.333;0;0.333
42999430;0.225;0;0.225
42999431;0.264;0;0.264
