PT_ID;VAR1;VAR2;VAR3
42008479;1.0;0;1.0
42009480;0.596;0;0.596
42009481;1.0;0;1.0
42010482;0.913;0;0.913
42011482;1.0;0;1.0
42012481;0.908;0;0.908
42077504;1.0;0;1.0
42078504;1.0;0;1.0
42097509;0.56;0;0.56
42106511;1.0;0;1.0
42107511;0.466;0;0.466
42126475;1.0;0;1.0
42127518;1.0;0;1.0
42130477;1.0;0;1.0
42130478;1.0;0;1.0
42131476;0.668;0;0.668
42131477;0.898;0;0.898
42131479;1.0;0;1.0
42131480;1.0;0;1.0
42131481;0.365;0;0.365
42131484;0.68;0;0.68
42132476;1.0;0;1.0
42132477;1.0;0;1.0
42132478;0.613;0;0.613
42132484;1.0;0;1.0
42133477;0.376;0;0.376
42133479;1.0;0;1.0
42134485;0.458;0;0.458
42137484;0.868;0;0.868
42137487;1.0;0;1.0
42141485;0.473;0;0.473
42142481;0.602;0;0.602
42191517;0.591;0;0.591
42205548;0.539;0;0.539
42239561;0.355;0;0.355
42244563;0.836;0;0.836
42245563;0.663;0;0.663
42254567;0.967;0;0.967
42271572;1.0;0;1.0
42272572;1.0;0;1.0
42296579;0.422;0;0.422
42342589;1.0;0;1.0
42354566;0.609;0;0.609
42356592;0.629;0;0.629
42363593;0.671;0;0.671
42370595;1.0;0;1.0
42380599;0.744;0;0.744
42386600;0.801;0;0.801
42387600;1.0;0;1.0
42395603;1.0;0;1.0
42408606;0.817;0;0.817
42414607;0.749;0;0.749
42420609;1.0;0;1.0
42421609;1.0;0;1.0
42422609;1.0;0;1.0
42449620;1.0;0;1.0
42449621;0.757;0;0.757
42450622;1.0;0;1.0
42452619;1.0;0;1.0
42452622;0.917;0;0.917
42459626;0.352;0;0.352
42461627;1.0;0;1.0
42498613;1.0;0;1.0
42512617;0.753;0;0.753
42519619;1.0;0;1.0
42541623;1.0;0;1.0
42588628;0.624;0;0.624
42588631;0.689;0;0.689
42589599;1.0;0;1.0
42589632;0.792;0;0.792
42589640;1.0;0;1.0
42590633;0.489;0;0.489
42590640;1.0;0;1.0
42591633;1.0;0;1.0
42591634;0.666;0;0.666
42591635;0.684;0;0.684
42609589;0.963;0;0.963
42610590;0.603;0;0.603
42612598;1.0;0;1.0
42623598;1.0;0;1.0
42626622;1.0;0;1.0
42636598;1.0;0;1.0
42637598;0.998;0;0.998
42638598;0.851;0;0.851
42640598;0.451;0;0.451
42641598;1.0;0;1.0
42641623;0.701;0;0.701
42646598;0.417;0;0.417
42683600;0.375;0;0.375
42687600;0.403;0;0.403
42697601;0.366;0;0.366
42698601;1.0;0;1.0
42704602;0.906;0;0.906
42706602;0.884;0;0.884
42713603;0.832;0;0.832
42722632;0.373;0;0.373
42726633;1.0;0;1.0
42727633;0.726;0;0.726
42738633;0.476;0;0.476
42744635;0.862;0;0.862
42745635;0.621;0;0.621
42746635;1.0;0;1.0
42757636;0.857;0;0.857
42758636;1.0;0;1.0
42766636;1.0;0;1.0
42854635;0.941;0;0.941
42855635;1.0;0;1.0
42861634;0.409;0;0.409
42862634;0.84;0;0.84
42869632;0.87;0;0.87
42869633;1.0;0;1.0
42870633;0.844;0;0.844
42872632;0.951;0;0.951
42874631;0.995;0;0.995
42875631;1.0;0;1.0
42916616;0.937;0;0.937
42918615;1.0;0;1.0
42923414;0.986;0;0.986
42924414;1.0;0;1.0
42924416;0.975;0;0.975
42925415;0.073;0;0.073
42929418;0.859;0;0.859
42935605;1.0;0;1.0
42937422;0.773;0;0.773
42937604;0.611;0;0.611
42938605;1.0;0;1.0
42939606;0.403;0;0.403
42939607;0.745;0;0.745
42940407;0.573;0;0.573
42940607;0.602;0;0.602
42942426;0.413;0;0.413
42942427;0.547;0;0.547
42943407;1.0;0;1.0
42943427;0.891;0;0.891
42944428;1.0;0;1.0
42946429;0.135;0;0.135
42947429;1.0;0;1.0
42948429;1.0;0;1.0
42949429;1.0;0;1.0
42950429;0.832;0;0.832
42951428;0.893;0;0.893
42953410;0.793;0;0.793
42953618;1.0;0;1.0
42955428;0.138;0;0.138
42956623;1.0;0;1.0
42957420;1.0;0;1.0
42958418;1.0;0;1.0
42958621;1.0;0;1.0
42959417;0.156;0;0.156
42960416;1.0;0;1.0
42960417;0.98;0;0.98
42960583;0.965;0;0.965
42961582;0.892;0;0.892
42961626;0.914;0;0.914
42962418;1.0;0;1.0
42965421;0.633;0;0.633
42966629;0.701;0;0.701
42968630;0.659;0;0.659
42972632;1.0;0;1.0
42974633;0.873;0;0.873
42976634;0.515;0;0.515
42978635;1.0;0;1.0
42982636;1.0;0;1.0
42983636;0.832;0;0.832
42985636;1.0;0;1.0
42988638;0.699;0;0.699
