PT_ID;VAR1;VAR2;VAR3
40837507;0.292;0;0.292
40845492;1.0;0;1.0
40852338;1.0;0;1.0
40852339;0.901;0;0.901
40852340;1.0;0;1.0
40853334;0.376;0;0.376
40853335;0.509;0;0.509
40853338;0.538;0;0.538
40853356;0.859;0;0.859
40853359;0.858;0;0.858
40853360;0.516;0;0.516
40854330;0.828;0;0.828
40854331;1.0;0;1.0
40854333;0.116;0;0.116
40854372;0.144;0;0.144
40854374;0.2;0;0.2
40854375;1.0;0;1.0
40854376;0.184;0;0.184
40855325;0.124;0;0.124
40855331;0.302;0;0.302
40855364;0.333;0;0.333
40855369;0.687;0;0.687
40855375;0.129;0;0.129
40855376;0.144;0;0.144
40855524;1.0;0;1.0
40856324;1.0;0;1.0
40856365;0.329;0;0.329
40856523;1.0;0;1.0
40857319;1.0;0;1.0
40857322;0.535;0;0.535
40857384;0.308;0;0.308
40857385;0.175;0;0.175
40857386;0.255;0;0.255
40857522;1.0;0;1.0
40858316;1.0;0;1.0
40858317;0.864;0;0.864
40858318;0.858;0;0.858
40858319;0.232;0;0.232
40858321;1.0;0;1.0
40858322;0.144;0;0.144
40858323;0.197;0;0.197
40858384;0.983;0;0.983
40858520;1.0;0;1.0
40859314;1.0;0;1.0
40859316;1.0;0;1.0
40859502;0.333;0;0.333
40860312;0.597;0;0.597
40860313;0.199;0;0.199
40860388;0.163;0;0.163
40860474;0.273;0;0.273
40860502;0.228;0;0.228
40861307;1.0;0;1.0
40861308;1.0;0;1.0
40861311;0.31;0;0.31
40862306;0.666;0;0.666
40862391;1.0;0;1.0
40863391;0.333;0;0.333
40863393;0.249;0;0.249
40865301;1.0;0;1.0
40865394;1.0;0;1.0
40866302;0.778;0;0.778
40866444;0.242;0;0.242
40867301;1.0;0;1.0
40867395;1.0;0;1.0
40868301;1.0;0;1.0
40869300;0.842;0;0.842
40871299;0.788;0;0.788
40872401;0.748;0;0.748
40873297;0.613;0;0.613
40874297;1.0;0;1.0
40876297;1.0;0;1.0
40877475;0.311;0;0.311
40878473;0.333;0;0.333
40884295;0.788;0;0.788
40884296;0.912;0;0.912
40885295;0.561;0;0.561
40885429;0.333;0;0.333
40886295;0.6;0;0.6
40889295;1.0;0;1.0
40890295;0.338;0;0.338
40891429;0.219;0;0.219
40891430;0.287;0;0.287
40892295;0.461;0;0.461
40892427;0.206;0;0.206
40892429;0.333;0;0.333
40893295;0.826;0;0.826
40893421;0.333;0;0.333
40893424;0.169;0;0.169
40893426;0.224;0;0.224
40893427;0.222;0;0.222
40893428;0.333;0;0.333
40894294;0.895;0;0.895
40894421;0.193;0;0.193
40894422;0.333;0;0.333
40895294;0.56;0;0.56
40895295;0.142;0;0.142
40895445;0.333;0;0.333
40896294;1.0;0;1.0
40897294;1.0;0;1.0
40897456;0.333;0;0.333
40898293;1.0;0;1.0
40898294;0.333;0;0.333
40898423;0.226;0;0.226
40899293;0.935;0;0.935
40899413;0.26;0;0.26
40899414;0.333;0;0.333
40899415;0.333;0;0.333
40899416;0.285;0;0.285
40899421;0.214;0;0.214
40899455;0.165;0;0.165
40900411;0.333;0;0.333
40900412;0.333;0;0.333
40900413;0.333;0;0.333
40901410;0.256;0;0.256
40901453;0.135;0;0.135
40902408;0.167;0;0.167
40902414;0.291;0;0.291
40902419;0.333;0;0.333
40902423;0.142;0;0.142
40902459;0.333;0;0.333
40903291;1.0;0;1.0
40903407;0.277;0;0.277
40903419;0.333;0;0.333
40903420;0.333;0;0.333
40903421;0.333;0;0.333
40903422;0.333;0;0.333
40903423;0.333;0;0.333
40903453;0.166;0;0.166
40904290;0.48;0;0.48
40904407;0.512;0;0.512
40904408;0.211;0;0.211
40904411;0.313;0;0.313
40904412;0.333;0;0.333
40904413;0.251;0;0.251
40904419;0.333;0;0.333
40904422;0.333;0;0.333
40904453;0.249;0;0.249
40904461;0.333;0;0.333
40905408;0.147;0;0.147
40905410;0.308;0;0.308
40905411;0.118;0;0.118
40905416;0.281;0;0.281
40905453;0.333;0;0.333
40905454;0.333;0;0.333
40905461;0.333;0;0.333
40906290;0.725;0;0.725
40906409;0.144;0;0.144
40906413;0.136;0;0.136
40906458;0.333;0;0.333
40906459;0.299;0;0.299
40906460;0.25;0;0.25
40906461;0.333;0;0.333
40907411;0.132;0;0.132
40907412;0.318;0;0.318
40907413;0.313;0;0.313
40907454;0.128;0;0.128
40907455;0.191;0;0.191
40907456;0.276;0;0.276
40907457;0.333;0;0.333
40907458;0.221;0;0.221
40907459;0.333;0;0.333
40907460;0.333;0;0.333
40908289;0.802;0;0.802
40908410;0.216;0;0.216
40908411;0.333;0;0.333
40908412;0.333;0;0.333
40908413;0.142;0;0.142
40908414;0.333;0;0.333
40908441;0.256;0;0.256
40908454;0.324;0;0.324
40908455;0.212;0;0.212
40908456;0.163;0;0.163
40908458;0.181;0;0.181
40908459;0.333;0;0.333
40908460;0.293;0;0.293
40909417;0.333;0;0.333
40909418;0.333;0;0.333
40909454;0.254;0;0.254
40909455;0.307;0;0.307
40910289;0.96;0;0.96
40910455;0.262;0;0.262
40914414;0.198;0;0.198
40916421;0.319;0;0.319
40917420;0.322;0;0.322
40917421;0.179;0;0.179
40918420;0.333;0;0.333
40919419;0.882;0;0.882
40920420;0.333;0;0.333
40920457;0.333;0;0.333
40920464;0.212;0;0.212
40921456;0.333;0;0.333
40922456;0.316;0;0.316
40923447;0.333;0;0.333
40923455;0.333;0;0.333
40923456;0.312;0;0.312
40924438;0.333;0;0.333
40924454;0.333;0;0.333
40925458;0.324;0;0.324
40926454;0.333;0;0.333
40926455;0.333;0;0.333
40927439;0.2;0;0.2
40927454;0.333;0;0.333
40927455;0.333;0;0.333
40928444;0.325;0;0.325
40928454;0.258;0;0.258
40928455;0.289;0;0.289
40929443;0.333;0;0.333
40929455;0.199;0;0.199
40929456;0.221;0;0.221
40930443;0.255;0;0.255
40930444;0.333;0;0.333
40930445;0.333;0;0.333
40930446;0.333;0;0.333
40930448;0.333;0;0.333
40930455;0.183;0;0.183
40930458;0.122;0;0.122
40931447;0.159;0;0.159
40931458;0.261;0;0.261
40933458;0.297;0;0.297
40933472;0.333;0;0.333
40934457;0.333;0;0.333
40936454;0.333;0;0.333
40936455;0.333;0;0.333
40936463;0.333;0;0.333
40937455;0.19;0;0.19
40937463;0.272;0;0.272
40938478;0.333;0;0.333
40939479;0.119;0;0.119
40940479;0.295;0;0.295
40940480;0.193;0;0.193
40940481;0.215;0;0.215
40941475;0.291;0;0.291
40941479;1.0;0;1.0
40941480;0.214;0;0.214
40941481;0.333;0;0.333
40941482;0.333;0;0.333
40942287;0.961;0;0.961
40942475;1.0;0;1.0
40942476;0.205;0;0.205
40942477;0.205;0;0.205
40942478;0.113;0;0.113
40942479;0.18;0;0.18
40942480;0.312;0;0.312
40942481;0.333;0;0.333
40942482;0.333;0;0.333
40942483;0.333;0;0.333
40942484;1.0;0;1.0
40943475;0.333;0;0.333
40943476;0.315;0;0.315
40943482;0.171;0;0.171
40943484;0.333;0;0.333
40943485;0.333;0;0.333
40948288;0.868;0;0.868
40949288;1.0;0;1.0
40949494;0.388;0;0.388
40950288;0.151;0;0.151
40951288;1.0;0;1.0
40953288;0.847;0;0.847
40955498;1.0;0;1.0
40956288;0.965;0;0.965
40956499;1.0;0;1.0
40957500;0.333;0;0.333
40958501;0.333;0;0.333
40958502;1.0;0;1.0
40959502;0.249;0;0.249
40959503;1.0;0;1.0
40960502;0.238;0;0.238
40960504;0.468;0;0.468
40961287;0.735;0;0.735
40961288;1.0;0;1.0
40961503;0.33;0;0.33
40962504;0.274;0;0.274
40965289;0.122;0;0.122
40965506;0.211;0;0.211
40965507;1.0;0;1.0
40966506;0.169;0;0.169
40966507;0.664;0;0.664
40968288;0.495;0;0.495
40969507;0.179;0;0.179
40970288;0.191;0;0.191
40971538;1.0;0;1.0
40973534;0.468;0;0.468
40974535;1.0;0;1.0
40975287;1.0;0;1.0
40975509;0.182;0;0.182
40976288;0.17;0;0.17
40977288;0.241;0;0.241
40977512;1.0;0;1.0
40979512;0.115;0;0.115
40979513;1.0;0;1.0
40980513;1.0;0;1.0
40981288;1.0;0;1.0
40982525;0.696;0;0.696
40983513;0.244;0;0.244
40983525;0.426;0;0.426
40983526;0.668;0;0.668
40984288;0.554;0;0.554
40984526;0.36;0;0.36
40985513;0.171;0;0.171
40985516;0.96;0;0.96
40985526;0.384;0;0.384
40986288;0.748;0;0.748
40986512;0.268;0;0.268
40986514;1.0;0;1.0
40986515;0.285;0;0.285
40986516;0.187;0;0.187
40986517;1.0;0;1.0
40986526;0.826;0;0.826
40987511;0.294;0;0.294
40987514;1.0;0;1.0
40987515;0.805;0;0.805
40987516;0.989;0;0.989
40987528;1.0;0;1.0
40987529;0.813;0;0.813
40988508;0.333;0;0.333
40988509;0.333;0;0.333
40988510;0.333;0;0.333
40988511;0.333;0;0.333
40988527;0.628;0;0.628
40988528;1.0;0;1.0
40989509;0.329;0;0.329
40989510;1.0;0;1.0
40989511;1.0;0;1.0
40990508;0.287;0;0.287
40991508;0.594;0;0.594
40991526;0.293;0;0.293
40992507;0.16;0;0.16
40992508;1.0;0;1.0
40992527;0.419;0;0.419
40993507;0.138;0;0.138
40993508;0.86;0;0.86
40994507;0.125;0;0.125
40994508;0.741;0;0.741
40994523;0.143;0;0.143
40994524;0.137;0;0.137
40994525;0.938;0;0.938
40995288;0.65;0;0.65
40995289;0.49;0;0.49
40995508;0.394;0;0.394
40995523;0.123;0;0.123
40995524;0.522;0;0.522
40995525;0.848;0;0.848
40996508;0.223;0;0.223
40996509;0.721;0;0.721
40996519;1.0;0;1.0
40996520;0.957;0;0.957
40996523;0.141;0;0.141
40997507;0.137;0;0.137
40997508;0.204;0;0.204
40997510;0.156;0;0.156
40997519;1.0;0;1.0
40997520;0.16;0;0.16
40998288;1.0;0;1.0
40998289;0.716;0;0.716
40998508;0.183;0;0.183
40998509;0.735;0;0.735
40998510;0.214;0;0.214
40998511;0.775;0;0.775
40998512;0.333;0;0.333
40998519;1.0;0;1.0
