PT_ID;VAR1;VAR2;VAR3
45487492;1.0;1;0.0
45514521;0.466;1;0.0
45514522;0.362;1;0.0
45515522;0.89;1;0.0
45524518;0.932;1;0.0
45525518;1.0;1;0.0
45535514;0.733;1;0.0
45537514;0.702;1;0.0
45538513;1.0;1;0.0
45539513;0.901;1;0.0
45545511;1.0;1;0.0
45561481;0.791;1;0.0
45567478;1.0;1;0.0
45569477;1.0;1;0.0
45574475;0.388;1;0.0
45576474;1.0;1;0.0
45587469;1.0;1;0.0
45589468;1.0;1;0.0
45594466;0.805;1;0.0
45601463;0.589;1;0.0
45683449;1.0;1;0.0
45685449;0.87;1;0.0
45707448;1.0;1;0.0
45754448;1.0;1;0.0
45823479;0.589;1;0.0
45824479;0.411;1;0.0
45826476;1.0;1;0.0
45864485;1.0;1;0.0
45868486;0.861;1;0.0
45899459;0.868;1;0.0
45899487;0.553;1;0.0
45900487;1.0;1;0.0
45903487;0.465;1;0.0
45904487;1.0;1;0.0
45922454;1.0;1;0.0
45923454;1.0;1;0.0
45925453;0.58;1;0.0
45926453;0.835;1;0.0
45928452;0.801;1;0.0
45928453;0.609;1;0.0
45929452;1.0;1;0.0
45929453;1.0;1;0.0
45930451;1.0;1;0.0
45930452;1.0;1;0.0
45930453;1.0;1;0.0
45931451;0.972;1;0.0
45931452;0.929;1;0.0
45932451;1.0;1;0.0
45932452;0.894;1;0.0
45933450;0.407;1;0.0
45933451;1.0;1;0.0
45933452;1.0;1;0.0
45934450;1.0;1;0.0
45934451;1.0;1;0.0
45934452;1.0;1;0.0
45935449;0.934;1;0.0
45935450;0.858;1;0.0
45935451;1.0;1;0.0
45935452;1.0;1;0.0
45936448;1.0;1;0.0
45936449;0.91;1;0.0
45936450;0.895;1;0.0
45936451;0.983;1;0.0
45937450;0.937;1;0.0
45937451;0.943;1;0.0
45937453;0.788;1;0.0
45938447;0.796;1;0.0
45938448;1.0;1;0.0
45938449;0.915;1;0.0
45938450;0.732;1;0.0
45939446;1.0;1;0.0
45939447;1.0;1;0.0
45939448;0.967;1;0.0
45939449;0.846;1;0.0
45939450;0.821;1;0.0
45940445;0.762;1;0.0
45940446;0.57;1;0.0
45940447;0.796;1;0.0
45940448;1.0;1;0.0
45941443;0.389;1;0.0
45941444;0.426;1;0.0
45941445;0.385;1;0.0
45941446;0.509;1;0.0
45941447;0.751;1;0.0
45941448;1.0;1;0.0
45941449;1.0;1;0.0
45942443;0.422;1;0.0
45942448;1.0;1;0.0
45942449;1.0;1;0.0
45943442;0.858;1;0.0
45943447;1.0;1;0.0
45943448;0.535;1;0.0
45943449;0.94;1;0.0
45943450;1.0;1;0.0
45944441;0.754;1;0.0
45944447;0.811;1;0.0
45944449;1.0;1;0.0
45945439;0.657;1;0.0
45945441;0.781;1;0.0
45945442;0.448;1;0.0
45946438;1.0;1;0.0
45946440;0.887;1;0.0
