PT_ID;VAR1;VAR2;VAR3
46006402;0.348;0;0.348
46007402;1.0;0;1.0
46008402;1.0;0;1.0
46008403;0.656;0;0.656
46009403;0.388;0;0.388
46014467;1.0;0;1.0
46029368;0.36;0;0.36
46030369;1.0;0;1.0
46031370;1.0;0;1.0
46031371;1.0;0;1.0
46032372;1.0;0;1.0
46033373;0.865;0;0.865
46033374;1.0;0;1.0
46034375;1.0;0;1.0
46072379;0.779;0;0.779
46073379;0.739;0;0.739
46074486;1.0;0;1.0
46077382;1.0;0;1.0
46078380;0.893;0;0.893
46078381;0.253;0;0.253
46078382;0.246;0;0.246
46078383;0.211;0;0.211
46079381;0.6;0;0.6
46079382;0.115;0;0.115
46079384;1.0;0;1.0
46080384;0.134;0;0.134
46081382;0.496;0;0.496
46081383;0.558;0;0.558
46081384;0.188;0;0.188
46081385;0.545;0;0.545
46082382;1.0;0;1.0
46082383;0.582;0;0.582
46082384;0.145;0;0.145
46082386;1.0;0;1.0
46083385;0.148;0;0.148
46083386;0.114;0;0.114
46084384;0.454;0;0.454
46084386;0.139;0;0.139
46084387;0.159;0;0.159
46085384;0.884;0;0.884
46085385;0.534;0;0.534
46085386;0.179;0;0.179
46085387;0.177;0;0.177
46085388;1.0;0;1.0
46086385;0.596;0;0.596
46086386;0.16;0;0.16
46086387;0.132;0;0.132
46086388;0.129;0;0.129
46087386;0.117;0;0.117
46087387;0.141;0;0.141
46087388;0.174;0;0.174
46087389;0.154;0;0.154
46088387;0.115;0;0.115
46088388;0.121;0;0.121
46088390;0.333;0;0.333
46089387;1.0;0;1.0
46089389;0.113;0;0.113
46089390;0.1;0;0.1
46089391;1.0;0;1.0
46090388;0.837;0;0.837
46090389;0.106;0;0.106
46090390;0.125;0;0.125
46090391;0.135;0;0.135
46091389;0.24;0;0.24
46091390;0.225;0;0.225
46091391;0.271;0;0.271
46091392;0.639;0;0.639
46092390;0.989;0;0.989
46092391;0.289;0;0.289
46092392;0.273;0;0.273
46092393;0.292;0;0.292
46093391;0.998;0;0.998
46093392;1.0;0;1.0
46093393;1.0;0;1.0
46093394;0.333;0;0.333
46094393;0.292;0;0.292
46094394;0.703;0;0.703
46096487;0.447;0;0.447
46125472;0.155;0;0.155
46145449;1.0;0;1.0
46152447;1.0;0;1.0
46171443;0.135;0;0.135
46179463;1.0;0;1.0
46180463;0.668;0;0.668
46198444;0.857;0;0.857
46202445;0.949;0;0.949
46208471;1.0;0;1.0
46215450;0.304;0;0.304
46218442;1.0;0;1.0
46228486;0.241;0;0.241
46248472;0.726;0;0.726
46262504;0.184;0;0.184
46270506;0.186;0;0.186
46281509;0.8;0;0.8
46286510;0.308;0;0.308
46287510;0.828;0;0.828
46301488;0.406;0;0.406
46338491;1.0;0;1.0
46340491;0.268;0;0.268
46385515;0.571;0;0.571
46388515;0.129;0;0.129
46435525;1.0;0;1.0
46489536;1.0;0;1.0
46510512;0.127;0;0.127
46512512;1.0;0;1.0
46519512;0.333;0;0.333
46547515;0.842;0;0.842
46553516;0.321;0;0.321
46563540;0.692;0;0.692
46607560;1.0;0;1.0
46608559;1.0;0;1.0
46608561;0.477;0;0.477
46615555;0.869;0;0.869
46624533;0.163;0;0.163
46663539;1.0;0;1.0
46667539;0.195;0;0.195
46668539;0.884;0;0.884
46684540;1.0;0;1.0
46689566;1.0;0;1.0
46697566;0.262;0;0.262
46699541;0.207;0;0.207
46708541;0.227;0;0.227
46726540;0.333;0;0.333
46788527;1.0;0;1.0
46797524;0.392;0;0.392
46814519;0.206;0;0.206
46925535;1.0;0;1.0
46931536;0.333;0;0.333
46933536;0.155;0;0.155
46993521;0.187;0;0.187
