PT_ID;VAR1;VAR2;VAR3
44004346;0.333;1;0.0
44005346;0.945;0;0.945
44006346;0.298;0;0.298
44010245;0.333;0;0.333
44010303;0.309;0;0.309
44011303;0.333;1;0.0
44011305;0.333;1;0.0
44011307;0.312;0;0.312
44012303;0.121;0;0.121
44012305;0.663;1;0.0
44012306;0.254;0;0.254
44012307;1.0;1;0.0
44013290;0.333;1;0.0
44013292;0.274;1;0.0
44013293;0.135;0;0.135
44013303;0.961;0;0.961
44013307;0.333;0;0.333
44014291;0.333;1;0.0
44014296;0.212;1;0.0
44014303;0.59;0;0.59
44015255;1.0;0;1.0
44015306;0.333;0;0.333
44016245;0.333;1;0.0
44016246;0.333;1;0.0
44016291;0.333;0;0.333
44016297;0.379;0;0.379
44016303;0.19;0;0.19
44017302;0.296;1;0.0
44017303;0.193;0;0.193
44017308;0.141;1;0.0
44018249;0.333;1;0.0
44018250;0.265;0;0.265
44018251;0.333;0;0.333
44018252;0.24;0;0.24
44018277;0.333;1;0.0
44018278;0.134;0;0.134
44018279;0.333;1;0.0
44018298;1.0;1;0.0
44018302;0.333;1;0.0
44018306;0.333;1;0.0
44019254;0.333;1;0.0
44019277;0.333;1;0.0
44019280;0.305;0;0.305
44019291;0.333;1;0.0
44019307;0.333;1;0.0
44019309;0.333;1;0.0
44019325;1.0;0;1.0
44020297;0.333;0;0.333
44020309;0.215;0;0.215
44020325;0.333;1;0.0
44021299;0.271;0;0.271
44021308;0.157;0;0.157
44021309;0.333;1;0.0
44021311;0.238;0;0.238
44021312;0.283;0;0.283
44022253;0.27;0;0.27
44022300;1.0;1;0.0
44022314;0.333;0;0.333
44022321;0.167;0;0.167
44023285;0.333;0;0.333
44023313;0.943;1;0.0
44023314;0.423;1;0.0
44023315;0.189;0;0.189
44023318;0.609;1;0.0
44023319;0.274;0;0.274
44023324;0.121;0;0.121
44024273;0.238;0;0.238
44024286;0.319;0;0.319
44024324;0.293;0;0.293
44025273;0.333;1;0.0
44027252;0.257;0;0.257
44028246;0.154;1;0.0
44028252;0.263;0;0.263
44029246;0.19;0;0.19
44029247;0.22;0;0.22
44029248;0.333;0;0.333
44033259;0.243;1;0.0
44033261;0.333;1;0.0
44033262;0.333;1;0.0
44033263;0.132;1;0.0
44033266;0.168;1;0.0
44033269;0.333;1;0.0
44033270;0.167;0;0.167
44035257;0.283;1;0.0
44089344;0.333;0;0.333
44091344;1.0;1;0.0
44113343;0.935;1;0.0
44153346;0.143;0;0.143
44175350;0.494;0;0.494
44202358;0.404;0;0.404
44203358;0.333;0;0.333
44204359;0.333;1;0.0
44206360;0.637;1;0.0
44214363;0.269;0;0.269
44215364;1.0;1;0.0
44216364;0.127;0;0.127
44217365;1.0;1;0.0
44218365;0.147;0;0.147
44220340;1.0;1;0.0
44220366;0.249;0;0.249
44222366;0.325;0;0.325
44223367;0.572;1;0.0
44229344;0.333;1;0.0
44233371;0.697;0;0.697
44235372;1.0;1;0.0
44238373;0.311;0;0.311
44239373;0.259;0;0.259
44253377;0.272;1;0.0
44254377;0.603;1;0.0
44283385;0.333;1;0.0
44283386;0.651;0;0.651
44284386;0.158;0;0.158
44285387;0.333;0;0.333
44286387;0.119;0;0.119
44286388;0.88;0;0.88
44287388;0.119;0;0.119
44288388;0.333;1;0.0
44310361;0.333;1;0.0
44321396;0.333;0;0.333
44322396;1.0;0;1.0
44327398;0.26;0;0.26
44328398;0.891;0;0.891
44329398;0.333;0;0.333
44330398;0.243;0;0.243
44345402;0.166;0;0.166
44355405;1.0;1;0.0
44356405;0.333;1;0.0
44358406;1.0;1;0.0
44359406;0.186;0;0.186
44360406;1.0;0;1.0
44365408;1.0;1;0.0
44369409;0.333;1;0.0
44394352;0.25;0;0.25
44396353;0.333;0;0.333
44398355;0.333;1;0.0
44399356;0.333;0;0.333
44400357;0.315;0;0.315
44402360;0.142;1;0.0
44404362;0.333;0;0.333
44406365;0.333;0;0.333
44443424;0.919;1;0.0
44444422;0.175;1;0.0
44444423;0.928;1;0.0
44444424;0.333;1;0.0
44445423;0.333;0;0.333
44445424;0.333;0;0.333
44446423;0.229;0;0.229
44446424;0.244;0;0.244
44446425;0.28;0;0.28
44446427;0.612;1;0.0
44446453;0.333;0;0.333
44447424;0.217;0;0.217
44447425;0.211;0;0.211
44447426;0.285;0;0.285
44447428;0.262;1;0.0
44448425;0.333;0;0.333
44448426;0.253;0;0.253
44448427;0.333;0;0.333
44448428;0.137;1;0.0
44448454;0.915;1;0.0
44449426;0.333;0;0.333
44449427;0.333;0;0.333
44449428;0.589;1;0.0
44449455;0.672;0;0.672
44450427;0.333;1;0.0
44450428;0.307;0;0.307
44451428;0.333;0;0.333
44483426;0.189;0;0.189
44484426;0.237;0;0.237
44484427;0.289;0;0.289
44518500;0.333;1;0.0
44519498;0.332;0;0.332
44520514;1.0;1;0.0
44522516;0.276;0;0.276
44524517;0.973;1;0.0
44549483;0.995;0;0.995
44551483;0.333;0;0.333
44556536;0.325;0;0.325
44562487;1.0;1;0.0
44564488;0.333;1;0.0
44565488;0.278;1;0.0
44565489;0.333;0;0.333
44566489;0.333;0;0.333
44567489;0.333;1;0.0
44567490;0.333;1;0.0
44568491;0.333;1;0.0
44569491;0.333;0;0.333
44570491;0.333;0;0.333
44574492;0.333;0;0.333
44579493;0.255;1;0.0
44580493;0.587;1;0.0
44584496;0.333;0;0.333
44584549;0.333;0;0.333
44585496;0.333;0;0.333
44590498;0.255;1;0.0
44593498;0.453;1;0.0
44594498;1.0;1;0.0
44594499;0.333;1;0.0
44597501;0.493;1;0.0
44607507;0.333;0;0.333
44608507;0.644;1;0.0
44611557;1.0;1;0.0
44612510;0.351;1;0.0
44619515;0.289;1;0.0
44628563;0.333;1;0.0
44650530;0.333;0;0.333
44658575;0.333;1;0.0
44702599;1.0;0;1.0
44712550;0.331;0;0.331
44713550;0.333;1;0.0
44730557;0.129;0;0.129
44741611;0.252;0;0.252
44748613;0.581;0;0.581
44755615;0.27;1;0.0
44757615;0.302;0;0.302
44758572;0.333;0;0.333
44797633;0.128;1;0.0
44814641;1.0;0;1.0
44815641;0.333;1;0.0
44819642;0.333;0;0.333
44830646;0.246;0;0.246
44838648;0.333;0;0.333
44839648;0.242;0;0.242
44840648;0.164;0;0.164
44879609;0.25;0;0.25
44881615;0.873;1;0.0
44881616;0.464;1;0.0
44902627;0.333;1;0.0
44911657;0.333;0;0.333
44912657;0.333;0;0.333
44939634;0.799;1;0.0
44954669;0.127;1;0.0
44961672;0.333;0;0.333
44965673;0.154;0;0.154
44971675;0.333;0;0.333
44976677;1.0;1;0.0
44982645;0.118;0;0.118
