PT_ID;VAR1;VAR2;VAR3
47223468;0.445;1;0.0
47223469;1.0;1;0.0
47337525;0.775;1;0.0
47337526;1.0;1;0.0
47338538;0.666;1;0.0
47339541;0.954;1;0.0
47340542;0.395;1;0.0
47342546;1.0;1;0.0
47342547;0.855;1;0.0
47344554;0.955;1;0.0
47344555;0.905;1;0.0
47344560;0.801;1;0.0
47345555;0.436;1;0.0
47347564;0.423;1;0.0
47348564;0.884;1;0.0
47348565;0.737;1;0.0
47349564;0.772;1;0.0
47349565;1.0;1;0.0
47349566;1.0;1;0.0
47350567;0.964;1;0.0
47351568;1.0;1;0.0
47359578;0.73;1;0.0
47416599;0.965;1;0.0
47424593;0.73;1;0.0
47424594;1.0;1;0.0
47429594;1.0;1;0.0
47430594;1.0;1;0.0
47430596;0.418;1;0.0
47431596;1.0;1;0.0
47467589;0.895;1;0.0
