PT_ID;VAR1;VAR2;VAR3;SECTION;TILE
40840500;0.333;1;0.0;LKO_CAN;40
40852342;0.588;1;0.0;LKO_CAN;40
40852344;1.0;1;0.0;LKO_CAN;40
40854327;1.0;1;0.0;LKO_CAN;40
40854328;0.731;1;0.0;LKO_CAN;40
40854365;0.794;1;0.0;LKO_CAN;40
40854368;0.935;1;0.0;LKO_CAN;40
40854369;1.0;1;0.0;LKO_CAN;40
40854370;0.551;1;0.0;LKO_CAN;40
40854371;0.695;1;0.0;LKO_CAN;40
40855379;0.805;1;0.0;LKO_CAN;40
40856323;0.403;1;0.0;LKO_CAN;40
40856378;1.0;1;0.0;LKO_CAN;40
40857318;0.64;1;0.0;LKO_CAN;40
40857320;0.851;1;0.0;LKO_CAN;40
40858388;1.0;1;0.0;LKO_CAN;40
40859388;0.448;1;0.0;LKO_CAN;40
40860310;0.624;1;0.0;LKO_CAN;40
40860502;0.17;0;0.17;LKO_CAN;40
40863305;0.55;1;0.0;LKO_CAN;40
40863392;0.924;1;0.0;LKO_CAN;40
40864394;1.0;1;0.0;LKO_CAN;40
40865302;0.665;1;0.0;LKO_CAN;40
40868300;0.449;1;0.0;LKO_CAN;40
40868396;0.402;1;0.0;LKO_CAN;40
40870298;1.0;1;0.0;LKO_CAN;40
40870299;0.908;1;0.0;LKO_CAN;40
40875296;0.913;1;0.0;LKO_CAN;40
40875502;1.0;1;0.0;LKO_CAN;40
40878473;0.175;0;0.175;LKO_CAN;40
40881465;0.333;0;0.333;LKO_CAN;40
40883295;1.0;1;0.0;LKO_CAN;40
40883296;0.886;1;0.0;LKO_CAN;40
40885424;0.333;0;0.333;LKO_CAN;40
40885464;1.0;1;0.0;LKO_CAN;40
40887295;0.983;1;0.0;LKO_CAN;40
40888295;0.671;1;0.0;LKO_CAN;40
40891418;0.137;1;0.0;LKO_CAN;40
40891419;0.333;1;0.0;LKO_CAN;40
40892294;0.908;1;0.0;LKO_CAN;40
40892417;0.619;1;0.0;LKO_CAN;40
40892418;1.0;1;0.0;LKO_CAN;40
40893421;0.231;0;0.231;LKO_CAN;40
40894422;0.234;0;0.234;LKO_CAN;40
40894458;0.148;1;0.0;LKO_CAN;40
40895457;0.333;0;0.333;LKO_CAN;40
40895458;0.333;1;0.0;LKO_CAN;40
40896456;0.333;0;0.333;LKO_CAN;40
40896457;0.333;0;0.333;LKO_CAN;40
40897293;0.409;1;0.0;LKO_CAN;40
40897446;0.127;1;0.0;LKO_CAN;40
40897455;0.333;1;0.0;LKO_CAN;40
40897456;0.259;0;0.259;LKO_CAN;40
40898454;0.324;1;0.0;LKO_CAN;40
40898455;0.333;1;0.0;LKO_CAN;40
40899422;0.321;1;0.0;LKO_CAN;40
40899454;0.333;1;0.0;LKO_CAN;40
40899455;0.333;0;0.333;LKO_CAN;40
40900420;0.333;1;0.0;LKO_CAN;40
40900421;0.812;1;0.0;LKO_CAN;40
40900422;0.333;1;0.0;LKO_CAN;40
40901414;0.275;1;0.0;LKO_CAN;40
40901419;0.193;1;0.0;LKO_CAN;40
40901420;0.263;1;0.0;LKO_CAN;40
40901421;0.327;1;0.0;LKO_CAN;40
40901422;0.142;1;0.0;LKO_CAN;40
40901453;0.333;0;0.333;LKO_CAN;40
40902411;0.458;1;0.0;LKO_CAN;40
40902413;0.482;1;0.0;LKO_CAN;40
40902416;0.136;1;0.0;LKO_CAN;40
40902443;0.323;1;0.0;LKO_CAN;40
40902453;0.333;0;0.333;LKO_CAN;40
40902459;0.215;0;0.215;LKO_CAN;40
40902460;0.248;1;0.0;LKO_CAN;40
40903443;0.333;1;0.0;LKO_CAN;40
40903453;0.333;0;0.333;LKO_CAN;40
40904453;0.333;0;0.333;LKO_CAN;40
40904454;0.333;0;0.333;LKO_CAN;40
40904461;0.332;0;0.332;LKO_CAN;40
40905419;0.212;1;0.0;LKO_CAN;40
40905420;0.875;1;0.0;LKO_CAN;40
40905441;0.266;0;0.266;LKO_CAN;40
40905453;0.285;0;0.285;LKO_CAN;40
40905454;0.285;0;0.285;LKO_CAN;40
40905461;0.281;0;0.281;LKO_CAN;40
40906419;0.333;1;0.0;LKO_CAN;40
40906458;0.268;0;0.268;LKO_CAN;40
40906459;0.221;0;0.221;LKO_CAN;40
40907441;0.28;1;0.0;LKO_CAN;40
40907454;0.333;0;0.333;LKO_CAN;40
40907456;0.149;0;0.149;LKO_CAN;40
40907457;0.277;0;0.277;LKO_CAN;40
