PT_ID;VAR1;VAR2;VAR3
41000396;1.0;0;1.0
41000397;1.0;0;1.0
41001168;0.694;0;0.694
41001392;0.741;0;0.741
41001393;0.706;0;0.706
41001394;0.399;0;0.399
41001395;0.84;0;0.84
41001396;1.0;0;1.0
41001397;0.855;0;0.855
41002394;0.429;0;0.429
41002395;0.81;0;0.81
41002396;0.948;0;0.948
41003395;1.0;0;1.0
41004171;0.9;0;0.9
41005172;1.0;0;1.0
41006158;1.0;0;1.0
41006159;0.589;0;0.589
41006172;1.0;0;1.0
41007160;0.882;0;0.882
41008156;1.0;0;1.0
41008157;0.377;0;0.377
41008394;0.362;0;0.362
41009156;1.0;0;1.0
41009394;0.978;0;0.978
41010155;1.0;0;1.0
41010156;0.888;0;0.888
41010174;1.0;0;1.0
41010394;1.0;0;1.0
41011154;1.0;0;1.0
41011155;1.0;0;1.0
41012154;0.874;0;0.874
41012393;0.682;0;0.682
41013153;1.0;0;1.0
41013154;0.966;0;0.966
41013393;1.0;0;1.0
41014153;1.0;0;1.0
41015174;0.913;0;0.913
41016392;1.0;0;1.0
41017150;0.429;0;0.429
41017391;0.495;0;0.495
41018150;0.629;0;0.629
41018174;1.0;0;1.0
41019149;1.0;0;1.0
41019150;0.674;0;0.674
41019152;1.0;0;1.0
41019175;0.395;0;0.395
41019391;0.666;0;0.666
41020149;1.0;0;1.0
41021151;1.0;0;1.0
41021174;0.767;0;0.767
41022148;1.0;0;1.0
41023148;0.683;0;0.683
41024148;1.0;0;1.0
41025150;1.0;0;1.0
41026147;0.746;0;0.746
41026150;1.0;0;1.0
41026386;0.679;0;0.679
41026387;0.402;0;0.402
41027147;0.602;0;0.602
41027148;0.608;0;0.608
41027384;0.495;0;0.495
41027385;1.0;0;1.0
41027386;1.0;0;1.0
41028384;0.917;0;0.917
41028385;1.0;0;1.0
41029147;1.0;0;1.0
41029148;1.0;0;1.0
41029177;0.628;0;0.628
41029383;0.837;0;0.837
41029384;1.0;0;1.0
41030147;0.968;0;0.968
41030148;0.64;0;0.64
41030177;0.937;0;0.937
41030383;0.426;0;0.426
41034148;0.402;0;0.402
41034149;0.666;0;0.666
41035148;1.0;0;1.0
41035149;1.0;0;1.0
41035179;1.0;0;1.0
41035380;1.0;0;1.0
41035381;1.0;0;1.0
41036148;0.463;0;0.463
41036149;0.714;0;0.714
41036179;0.873;0;0.873
41036377;0.75;0;0.75
41036380;0.749;0;0.749
41036381;1.0;0;1.0
41037148;1.0;0;1.0
41037149;0.666;0;0.666
41037179;0.844;0;0.844
41037377;0.844;0;0.844
41037378;0.7;0;0.7
41038148;0.685;0;0.685
41038149;0.925;0;0.925
41038180;0.758;0;0.758
41038377;0.521;0;0.521
41038378;0.82;0;0.82
41040149;0.709;0;0.709
41040180;1.0;0;1.0
41041372;0.494;0;0.494
41042149;1.0;0;1.0
41042182;1.0;0;1.0
41043149;1.0;0;1.0
41043182;1.0;0;1.0
41044149;0.422;0;0.422
41044151;1.0;0;1.0
41045151;0.705;0;0.705
41046369;1.0;0;1.0
41048368;1.0;0;1.0
41049148;0.927;0;0.927
41049367;0.562;0;0.562
41050184;1.0;0;1.0
41050367;0.831;0;0.831
41051366;1.0;0;1.0
41052365;0.737;0;0.737
41053148;1.0;0;1.0
41053150;0.566;0;0.566
41053185;0.441;0;0.441
41053364;0.937;0;0.937
41054185;0.809;0;0.809
41054363;0.61;0;0.61
41055147;0.531;0;0.531
41055362;0.59;0;0.59
41056147;1.0;0;1.0
41056148;0.374;0;0.374
41056151;1.0;0;1.0
41057147;1.0;0;1.0
41057148;0.489;0;0.489
41057149;0.462;0;0.462
41057361;1.0;0;1.0
41058147;1.0;0;1.0
41058148;0.382;0;0.382
41058149;0.435;0;0.435
41058188;0.625;0;0.625
41058360;1.0;0;1.0
41059359;0.686;0;0.686
41060147;0.635;0;0.635
41060148;0.489;0;0.489
41060358;0.742;0;0.742
41061357;0.521;0;0.521
41061358;1.0;0;1.0
41062073;1.0;0;1.0
41062146;0.769;0;0.769
41062189;0.339;0;0.339
41062357;0.397;0;0.397
41063145;0.974;0;0.974
41063148;0.465;0;0.465
41063152;0.475;0;0.475
41063157;0.99;0;0.99
41063190;0.878;0;0.878
41063356;1.0;0;1.0
41064144;1.0;0;1.0
41064146;0.692;0;0.692
41064152;0.497;0;0.497
41064153;0.398;0;0.398
41064191;1.0;0;1.0
41064355;0.585;0;0.585
41065143;1.0;0;1.0
41065145;1.0;0;1.0
41065153;1.0;0;1.0
41065155;0.824;0;0.824
41065156;1.0;0;1.0
41065354;0.439;0;0.439
41065355;1.0;0;1.0
41066156;0.713;0;0.713
41066193;0.681;0;0.681
41067157;0.703;0;0.703
41067158;1.0;0;1.0
41067194;1.0;0;1.0
41067354;0.953;0;0.953
41068158;1.0;0;1.0
41068159;0.956;0;0.956
41068162;0.601;0;0.601
41068192;1.0;0;1.0
41068193;0.516;0;0.516
41068353;0.771;0;0.771
41069159;0.87;0;0.87
41069195;1.0;0;1.0
41069352;0.593;0;0.593
41069353;0.915;0;0.915
41070160;0.539;0;0.539
41070161;0.499;0;0.499
41070352;0.938;0;0.938
41071161;0.388;0;0.388
41071162;0.713;0;0.713
41071165;0.556;0;0.556
41071195;0.798;0;0.798
41071352;0.934;0;0.934
41072084;0.812;0;0.812
41072163;1.0;0;1.0
41072195;0.908;0;0.908
41072352;1.0;0;1.0
41073163;1.0;0;1.0
41073164;1.0;0;1.0
41073165;0.532;0;0.532
41073166;0.915;0;0.915
41073195;0.494;0;0.494
41073353;0.638;0;0.638
41074164;0.854;0;0.854
41074165;0.833;0;0.833
41074166;1.0;0;1.0
41074167;1.0;0;1.0
41074198;0.393;0;0.393
41074348;1.0;0;1.0
41075088;0.819;0;0.819
41075165;1.0;0;1.0
41075166;1.0;0;1.0
41075167;0.715;0;0.715
41075196;0.399;0;0.399
41075197;0.402;0;0.402
41075198;0.631;0;0.631
41076165;0.781;0;0.781
41076166;1.0;0;1.0
41076167;0.886;0;0.886
41076196;0.605;0;0.605
41076197;0.615;0;0.615
41076198;0.357;0;0.357
41077166;1.0;0;1.0
41077167;1.0;0;1.0
41077196;0.365;0;0.365
41078092;0.977;0;0.977
41078167;1.0;0;1.0
41078168;1.0;0;1.0
41078347;0.902;0;0.902
41079093;1.0;0;1.0
41079096;0.663;0;0.663
41079168;1.0;0;1.0
41079169;0.848;0;0.848
41079195;0.519;0;0.519
41079200;0.554;0;0.554
41079201;0.697;0;0.697
41079202;0.793;0;0.793
41079346;0.64;0;0.64
41080094;0.842;0;0.842
41080095;0.911;0;0.911
41080169;1.0;0;1.0
41080172;0.489;0;0.489
41080202;0.796;0;0.796
41080207;0.78;0;0.78
41081170;1.0;0;1.0
41081201;0.614;0;0.614
41081202;0.503;0;0.503
41081207;0.836;0;0.836
41081208;1.0;0;1.0
41081213;0.838;0;0.838
41082193;0.606;0;0.606
41082207;0.956;0;0.956
41082208;1.0;0;1.0
41082215;0.708;0;0.708
41082220;0.391;0;0.391
41082346;0.918;0;0.918
41082347;0.556;0;0.556
41083193;0.876;0;0.876
41083205;0.833;0;0.833
41083206;1.0;0;1.0
41083207;0.457;0;0.457
41083208;0.812;0;0.812
41083209;0.379;0;0.379
41083346;1.0;0;1.0
41084171;0.383;0;0.383
41084205;0.809;0;0.809
41084206;0.476;0;0.476
41084211;0.769;0;0.769
41084223;1.0;0;1.0
41085192;1.0;0;1.0
41085202;0.617;0;0.617
41085204;0.646;0;0.646
41085205;0.703;0;0.703
41085211;0.764;0;0.764
41085227;1.0;0;1.0
41086173;0.788;0;0.788
41086191;0.656;0;0.656
41086201;0.703;0;0.703
41086203;0.86;0;0.86
41086204;1.0;0;1.0
41086205;1.0;0;1.0
41086206;0.476;0;0.476
41087172;1.0;0;1.0
41087173;1.0;0;1.0
41087203;0.729;0;0.729
41087204;1.0;0;1.0
41087205;1.0;0;1.0
41087206;0.969;0;0.969
41087207;0.716;0;0.716
41087208;0.921;0;0.921
41087230;0.41;0;0.41
41088172;1.0;0;1.0
41088173;1.0;0;1.0
41088200;0.435;0;0.435
41088203;0.473;0;0.473
41088204;0.596;0;0.596
41088205;1.0;0;1.0
41088206;1.0;0;1.0
41088207;1.0;0;1.0
41088208;1.0;0;1.0
41088347;0.455;0;0.455
41089172;1.0;0;1.0
41089173;1.0;0;1.0
41089199;0.895;0;0.895
41089204;0.902;0;0.902
41089205;0.892;0;0.892
41089206;1.0;0;1.0
41089207;0.78;0;0.78
41089346;0.894;0;0.894
41089347;1.0;0;1.0
41090173;1.0;0;1.0
41090203;1.0;0;1.0
41090346;0.969;0;0.969
41091176;1.0;0;1.0
41091203;1.0;0;1.0
41091236;0.967;0;0.967
41091346;0.628;0;0.628
41092104;0.954;0;0.954
41092174;1.0;0;1.0
41092189;0.917;0;0.917
41092200;1.0;0;1.0
41092203;0.814;0;0.814
41093104;1.0;0;1.0
41093174;1.0;0;1.0
41093200;0.641;0;0.641
41093206;1.0;0;1.0
41093345;1.0;0;1.0
41094104;0.818;0;0.818
41094105;0.919;0;0.919
41094198;0.423;0;0.423
41094199;1.0;0;1.0
41094207;1.0;0;1.0
41095105;1.0;0;1.0
41095177;0.618;0;0.618
41095199;0.603;0;0.603
41095206;0.623;0;0.623
41095344;0.902;0;0.902
41096105;0.898;0;0.898
41096188;1.0;0;1.0
41096197;1.0;0;1.0
41096199;1.0;0;1.0
41096203;0.418;0;0.418
41096206;0.347;0;0.347
41097105;0.924;0;0.924
41097188;0.69;0;0.69
41097197;1.0;0;1.0
41098105;0.797;0;0.797
41098106;0.577;0;0.577
41098192;0.592;0;0.592
41098203;0.81;0;0.81
41098206;0.338;0;0.338
41099106;0.858;0;0.858
41099107;1.0;0;1.0
41099202;0.629;0;0.629
41099206;0.834;0;0.834
41099207;0.459;0;0.459
41100106;0.85;0;0.85
41100107;1.0;0;1.0
41100198;1.0;0;1.0
41100199;1.0;0;1.0
41100202;1.0;0;1.0
41100206;0.419;0;0.419
41101107;0.722;0;0.722
41101108;1.0;0;1.0
41101206;0.585;0;0.585
41102107;0.777;0;0.777
41102176;0.688;0;0.688
41102177;0.706;0;0.706
41102188;1.0;0;1.0
41102189;0.486;0;0.486
41103107;0.885;0;0.885
41103177;0.921;0;0.921
41103178;0.788;0;0.788
41103187;0.715;0;0.715
41103188;0.665;0;0.665
41103189;0.587;0;0.587
41103193;0.643;0;0.643
41103205;1.0;0;1.0
41104178;1.0;0;1.0
41104187;0.459;0;0.459
41104188;0.417;0;0.417
41104189;0.446;0;0.446
41104193;0.366;0;0.366
41104194;0.917;0;0.917
41104195;0.771;0;0.771
41104199;1.0;0;1.0
41104205;1.0;0;1.0
41105177;1.0;0;1.0
41105178;0.741;0;0.741
41105190;0.462;0;0.462
41105194;0.769;0;0.769
41105195;0.491;0;0.491
41105204;1.0;0;1.0
41105205;1.0;0;1.0
41106178;1.0;0;1.0
41106179;1.0;0;1.0
41106182;0.575;0;0.575
41106185;0.437;0;0.437
41106190;0.425;0;0.425
41106191;0.595;0;0.595
41106195;0.337;0;0.337
41106196;0.996;0;0.996
41106202;0.997;0;0.997
41106203;1.0;0;1.0
41106204;0.702;0;0.702
41106205;0.867;0;0.867
41106209;0.553;0;0.553
41107178;1.0;0;1.0
41107190;0.438;0;0.438
41107191;0.595;0;0.595
41107192;0.363;0;0.363
41107198;0.91;0;0.91
41107199;0.83;0;0.83
41107200;1.0;0;1.0
41107201;1.0;0;1.0
41107202;0.973;0;0.973
41107204;0.339;0;0.339
41107205;0.652;0;0.652
41108180;1.0;0;1.0
41108184;0.338;0;0.338
41108187;0.48;0;0.48
41108188;0.402;0;0.402
41108190;0.918;0;0.918
41108192;1.0;0;1.0
41108193;1.0;0;1.0
41108194;0.825;0;0.825
41108199;0.662;0;0.662
41108200;0.769;0;0.769
41108201;1.0;0;1.0
41108202;0.948;0;0.948
41108206;0.531;0;0.531
41108339;0.97;0;0.97
41108340;1.0;0;1.0
41108341;0.403;0;0.403
41109110;0.373;0;0.373
41109112;1.0;0;1.0
41109179;1.0;0;1.0
41109180;0.721;0;0.721
41109181;0.936;0;0.936
41109182;0.984;0;0.984
41109183;1.0;0;1.0
41109186;1.0;0;1.0
41109189;0.722;0;0.722
41109190;0.664;0;0.664
41109194;0.786;0;0.786
41109200;0.438;0;0.438
41109201;0.872;0;0.872
41109202;0.895;0;0.895
41109203;0.741;0;0.741
41109206;0.529;0;0.529
41110181;0.801;0;0.801
41110182;0.501;0;0.501
41110183;0.698;0;0.698
41110186;1.0;0;1.0
41110187;0.516;0;0.516
41110189;0.51;0;0.51
41110195;1.0;0;1.0
41110196;0.641;0;0.641
41110201;0.763;0;0.763
41110202;1.0;0;1.0
41110203;0.399;0;0.399
41110208;0.509;0;0.509
41110339;0.932;0;0.932
41111112;1.0;0;1.0
41111113;0.877;0;0.877
41111180;0.848;0;0.848
41111181;0.888;0;0.888
41111183;0.474;0;0.474
41111184;0.994;0;0.994
41111185;1.0;0;1.0
41111186;0.592;0;0.592
41111189;0.722;0;0.722
41111196;0.555;0;0.555
41111198;0.342;0;0.342
41111202;0.93;0;0.93
41111205;0.355;0;0.355
41112112;0.613;0;0.613
41112188;0.338;0;0.338
41112189;1.0;0;1.0
41112197;1.0;0;1.0
41112198;1.0;0;1.0
41112199;0.614;0;0.614
41112202;0.884;0;0.884
41112204;0.554;0;0.554
41112205;0.39;0;0.39
41112208;0.597;0;0.597
41112338;0.782;0;0.782
41113181;0.401;0;0.401
41113188;0.648;0;0.648
41113189;0.361;0;0.361
41113198;0.716;0;0.716
41113199;0.372;0;0.372
41113201;0.556;0;0.556
41113202;0.478;0;0.478
41113203;0.688;0;0.688
41113254;0.472;0;0.472
41113337;0.909;0;0.909
41114115;0.767;0;0.767
41114188;1.0;0;1.0
41114198;0.431;0;0.431
41114202;0.394;0;0.394
41114203;0.618;0;0.618
41114256;0.774;0;0.774
